shapeid,partid,x,y
"0","0",-72.6742838,41.9366282
"0","0",-72.6740873,41.9366271
"0","0",-72.6740784,41.9365944
"0","0",-72.673546,41.9366033
"0","0",-72.6735371,41.9365676
"0","0",-72.6734002,41.9365736
"0","0",-72.6733824,41.9362999
"0","0",-72.6731058,41.9363029
"0","0",-72.6731629,41.9361038
"0","0",-72.6731433,41.9357596
"0","0",-72.673656,41.9357408
"0","0",-72.6736713,41.9357378
"0","0",-72.6736862,41.9357334
"0","0",-72.6737007,41.9357275
"0","0",-72.6737145,41.9357203
"0","0",-72.6737267,41.9357124
"0","0",-72.6737381,41.9357035
"0","0",-72.6737487,41.9356936
"0","0",-72.6737583,41.9356827
"0","0",-72.673767,41.9356711
"0","0",-72.6737745,41.9356587
"0","0",-72.6737809,41.9356457
"0","0",-72.6737861,41.9356321
"0","0",-72.6737901,41.9356182
"0","0",-72.6737929,41.9356039
"0","0",-72.6741349,41.9356039
"0","0",-72.6741383,41.9356181
"0","0",-72.674143,41.935632
"0","0",-72.6741487,41.9356454
"0","0",-72.6741557,41.9356582
"0","0",-72.6741637,41.9356704
"0","0",-72.6741727,41.9356819
"0","0",-72.6741826,41.9356926
"0","0",-72.6741934,41.9357024
"0","0",-72.6742051,41.9357112
"0","0",-72.6742174,41.935719
"0","0",-72.6742304,41.9357257
"0","0",-72.6742439,41.9357313
"0","0",-72.6742578,41.9357357
"0","0",-72.674272,41.9357389
"0","0",-72.6742865,41.9357408
"0","0",-72.6742974,41.9357415
"0","0",-72.6743084,41.9357414
"0","0",-72.6743193,41.9357407
"0","0",-72.6756756,41.9357354
"0","0",-72.6760263,41.9357251
"0","0",-72.676205,41.9357199
"0","0",-72.6762209,41.93572
"0","0",-72.6762367,41.9357188
"0","0",-72.6762523,41.9357161
"0","0",-72.6762677,41.9357122
"0","0",-72.6762827,41.935707
"0","0",-72.6762972,41.9357006
"0","0",-72.6763111,41.9356929
"0","0",-72.6763242,41.9356841
"0","0",-72.6763366,41.9356742
"0","0",-72.6763481,41.9356633
"0","0",-72.6763587,41.9356514
"0","0",-72.6763682,41.9356387
"0","0",-72.6763766,41.9356252
"0","0",-72.6763587,41.9353367
"0","0",-72.6761624,41.9353427
"0","0",-72.6761416,41.9345991
"0","0",-72.6763438,41.934608
"0","0",-72.6763397,41.934136
"0","0",-72.6760451,41.934136
"0","0",-72.6760475,41.9341931
"0","0",-72.6760405,41.9341934
"0","0",-72.6759808,41.9341953
"0","0",-72.6752503,41.9341931
"0","0",-72.6746031,41.9341884
"0","0",-72.6746055,41.9335911
"0","0",-72.6761474,41.933603
"0","0",-72.6761498,41.933703
"0","0",-72.6763359,41.9336985
"0","0",-72.6763349,41.9335878
"0","0",-72.6765967,41.9335878
"0","0",-72.6766086,41.9339239
"0","0",-72.6766105,41.9339388
"0","0",-72.6766137,41.9339535
"0","0",-72.6766183,41.9339678
"0","0",-72.6766241,41.9339817
"0","0",-72.676631,41.933995
"0","0",-72.6766392,41.9340077
"0","0",-72.6766484,41.9340195
"0","0",-72.6766586,41.9340305
"0","0",-72.6766698,41.9340406
"0","0",-72.6766818,41.9340497
"0","0",-72.6766945,41.9340576
"0","0",-72.6767079,41.9340644
"0","0",-72.6767219,41.93407
"0","0",-72.6767363,41.9340743
"0","0",-72.676751,41.9340774
"0","0",-72.6767659,41.9340791
"0","0",-72.6767809,41.9340795
"0","0",-72.6767959,41.9340786
"0","0",-72.6772272,41.9340697
"0","0",-72.6771945,41.9340042
"0","0",-72.6772037,41.9340061
"0","0",-72.677213,41.9340077
"0","0",-72.6772224,41.9340092
"0","0",-72.6772427,41.9340118
"0","0",-72.6772632,41.9340134
"0","0",-72.6772837,41.9340142
"0","0",-72.6773193,41.9340134
"0","0",-72.6773548,41.9340099
"0","0",-72.6773899,41.9340037
"0","0",-72.6774222,41.9339944
"0","0",-72.6774536,41.9339822
"0","0",-72.6774837,41.9339673
"0","0",-72.6775125,41.9339498
"0","0",-72.6775396,41.9339299
"0","0",-72.6775649,41.9339077
"0","0",-72.6775881,41.9338833
"0","0",-72.6776025,41.9338675
"0","0",-72.6776155,41.9338505
"0","0",-72.677627,41.9338325
"0","0",-72.6776368,41.9338135
"0","0",-72.6776449,41.9337937
"0","0",-72.6776513,41.9337733
"0","0",-72.6776559,41.9337524
"0","0",-72.6776586,41.9337312
"0","0",-72.6776595,41.9337091
"0","0",-72.6776583,41.9336871
"0","0",-72.6776552,41.9336653
"0","0",-72.6776502,41.9336439
"0","0",-72.6776432,41.933623
"0","0",-72.6776344,41.9336028
"0","0",-72.6776238,41.9335835
"0","0",-72.6773347,41.9332765
"0","0",-72.6770705,41.9330088
"0","0",-72.6765248,41.9326081
"0","0",-72.6759773,41.9322097
"0","0",-72.675428,41.9318137
"0","0",-72.6749928,41.931488
"0","0",-72.6747608,41.9313479
"0","0",-72.6744907,41.9311786
"0","0",-72.6742378,41.9310362
"0","0",-72.674207,41.9310177
"0","0",-72.6741856,41.9310037
"0","0",-72.6741636,41.9309906
"0","0",-72.6741412,41.9309784
"0","0",-72.6741103,41.9309636
"0","0",-72.6740787,41.9309505
"0","0",-72.6740465,41.9309392
"0","0",-72.6740306,41.9309367
"0","0",-72.6740146,41.9309356
"0","0",-72.6739985,41.9309359
"0","0",-72.6739826,41.9309377
"0","0",-72.6739669,41.9309409
"0","0",-72.6739515,41.9309456
"0","0",-72.6739366,41.9309515
"0","0",-72.6739223,41.9309588
"0","0",-72.6739081,41.9309655
"0","0",-72.6738943,41.9309731
"0","0",-72.6738811,41.9309815
"0","0",-72.6738693,41.9309901
"0","0",-72.6737031,41.931112
"0","0",-72.6737269,41.9311287
"0","0",-72.6737531,41.9314118
"0","0",-72.6734842,41.9316307
"0","0",-72.6734889,41.9316641
"0","0",-72.672965,41.9316855
"0","0",-72.6729155,41.9311358
"0","0",-72.6732938,41.9308217
"0","0",-72.6733515,41.9307139
"0","0",-72.6736317,41.9305124
"0","0",-72.6741603,41.9300997
"0","0",-72.6749826,41.9294753
"0","0",-72.6609083029945,41.9191519923323
"0","0",-72.6612222007701,41.9187484094779
"0","0",-72.6752717,41.9283832
"0","0",-72.6752644,41.9283681
"0","0",-72.6752584,41.9283524
"0","0",-72.6752537,41.9283363
"0","0",-72.6752505,41.9283198
"0","0",-72.6752487,41.9283031
"0","0",-72.6752483,41.9282863
"0","0",-72.6752493,41.9282696
"0","0",-72.6752517,41.928253
"0","0",-72.6752556,41.9282367
"0","0",-72.6752608,41.9282207
"0","0",-72.6752674,41.9282053
"0","0",-72.6752752,41.9281904
"0","0",-72.6757464,41.9278335
"0","0",-72.6758117,41.927795
"0","0",-72.6758803,41.9277627
"0","0",-72.6759516,41.927737
"0","0",-72.676025,41.9277181
"0","0",-72.6760999,41.9277062
"0","0",-72.676116,41.9277067
"0","0",-72.6761322,41.9277075
"0","0",-72.6761483,41.9277085
"0","0",-72.6762279,41.9277177
"0","0",-72.6763064,41.9277335
"0","0",-72.6763833,41.9277557
"0","0",-72.6764581,41.9277842
"0","0",-72.6765303,41.9278189
"0","0",-72.6765994,41.9278594
"0","0",-72.6766237,41.9278767
"0","0",-72.6766495,41.9278918
"0","0",-72.6766764,41.9279046
"0","0",-72.6767043,41.9279151
"0","0",-72.676733,41.9279232
"0","0",-72.6767623,41.9279288
"0","0",-72.676792,41.9279319
"0","0",-72.6768218,41.9279324
"0","0",-72.6768516,41.9279304
"0","0",-72.6768811,41.9279258
"0","0",-72.6769101,41.9279188
"0","0",-72.6769384,41.9279093
"0","0",-72.6769657,41.9278974
"0","0",-72.676992,41.9278832
"0","0",-72.6772805,41.9276601
"0","0",-72.67734,41.9277048
"0","0",-72.6778308,41.9273419
"0","0",-72.6787115,41.9273391
"0","0",-72.6802489,41.9284632
"0","0",-72.6805764,41.9282391
"0","0",-72.6819234,41.9282342
"0","0",-72.6821367,41.9282857
"0","0",-72.6821445,41.9282879
"0","0",-72.6821524,41.9282898
"0","0",-72.6821603,41.9282914
"0","0",-72.6821833,41.928295
"0","0",-72.6822065,41.9282966
"0","0",-72.6822297,41.9282963
"0","0",-72.6822529,41.9282941
"0","0",-72.6822758,41.92829
"0","0",-72.6822983,41.9282841
"0","0",-72.6823202,41.9282762
"0","0",-72.6823414,41.9282666
"0","0",-72.6824381,41.9281982
"0","0",-72.6827304,41.9284041
"0","0",-72.6827617,41.9283791
"0","0",-72.6828874,41.9285192
"0","0",-72.683015,41.9286355
"0","0",-72.6831303,41.928764
"0","0",-72.6832321,41.9289034
"0","0",-72.683469,41.9292057
"0","0",-72.683576,41.9294151
"0","0",-72.683676,41.929515
"0","0",-72.6837079,41.9295648
"0","0",-72.6834182,41.9295667
"0","0",-72.6834163,41.9295305
"0","0",-72.6833134,41.9295286
"0","0",-72.6833134,41.9295648
"0","0",-72.6832098,41.9295661
"0","0",-72.6828846,41.9295701
"0","0",-72.6828827,41.9295343
"0","0",-72.6827855,41.9295343
"0","0",-72.682788,41.9295713
"0","0",-72.6823591,41.9295766
"0","0",-72.6823566,41.9295382
"0","0",-72.6822556,41.9295363
"0","0",-72.6822549,41.9295779
"0","0",-72.6820702,41.9295801
"0","0",-72.681824,41.9295831
"0","0",-72.6818229,41.9295382
"0","0",-72.6817219,41.9295401
"0","0",-72.6817212,41.9295844
"0","0",-72.6812937,41.9295897
"0","0",-72.6812912,41.9295439
"0","0",-72.6811959,41.9295439
"0","0",-72.6811981,41.9295908
"0","0",-72.6811425,41.9295915
"0","0",-72.6811425,41.9297974
"0","0",-72.6811978,41.9298031
"0","0",-72.6811997,41.9298431
"0","0",-72.6813064,41.9298412
"0","0",-72.6813026,41.9298012
"0","0",-72.6817334,41.9297974
"0","0",-72.6817353,41.9298355
"0","0",-72.6818344,41.9298374
"0","0",-72.6818306,41.9297974
"0","0",-72.6820702,41.9297952
"0","0",-72.6821952,41.9297941
"0","0",-72.6822594,41.9297936
"0","0",-72.6822594,41.9298298
"0","0",-72.6823604,41.9298336
"0","0",-72.6823585,41.9297916
"0","0",-72.6826652,41.9297889
"0","0",-72.6827874,41.9297878
"0","0",-72.6827912,41.9298279
"0","0",-72.6828884,41.929826
"0","0",-72.6828903,41.9297897
"0","0",-72.6832332,41.9297851
"0","0",-72.6833153,41.929784
"0","0",-72.6833172,41.929826
"0","0",-72.6834163,41.929826
"0","0",-72.6834182,41.9297859
"0","0",-72.6836377,41.9297814
"0","0",-72.6836927,41.9297802
"0","0",-72.6836889,41.9296983
"0","0",-72.6838852,41.9297021
"0","0",-72.6840291,41.9298319
"0","0",-72.6841113,41.9299047
"0","0",-72.6841474,41.9299368
"0","0",-72.6841742,41.9299605
"0","0",-72.6843203,41.9300879
"0","0",-72.6843742,41.9301342
"0","0",-72.6843956,41.9301525
"0","0",-72.6844267,41.9301792
"0","0",-72.6845336,41.9302699
"0","0",-72.684641,41.9303599
"0","0",-72.6846478,41.9303651
"0","0",-72.684824,41.9305013
"0","0",-72.6848977,41.9305583
"0","0",-72.6848025,41.9306225
"0","0",-72.6848144,41.9306296
"0","0",-72.6840887,41.9311936
"0","0",-72.6837436,41.9314577
"0","0",-72.683727,41.9314529
"0","0",-72.6836865,41.9314934
"0","0",-72.6836508,41.9314624
"0","0",-72.6835676,41.9315219
"0","0",-72.6836033,41.9315434
"0","0",-72.6835747,41.9315767
"0","0",-72.6837746,41.9317289
