shapeid,partid,x,y
"0","0",-122.2918335,47.514112
"0","0",-122.2918246,47.5138175
"0","0",-122.2934929,47.5138464
"0","0",-122.2938009,47.5143577
"0","0",-122.2944446,47.5141729
"0","0",-122.2959842,47.5163504
"0","0",-122.2938733,47.5170352
"0","0",-122.2934844,47.5165678
"0","0",-122.2933837,47.5166077
"0","0",-122.2932967,47.5166421
"0","0",-122.2932242,47.5167236
"0","0",-122.2932068,47.5167933
"0","0",-122.2951031,47.5190323
"0","0",-122.2955189,47.5195223
"0","0",-122.2955497,47.5195277
"0","0",-122.2957356,47.519465
"0","0",-122.2957697,47.5194525
"0","0",-122.2956878,47.5193584
"0","0",-122.295708,47.5193448
"0","0",-122.2957737,47.5193285
"0","0",-122.2963906,47.519304
"0","0",-122.2965448,47.5195096
"0","0",-122.2976606,47.5194915
"0","0",-122.2977357,47.5195422
"0","0",-122.2977411,47.5196074
"0","0",-122.2981005,47.5196183
"0","0",-122.2983151,47.5199932
"0","0",-122.2983151,47.5201327
"0","0",-122.2971698,47.5201291
"0","0",-122.2971671,47.5202613
"0","0",-122.2985109,47.520274
"0","0",-122.2985189,47.5204696
"0","0",-122.297387,47.5204642
"0","0",-122.297387,47.5205964
"0","0",-122.298704,47.5206037
"0","0",-122.2986879,47.5207993
"0","0",-122.2976016,47.5207957
"0","0",-122.297607,47.5209243
"0","0",-122.2989052,47.520937
"0","0",-122.2988944,47.5211
"0","0",-122.2972422,47.5210909
"0","0",-122.2970951,47.5211272
"0","0",-122.2969927,47.5211525
"0","0",-122.2969431,47.5211878
"0","0",-122.296978,47.5212458
"0","0",-122.2983271,47.5229865
"0","0",-122.2983808,47.5230082
"0","0",-122.2984264,47.5230082
"0","0",-122.2984747,47.5229919
"0","0",-122.2985068,47.5229702
"0","0",-122.2985256,47.5229394
"0","0",-122.2983406,47.5227293
"0","0",-122.298387,47.5227112
"0","0",-122.2989821,47.5224792
"0","0",-122.2993625,47.5223308
"0","0",-122.2997594,47.5228035
"0","0",-122.299378,47.5229431
"0","0",-122.2987591,47.5231695
"0","0",-122.2986356,47.5232147
"0","0",-122.2986061,47.5232401
"0","0",-122.2985954,47.5232618
"0","0",-122.2985927,47.523298
"0","0",-122.2992659,47.5240986
"0","0",-122.2995218,47.5243961
"0","0",-122.2995395,47.5243983
"0","0",-122.2995744,47.5243893
"0","0",-122.2996213,47.5243685
"0","0",-122.2996468,47.5243386
"0","0",-122.2994412,47.5240938
"0","0",-122.2990634,47.523644
"0","0",-122.2991247,47.5236199
"0","0",-122.2991596,47.5236062
"0","0",-122.2998734,47.5233252
"0","0",-122.3000317,47.5235027
"0","0",-122.3002248,47.5234284
"0","0",-122.3005038,47.5237418
"0","0",-122.3003133,47.5238197
"0","0",-122.3004769,47.524008
"0","0",-122.3010536,47.5237907
"0","0",-122.3012467,47.5241366
"0","0",-122.3005574,47.5243431
"0","0",-122.3006566,47.5244952
"0","0",-122.3012494,47.5243232
"0","0",-122.3012857,47.5243836
"0","0",-122.3013179,47.5244372
"0","0",-122.3013299,47.5244572
"0","0",-122.3013111,47.5245315
"0","0",-122.3014883,47.5247423
"0","0",-122.3017966,47.5251093
"0","0",-122.301795,47.5251308
"0","0",-122.3017885,47.5252215
"0","0",-122.301751,47.5252342
"0","0",-122.3018073,47.525323
"0","0",-122.3016651,47.5253773
"0","0",-122.301336,47.5249846
