shapeid,partid,x,y
"0","0",-76.6685976,39.1826555
"0","0",-76.668887,39.1829913
"0","0",-76.6689263,39.1829675
"0","0",-76.6714908,39.1856767
"0","0",-76.6695228,39.1867041
"0","0",-76.6682916,39.1854011
"0","0",-76.6681879,39.1852862
"0","0",-76.6674669,39.1856836
"0","0",-76.6689843,39.1872767
"0","0",-76.6670728,39.188358
"0","0",-76.6663607,39.1875889
"0","0",-76.6662006,39.1874352
"0","0",-76.6651228,39.1862569
"0","0",-76.6661362,39.1856878
"0","0",-76.6661077,39.1856464
"0","0",-76.6660744,39.1856087
"0","0",-76.6660368,39.1855753
"0","0",-76.6659954,39.1855467
"0","0",-76.6659509,39.1855233
"0","0",-76.6659039,39.1855054
"0","0",-76.6658551,39.1854932
"0","0",-76.6658052,39.1854871
"0","0",-76.6657549,39.185487
"0","0",-76.665705,39.185493
"0","0",-76.6655717,39.1855526
"0","0",-76.6654108,39.1856284
"0","0",-76.6652516,39.1857078
"0","0",-76.6650942,39.1857906
"0","0",-76.6647517,39.1859725
"0","0",-76.6646899,39.1860061
"0","0",-76.6646305,39.186044
"0","0",-76.664574,39.186086
"0","0",-76.6645337,39.1861169
"0","0",-76.6644967,39.1861518
"0","0",-76.6644636,39.1861904
"0","0",-76.6644445,39.1862169
"0","0",-76.6644151,39.186267
"0","0",-76.6643918,39.1863202
"0","0",-76.6643815,39.186351
"0","0",-76.6643112,39.1865567
"0","0",-76.6642194,39.1868102
"0","0",-76.6641912,39.1868714
"0","0",-76.6641581,39.18693
"0","0",-76.6641203,39.1869857
"0","0",-76.664078,39.1870381
"0","0",-76.6640627,39.187055
"0","0",-76.6640216,39.1870961
"0","0",-76.6639777,39.1871341
"0","0",-76.6639312,39.1871689
"0","0",-76.6753790703136,39.1994098896729
"0","0",-76.6744240586352,39.2000176243773
"0","0",-76.6631375569811,39.1877761110448
"0","0",-76.6623016,39.1880784
"0","0",-76.6619883,39.1877075
"0","0",-76.6620208,39.1876475
"0","0",-76.6621144,39.1874754
"0","0",-76.6621272,39.1874518
"0","0",-76.6621303,39.18744
"0","0",-76.6621317,39.1874279
"0","0",-76.6621313,39.1874157
"0","0",-76.662129,39.1874037
"0","0",-76.6621251,39.1873922
"0","0",-76.6621197,39.1873818
"0","0",-76.662113,39.1873723
"0","0",-76.662105,39.1873638
"0","0",-76.6620958,39.1873566
"0","0",-76.6620857,39.1873507
"0","0",-76.661685,39.1869127
"0","0",-76.6613958,39.1865895
"0","0",-76.6613792,39.1865774
"0","0",-76.6613611,39.1865679
"0","0",-76.6613418,39.1865612
"0","0",-76.6613217,39.1865574
"0","0",-76.6613012,39.1865566
"0","0",-76.661279,39.1865591
"0","0",-76.6612574,39.1865653
"0","0",-76.6605155,39.186944
"0","0",-76.6603607,39.1870416
"0","0",-76.6602298,39.1868809
"0","0",-76.6602433,39.1868827
"0","0",-76.6602569,39.1868822
"0","0",-76.6602701,39.1868793
"0","0",-76.6602827,39.1868742
"0","0",-76.6602942,39.186867
"0","0",-76.6603043,39.1868579
"0","0",-76.6603127,39.1868472
"0","0",-76.6603191,39.1868353
"0","0",-76.6603234,39.1868224
"0","0",-76.6603254,39.186809
"0","0",-76.6603251,39.1867954
"0","0",-76.6603224,39.1867821
"0","0",-76.6603174,39.1867694
"0","0",-76.6593374,39.1856973
"0","0",-76.6590907,39.1854652
"0","0",-76.6590814,39.1854571
"0","0",-76.6590709,39.1854507
"0","0",-76.6590594,39.1854463
"0","0",-76.6590473,39.1854439
"0","0",-76.659035,39.1854436
"0","0",-76.6590228,39.1854455
"0","0",-76.6590112,39.1854494
"0","0",-76.6590004,39.1854554
"0","0",-76.6589907,39.185463
"0","0",-76.6589826,39.1854723
"0","0",-76.6589762,39.1854828
"0","0",-76.6589717,39.1854943
"0","0",-76.6589693,39.1855063
"0","0",-76.658969,39.1855186
"0","0",-76.6589708,39.1855308
"0","0",-76.6589747,39.1855425
"0","0",-76.6590409,39.1856108
"0","0",-76.6591048,39.1856813
"0","0",-76.6591186,39.1856971
"0","0",-76.6587405,39.1859087
"0","0",-76.6586636,39.1859491
"0","0",-76.657944,39.1863576
"0","0",-76.6573739,39.1866682
"0","0",-76.6565357,39.1856859
"0","0",-76.6563876,39.1855348
"0","0",-76.6562425,39.1853808
"0","0",-76.6561005,39.1852239
