Lat,Lon
41.392684,-81.874938
41.392638,-81.875276
41.39262,-81.875439
41.392616,-81.875584
41.392625,-81.875753
41.392636,-81.875888
41.392645,-81.875993
41.392666,-81.876109
41.39271,-81.87629
41.392762,-81.876459
41.392854,-81.876692
41.392959,-81.876901
41.3929936,-81.8769494
41.393134,-81.877146
41.393335,-81.877373
41.3938529,-81.8780109
41.3939867,-81.8781758
41.3940776,-81.8782878
41.3943363,-81.8785735
41.3945156,-81.87878
41.3946116,-81.8788822
41.3947534,-81.8790157
41.3948744,-81.8791116
41.3950266,-81.8792138
41.3951005,-81.8792548
41.395259,-81.8793237
41.3952442,-81.8794085
41.3952058,-81.8796235
41.3951943,-81.8796919
41.3951751,-81.8798217
41.3951666,-81.87988
41.3951448,-81.8800433
41.3951363,-81.8801224
41.3951332,-81.8801685
41.3951347,-81.8802038
41.3951371,-81.8802422
41.3951386,-81.8802562
41.3951424,-81.880279
41.3951486,-81.8803166
41.395155,-81.8803406
41.3951639,-81.880365
41.3951716,-81.8803827
41.39518,-81.8804019
41.3951962,-81.8804303
41.3952108,-81.8804518
41.3952284,-81.8804756
41.3952553,-81.8805056
41.3952891,-81.8805386
41.3953123,-81.8805598
41.3953473,-81.8805872
41.3953983,-81.880625
41.3954285,-81.8806448
41.3954504,-81.880657
41.3956632,-81.8804442
41.3957238,-81.8803836
41.3958166,-81.8803479
41.3959595,-81.8802459
41.395824,-81.879957
41.396476,-81.879906
41.396767,-81.879873
41.396988,-81.879778
41.397079,-81.879728
41.397512,-81.879275
41.397615,-81.879183
41.3976726,-81.8791502
41.3977823,-81.8789516
41.3978887,-81.8788974
41.3979388,-81.8788723
41.3980328,-81.8788277
41.3981258,-81.8787721
41.3982777,-81.8786809
41.3985232,-81.8785267
41.3987821,-81.8783652
41.3989503,-81.8782424
41.3992068,-81.878064
41.3993567,-81.877958
41.3994321,-81.8778937
41.3994955,-81.877844
41.3996172,-81.8777327
41.3997178,-81.8776268
41.3997812,-81.8775477
41.3998959,-81.8774122
41.4000257,-81.8772003
41.4013334,-81.8751605
41.4022679,-81.873688
41.4024369,-81.8734305
41.4025979,-81.8732199
41.4026989,-81.8731081
41.4027347,-81.8730684
41.4028494,-81.8729584
41.4029429,-81.8728766
41.4029634,-81.8728601
41.4031572,-81.8717497
41.4031927,-81.8713225
41.4032246,-81.8711389
41.403261,-81.8709561
41.4033017,-81.8707742
41.4033467,-81.8705934
41.403396,-81.8704136
41.4034496,-81.8702351
41.4036329,-81.8698282
41.4036987,-81.8696957
41.4037685,-81.8695652
41.4038105,-81.8694924
41.403965,-81.8692242
41.4041482,-81.8689686
41.4043388,-81.8686587
41.4043668,-81.8686133
41.4044365,-81.8684998
41.4045061,-81.8683863
41.4045519,-81.8683311
41.4046014,-81.8682792
41.4046545,-81.868231
41.4047108,-81.8681866
41.4047701,-81.8681463
41.4048321,-81.8681103
41.4049305,-81.8680591
41.405329,-81.867852
41.4054534,-81.867777
41.4055769,-81.8676939
41.4057297,-81.8675424
41.4058327,-81.86739
41.4058647,-81.8673426
41.4060942,-81.8670055
41.40718,-81.865411
41.4075711,-81.8653555
41.407615,-81.8653493
41.407645,-81.865345
41.4079349,-81.8656298
