shapeid,partid,x,y
"0","0",-104.658279,39.8320419
"0","0",-104.6601825,39.8320481
"0","0",-104.660199,39.829392
"0","0",-104.660206,39.828225
"0","0",-104.660225290894,39.8132934480607
"0","0",-104.661332136088,39.8132934480607
"0","0",-104.6609185,39.8282142
"0","0",-104.6612941,39.8282018
"0","0",-104.6617393,39.828173
"0","0",-104.662037,39.8281524
"0","0",-104.6621953,39.828138
"0","0",-104.6622704,39.828105
"0","0",-104.6623187,39.8280515
"0","0",-104.6623455,39.8279938
"0","0",-104.6623482,39.8278413
"0","0",-104.6623562,39.82745
"0","0",-104.6623535,39.8273037
"0","0",-104.6623669,39.8272275
"0","0",-104.6624045,39.8271142
"0","0",-104.6624608,39.8270174
"0","0",-104.6625171,39.8269432
"0","0",-104.6626325,39.8268382
"0","0",-104.662772,39.8267537
"0","0",-104.6629087,39.8266878
"0","0",-104.6630455,39.8266549
"0","0",-104.6633299,39.8266322
"0","0",-104.6633272,39.8265848
"0","0",-104.6640697,39.8265965
"0","0",-104.6642445,39.8265992
"0","0",-104.664848,39.8266013
"0","0",-104.6650036,39.8266075
"0","0",-104.6651806,39.8266507
"0","0",-104.6653522,39.826729
"0","0",-104.6654864,39.8268155
"0","0",-104.6656124,39.8269268
"0","0",-104.6656982,39.827073
"0","0",-104.6657304,39.8271884
"0","0",-104.6657358,39.8272728
"0","0",-104.6657358,39.8276148
"0","0",-104.6656822,39.8276292
"0","0",-104.6656741,39.8280226
"0","0",-104.6657063,39.8280885
"0","0",-104.665768,39.82814
"0","0",-104.6658484,39.828173
"0","0",-104.6660147,39.8281833
"0","0",-104.6665217,39.8282348
"0","0",-104.6668033,39.8282574
"0","0",-104.6689142,39.8282739
"0","0",-104.6710037,39.8282863
"0","0",-104.6723914,39.8282967
"0","0",-104.6729161,39.8283007
"0","0",-104.6756466,39.8283172
"0","0",-104.6777145,39.8283295
"0","0",-104.6777199,39.8287456
"0","0",-104.6777414,39.8289578
"0","0",-104.6777709,39.828966
"0","0",-104.6802761,39.8289784
"0","0",-104.6804249,39.8289789
"0","0",-104.6823172,39.8289846
"0","0",-104.6824969,39.8289907
"0","0",-104.6824902,39.8290371
"0","0",-104.6824902,39.8290814
"0","0",-104.6824916,39.8291298
"0","0",-104.6824902,39.8292348
"0","0",-104.68248,39.83058
"0","0",-104.6824787,39.830659
"0","0",-104.682469,39.831244
"0","0",-104.682469,39.831278
"0","0",-104.682469,39.8313
"0","0",-104.6824714,39.831446
"0","0",-104.6818988,39.8314398
"0","0",-104.6819001,39.8315717
"0","0",-104.681821,39.8315686
"0","0",-104.681817,39.8315387
"0","0",-104.6806127,39.8315366
"0","0",-104.6804168,39.8315391
"0","0",-104.6798214,39.8315469
"0","0",-104.6797973,39.8314275
"0","0",-104.6795264,39.8314275
"0","0",-104.6795237,39.8313842
"0","0",-104.6768764,39.8314007
"0","0",-104.675259,39.8313822
"0","0",-104.6725312,39.8313683
"0","0",-104.6725305,39.831346
"0","0",-104.6725339,39.8312771
"0","0",-104.6725392,39.8311473
"0","0",-104.6725419,39.8309434
"0","0",-104.67254,39.830808
"0","0",-104.6725392,39.8306334
"0","0",-104.6723179,39.8306334
"0","0",-104.6723837,39.8305127
"0","0",-104.672381,39.8304159
"0","0",-104.672381,39.8302985
"0","0",-104.6722786,39.830294
"0","0",-104.6722001,39.8302776
"0","0",-104.6721986,39.8301391
"0","0",-104.6721771,39.8300835
"0","0",-104.6721288,39.8300402
"0","0",-104.671984,39.8299743
"0","0",-104.671461,39.8297395
"0","0",-104.6713295,39.8297045
"0","0",-104.6711954,39.8296777
"0","0",-104.6709674,39.8296509
"0","0",-104.6699992,39.8295726
"0","0",-104.6695861,39.8295685
"0","0",-104.6678427,39.8295541
"0","0",-104.6662092,39.8295459
"0","0",-104.665308,39.8295356
"0","0",-104.6650478,39.8295603
"0","0",-104.6644363,39.8295994
"0","0",-104.6642861,39.8296303
"0","0",-104.6642244,39.8296859
"0","0",-104.6642002,39.8297436
"0","0",-104.6641064,39.8303409
"0","0",-104.6640849,39.830479
"0","0",-104.6640795,39.8306602
"0","0",-104.6640715,39.8316221
"0","0",-104.6640581,39.8327282
