shapeid,partid,x,y
"0","0",-83.351879,42.1949316
"0","0",-83.3598304892836,42.1810174650729
"0","0",-83.3626550990605,42.1825784336338
"0","0",-83.3528151,42.1949098
"0","0",-83.352543,42.1952725
"0","0",-83.352398,42.1954659
"0","0",-83.3524654,42.1956579
"0","0",-83.352514,42.1958
"0","0",-83.352836,42.195929
"0","0",-83.353832,42.1963397
"0","0",-83.3548429,42.1967508
"0","0",-83.3536891,42.198324
"0","0",-83.3527316,42.1983479
"0","0",-83.352627,42.1983797
"0","0",-83.3525744,42.1984208
"0","0",-83.3525052,42.198508
"0","0",-83.3523909,42.1986777
"0","0",-83.3522983,42.1987989
"0","0",-83.3522983,42.1988406
"0","0",-83.3523278,42.1988645
"0","0",-83.3524432,42.1988665
"0","0",-83.3525936,42.1988644
"0","0",-83.3528562,42.1988603
"0","0",-83.3541224,42.1988401
"0","0",-83.3552682,42.1988218
"0","0",-83.3556726,42.1988154
"0","0",-83.3564181,42.1988036
"0","0",-83.3568528,42.1987966
"0","0",-83.3575707399882,42.1987411520372
"0","0",-83.3592358345938,42.1938025409051
"0","0",-83.3616887851895,42.1951405139573
"0","0",-83.3585014649682,42.1987411520372
"0","0",-83.359535,42.1987541
"0","0",-83.36062,42.198731
"0","0",-83.360922,42.198727
"0","0",-83.3610636,42.1987234
"0","0",-83.3612973,42.1987262
"0","0",-83.3632067,42.198696
"0","0",-83.3678453765222,42.1985988650284
"0","0",-83.3686079,42.1975767
"0","0",-83.3692273,42.1967404
"0","0",-83.3693617,42.1965623
"0","0",-83.3695138,42.1963868
"0","0",-83.3696695,42.1962533
"0","0",-83.3699404,42.1960717
"0","0",-83.3702232,42.1959213
"0","0",-83.3704889,42.1958188
"0","0",-83.3706926,42.1957589
"0","0",-83.370817,42.1957321
"0","0",-83.3709833,42.1957021
"0","0",-83.371219,42.195676
"0","0",-83.3714274,42.1956687
"0","0",-83.3716722,42.1956719
"0","0",-83.3719062,42.195687
"0","0",-83.3721793,42.1957316
"0","0",-83.3724793,42.1958157
"0","0",-83.3726343,42.1958688
"0","0",-83.372925,42.1959859
"0","0",-83.3736914,42.1962974
"0","0",-83.3742484,42.1965246
"0","0",-83.3747626052242,42.1966765239227
"0","0",-83.3796770895581,42.1880046576789
"0","0",-83.3827990266799,42.1895656262398
"0","0",-83.3759173340697,42.1970614335379
"0","0",-83.3778124,42.1979822
"0","0",-83.3780443,42.1980763
"0","0",-83.3782063,42.1981526
"0","0",-83.3783588,42.1982464
"0","0",-83.3784966,42.1983471
"0","0",-83.3816139963739,42.1985240900754
"0","0",-83.3816139963739,42.1987550358445
"0","0",-83.379671,42.1997224
"0","0",-83.3797657,42.1998303
"0","0",-83.3799852,42.200048
"0","0",-83.3802486,42.2002937
"0","0",-83.3804218,42.2004748
"0","0",-83.380554,42.2005836
"0","0",-83.380662,42.2006528
"0","0",-83.3808686,42.2007524
"0","0",-83.381094,42.2008779
"0","0",-83.3816359,42.2011
"0","0",-83.3825651,42.2014821
"0","0",-83.3834154,42.2018293
"0","0",-83.3838646,42.2017377
"0","0",-83.3920161743729,42.187410002989
"0","0",-83.3946177886411,42.1898629535847
"0","0",-83.3828336,42.2043852
"0","0",-83.3823094,42.2051003
"0","0",-83.3799875,42.208268
"0","0",-83.379612,42.2087786
"0","0",-83.3790326,42.209551
"0","0",-83.3773231,42.2118874
"0","0",-83.3740710500348,42.2162789497192
"0","0",-83.3840626678959,42.2149871142318
"0","0",-83.3833193495335,42.2175887285
"0","0",-83.3735971832403,42.2170112893106
"0","0",-83.3730128014279,42.2177694443914
"0","0",-83.3717125,42.2194978
"0","0",-83.3709994,42.2204608
"0","0",-83.3689015,42.2233199
"0","0",-83.3678891,42.2246959
"0","0",-83.3675594,42.2251447
"0","0",-83.3669591,42.2259617
"0","0",-83.3665091,42.2265742
"0","0",-83.3577491978691,42.2396652838614
"0","0",-83.355816570127,42.2385503063179
"0","0",-83.3657067,42.2264088
"0","0",-83.3656768,42.2263172
