shapeid,partid,x,y
"0","0",-95.2839941,29.6355982
"0","0",-95.2839941,29.6353005
"0","0",-95.2846432,29.6353099
"0","0",-95.2846509,29.6355733
"0","0",-95.2846592,29.6358545
"0","0",-95.2848819,29.6358584
"0","0",-95.2850722,29.6355573
"0","0",-95.285177,29.6353915
"0","0",-95.2852225,29.6353658
"0","0",-95.2852762,29.6353658
"0","0",-95.2855283,29.6354637
"0","0",-95.2856278,29.6355363
"0","0",-95.2857617,29.6356339
"0","0",-95.285805,29.635678
"0","0",-95.2858716,29.6357458
"0","0",-95.2860272,29.6360442
"0","0",-95.2859875,29.636094
"0","0",-95.2854613,29.636753
"0","0",-95.2854505,29.6369628
"0","0",-95.2854747,29.6378673
"0","0",-95.2854901,29.6384708
"0","0",-95.2963449497034,29.6277007531018
"0","0",-95.297613662619,29.6288335324907
"0","0",-95.2856215,29.6392518
"0","0",-95.2864128,29.6399255
"0","0",-95.2865361,29.6400311
"0","0",-95.2866637,29.6401405
"0","0",-95.2867883,29.6402473
"0","0",-95.2868323,29.6403071
"0","0",-95.2868688,29.6403568
"0","0",-95.286909,29.6404501
"0","0",-95.2869278,29.6405293
"0","0",-95.2869251,29.6406249
"0","0",-95.2869251,29.6407182
"0","0",-95.2869385,29.6407671
"0","0",-95.2869841,29.6408021
"0","0",-95.2873033,29.6408044
"0","0",-95.2873676,29.6407928
"0","0",-95.2874307,29.6407321
"0","0",-95.287429,29.640656
"0","0",-95.2874448,29.6404667
"0","0",-95.2875199,29.6404644
"0","0",-95.2875026,29.6398849
"0","0",-95.2875011,29.6398349
"0","0",-95.2876674,29.6398279
"0","0",-95.2878337,29.6396927
"0","0",-95.2882709,29.6396741
"0","0",-95.2882843,29.6397953
"0","0",-95.2882762,29.640145
"0","0",-95.2878337,29.6401543
"0","0",-95.2878283,29.6399818
"0","0",-95.2877854,29.6399655
"0","0",-95.2877425,29.6399608
"0","0",-95.2876888,29.6399818
"0","0",-95.287662,29.6400447
"0","0",-95.2876732,29.6404829
"0","0",-95.287682,29.640509
"0","0",-95.2876729,29.6405587
"0","0",-95.2876808,29.6405669
"0","0",-95.2877103,29.6405926
"0","0",-95.2877666,29.6406042
"0","0",-95.2878444,29.6406042
"0","0",-95.2878551,29.6409306
"0","0",-95.2876996,29.6409399
"0","0",-95.2876942,29.6410635
"0","0",-95.2877183,29.6411054
"0","0",-95.28778,29.6411264
"0","0",-95.2879088,29.6411218
"0","0",-95.2879044,29.6415745
"0","0",-95.2879034,29.6416766
"0","0",-95.2877708,29.6416738
"0","0",-95.2876551,29.6416714
"0","0",-95.2874421,29.6416719
"0","0",-95.2874313,29.6411987
"0","0",-95.2873589,29.6412034
"0","0",-95.2873402,29.6411474
"0","0",-95.2873026,29.6411194
"0","0",-95.2872355,29.6411031
"0","0",-95.2870719,29.6411101
"0","0",-95.2869173,29.6411088
"0","0",-95.286801,29.6411078
"0","0",-95.286683,29.6411124
"0","0",-95.2866294,29.6411194
"0","0",-95.2865596,29.641187
"0","0",-95.2863441,29.641387
"0","0",-95.2858864,29.6418118
"0","0",-95.2857523,29.6419284
