shapeid,partid,x,y
"0","0",-115.1675714,36.0733206
"0","0",-115.173736358565,36.0596940090215
"0","0",-115.176261334826,36.0610647104203
"0","0",-115.1684663,36.0733856
"0","0",-115.170907067198,36.0730072328434
"0","0",-115.177271325331,36.0608482838837
"0","0",-115.179507732876,36.062507553998
"0","0",-115.172799346894,36.0730072328434
"0","0",-115.180012728128,36.0721024637897
"0","0",-115.17994058595,36.0746995822296
"0","0",-115.171951083582,36.0741817512759
"0","0",-115.1711753,36.0756777
"0","0",-115.1712899,36.0757998
"0","0",-115.1713728,36.0759181
"0","0",-115.1714028,36.075976
"0","0",-115.1714262,36.076
"0","0",-115.1714593,36.0760058
"0","0",-115.186938377301,36.0746995822296
"0","0",-115.186505524228,36.0779459802794
"0","0",-115.1715386,36.0767182
"0","0",-115.1715193,36.0774
"0","0",-115.1715133,36.0774691
"0","0",-115.1715239,36.0775547
"0","0",-115.1715493,36.0776182
"0","0",-115.1716173,36.0777212
"0","0",-115.1713764,36.0784176
"0","0",-115.1713405,36.0785005
"0","0",-115.1713025,36.0785824
"0","0",-115.1712623,36.0786633
"0","0",-115.1711308,36.0789016
"0","0",-115.1704572,36.080104
"0","0",-115.1706844,36.0801485
"0","0",-115.1706686,36.0802108
"0","0",-115.1709106,36.0803534
"0","0",-115.1710316,36.0804172
"0","0",-115.1711215,36.0804525
"0","0",-115.1712143,36.0804793
"0","0",-115.1713122,36.0804977
"0","0",-115.1714115,36.0805066
"0","0",-115.1715112,36.080506
"0","0",-115.1724275,36.0804615
"0","0",-115.1724332,36.0805228
"0","0",-115.1724093,36.0805269
"0","0",-115.1723854,36.0805444
"0","0",-115.1723839,36.0805729
"0","0",-115.172417,36.0818366
"0","0",-115.171845,36.0821386
"0","0",-115.1717733,36.0821621
"0","0",-115.1717227,36.0821697
"0","0",-115.1700541,36.0821875
"0","0",-115.1700544,36.0825605
"0","0",-115.1703713,36.0825566
"0","0",-115.1704112,36.0841538
"0","0",-115.1700421,36.0841638
"0","0",-115.1700416,36.0842915
"0","0",-115.1700411,36.0844092
"0","0",-115.1689629,36.0844324
"0","0",-115.1687983,36.084436
"0","0",-115.1687992,36.0844525
"0","0",-115.1688107,36.0846632
"0","0",-115.1700437,36.0846416
"0","0",-115.1700486,36.0849444
"0","0",-115.1688227,36.0849666
"0","0",-115.1688237,36.085041
"0","0",-115.1688261,36.0852142
"0","0",-115.1690426,36.0852113
"0","0",-115.1700561,36.085198
"0","0",-115.1700601,36.0856283
"0","0",-115.1695887,36.0856363
"0","0",-115.1694847,36.0856381
"0","0",-115.1694968,36.0860575
"0","0",-115.1692199,36.0860665
"0","0",-115.1690123,36.0860732
"0","0",-115.1689109,36.0860196
"0","0",-115.1687473,36.0860136
"0","0",-115.1686521,36.0860493
"0","0",-115.1682907,36.0860768
"0","0",-115.1682893,36.0859868
"0","0",-115.1682149,36.0859898
"0","0",-115.1682176,36.0863946
"0","0",-115.1681872,36.0863767
"0","0",-115.1679651,36.0867237
"0","0",-115.1676388,36.0866002
"0","0",-115.1675087,36.0865509
"0","0",-115.1672432,36.0870035
"0","0",-115.1672131,36.0869996
"0","0",-115.1665546,36.0881475
"0","0",-115.166873,36.0882693
"0","0",-115.1670458,36.0882668
"0","0",-115.1676486,36.0882582
"0","0",-115.168014,36.088253
"0","0",-115.1679958,36.0886705
"0","0",-115.1679157,36.0886743
"0","0",-115.1676778,36.0886857
"0","0",-115.1676511,36.0886859
"0","0",-115.1673941,36.0886875
"0","0",-115.1673862,36.0886876
"0","0",-115.1673884,36.088954
"0","0",-115.1671449,36.088957
"0","0",-115.1671434,36.0888832
"0","0",-115.1670877,36.0888843
"0","0",-115.1670812,36.0901231
"0","0",-115.1671396,36.0901246
"0","0",-115.167137,36.0900626
"0","0",-115.1672367,36.090062
"0","0",-115.1672309,36.0904136
"0","0",-115.1663821,36.090403
"0","0",-115.1663923,36.0918856
"0","0",-115.1662756,36.0918803
"0","0",-115.1655091,36.0922485
"0","0",-115.1653331,36.0920157
"0","0",-115.1653457,36.092007
"0","0",-115.165323,36.0919698
"0","0",-115.164901,36.0921752
"0","0",-115.1649416,36.0922088
"0","0",-115.1649595,36.0922052
"0","0",-115.1649987,36.092253
"0","0",-115.1648236,36.0923342
"0","0",-115.1650027,36.0925648
"0","0",-115.1647295,36.0926896
"0","0",-115.1641169,36.0926897
"0","0",-115.1641167,36.092252
"0","0",-115.1637673,36.0917795
"0","0",-115.1630982,36.0929436
"0","0",-115.1627757,36.0935048
"0","0",-115.1624761,36.0940262
"0","0",-115.1623898,36.0941762
"0","0",-115.162482,36.0941772
"0","0",-115.1641398,36.094196
"0","0",-115.1641465,36.0939643
"0","0",-115.1646383,36.0939701
"0","0",-115.1646365,36.0939414
"0","0",-115.1649643,36.0939458
"0","0",-115.164968,36.094026
"0","0",-115.1655471,36.094026
"0","0",-115.1655501,36.0939958
"0","0",-115.1659163,36.0939913
"0","0",-115.16592,36.0938603
"0","0",-115.1665486,36.0938579
"0","0",-115.1665476,36.0940557
"0","0",-115.1664584,36.0940574
"0","0",-115.1664393,36.0940593
"0","0",-115.1664209,36.0940646
