shapeid,partid,x,y
"0","0",-73.8582316,40.7689559
"0","0",-73.8599053,40.7675949
"0","0",-73.8601199,40.7675745
"0","0",-73.8605464,40.7676659
"0","0",-73.8604927,40.7677899
"0","0",-73.8608704,40.768484
"0","0",-73.8611118,40.7686526
"0","0",-73.8614851,40.7688949
"0","0",-73.8604283,40.7698416
"0","0",-73.8606483,40.7700041
"0","0",-73.8622576,40.7687406
"0","0",-73.8638243,40.7697949
"0","0",-73.8638048,40.7698967
"0","0",-73.8640623,40.7700795
"0","0",-73.8639309,40.7703781
"0","0",-73.8638258,40.7704769
"0","0",-73.8637017,40.7705832
"0","0",-73.8636501,40.7706196
"0","0",-73.8636354,40.7706039
"0","0",-73.8635368,40.7706831
"0","0",-73.8635549,40.7707029
"0","0",-73.8634684,40.770773
"0","0",-73.8633705,40.7708553
"0","0",-73.8632981,40.7709147
"0","0",-73.8631593,40.7710289
"0","0",-73.8631392,40.7710447
"0","0",-73.8626354,40.7714527
"0","0",-73.8628875,40.7716152
"0","0",-73.8637454,40.7709106
"0","0",-73.8637963,40.770935
"0","0",-73.8642018,40.7705792
"0","0",-73.8646041,40.7704411
"0","0",-73.8649903,40.7707275
"0","0",-73.8648991,40.7707945
"0","0",-73.8649286,40.770827
"0","0",-73.8648026,40.7709123
"0","0",-73.8647945,40.7709976
"0","0",-73.8650322,40.7711721
"0","0",-73.8649926,40.7711996
"0","0",-73.8649691,40.7712158
"0","0",-73.865055,40.7712818
"0","0",-73.8650804,40.7712879
"0","0",-73.8652145,40.7713798
"0","0",-73.8652769,40.7713362
"0","0",-73.8654566,40.7714875
"0","0",-73.8654439,40.7715149
"0","0",-73.8654472,40.7716048
"0","0",-73.8654509,40.771696
"0","0",-73.8654559,40.7718313
"0","0",-73.8654563,40.77186
"0","0",-73.8654623,40.7718798
"0","0",-73.8654747,40.7718955
"0","0",-73.8654683,40.7718965
"0","0",-73.8654466,40.7718864
"0","0",-73.8653466,40.7718437
"0","0",-73.865346,40.7718676
"0","0",-73.8654452,40.7719108
"0","0",-73.8655217,40.7719478
"0","0",-73.8655364,40.7719483
"0","0",-73.8655424,40.7719895
"0","0",-73.8654734,40.7720423
"0","0",-73.8654868,40.7720499
"0","0",-73.8654063,40.7721195
"0","0",-73.8653795,40.7721088
"0","0",-73.8653238,40.7721479
"0","0",-73.8652266,40.7720834
"0","0",-73.8652058,40.7721063
"0","0",-73.8652957,40.7721662
"0","0",-73.8653218,40.7721962
"0","0",-73.8651133,40.7723759
"0","0",-73.8649389,40.7725201
"0","0",-73.8648887,40.7725019
"0","0",-73.864837,40.7725471
"0","0",-73.8648109,40.7725709
"0","0",-73.864829,40.7725963
"0","0",-73.8648115,40.7726141
"0","0",-73.864782,40.7726364
"0","0",-73.8647378,40.7726806
"0","0",-73.8646855,40.7727202
"0","0",-73.8646821,40.7727309
"0","0",-73.8647304,40.7727614
"0","0",-73.8647123,40.7727801
"0","0",-73.8647284,40.7727827
"0","0",-73.8648431,40.772868
"0","0",-73.8648592,40.7728523
"0","0",-73.8649577,40.7729117
"0","0",-73.8650243,40.7728524
"0","0",-73.8650422,40.7728365
"0","0",-73.8650771,40.7728614
"0","0",-73.8651381,40.7728187
"0","0",-73.8651555,40.772806
"0","0",-73.8651482,40.7727918
"0","0",-73.8651254,40.772772
"0","0",-73.8653627,40.7725755
"0","0",-73.8654372,40.7725044
"0","0",-73.8654653,40.7725217
"0","0",-73.8654774,40.7725212
"0","0",-73.8654928,40.7725359
"0","0",-73.865523,40.7725227
"0","0",-73.8655719,40.7724816
"0","0",-73.8655478,40.7724607
"0","0",-73.8655512,40.7724511
"0","0",-73.865525,40.7724292
"0","0",-73.8656631,40.7723212
"0","0",-73.8656819,40.7724384
"0","0",-73.8657154,40.7724308
"0","0",-73.8656873,40.7723012
"0","0",-73.8659434,40.7720879
"0","0",-73.8659656,40.7721026
"0","0",-73.8659884,40.7721026
"0","0",-73.8659951,40.7721168
"0","0",-73.8661915,40.7721056
"0","0",-73.8661922,40.7720894
"0","0",-73.8661406,40.7720889
"0","0",-73.8660045,40.7720904
"0","0",-73.8660514,40.7720457
"0","0",-73.8660306,40.7720183
"0","0",-73.8660775,40.7719899
"0","0",-73.8660943,40.7719822
"0","0",-73.866276,40.7718411
"0","0",-73.8662921,40.77185
"0","0",-73.8663521,40.7718109
"0","0",-73.8666247,40.7719989
"0","0",-73.8666408,40.771975
"0","0",-73.8663686,40.7717881
"0","0",-73.8663847,40.7717815
"0","0",-73.8663592,40.7717683
"0","0",-73.8663491,40.7717551
"0","0",-73.8665108,40.7716577
"0","0",-73.8665108,40.7716362
"0","0",-73.8663823,40.7715435
"0","0",-73.8663514,40.7715435
"0","0",-73.866349,40.7715173
"0","0",-73.8662134,40.7714292
"0","0",-73.866192,40.771434
"0","0",-73.8661848,40.7714054
"0","0",-73.8661494,40.7713751
"0","0",-73.8661286,40.7713657
"0","0",-73.866054,40.771315
"0","0",-73.866079,40.7712988
"0","0",-73.8660968,40.7712872
"0","0",-73.8661136,40.7712956
"0","0",-73.8661632,40.7713133
"0","0",-73.8661925,40.7713598
"0","0",-73.866224,40.7713867
"0","0",-73.8663038,40.7714314
"0","0",-73.8663628,40.7714527
"0","0",-73.8664365,40.7714675
"0","0",-73.8665002,40.77147
"0","0",-73.8665505,40.7714659
"0","0",-73.8666156,40.7714507
"0","0",-73.8666458,40.7714395
"0","0",-73.8666853,40.7714207
"0","0",-73.8667229,40.7713953
"0","0",-73.8668945,40.7712775
"0","0",-73.8669784,40.7712176
"0","0",-73.8670615,40.7711668
"0","0",-73.867197,40.7710952
"0","0",-73.8673257,40.7710383
"0","0",-73.8690697,40.7719686
"0","0",-73.8690175,40.7720224
"0","0",-73.8705034,40.7730197
"0","0",-73.870305,40.7732797
"0","0",-73.8702245,40.7733772
"0","0",-73.8696022,40.773755
"0","0",-73.8682075,40.7728166
"0","0",-73.8679661,40.7731131
"0","0",-73.8689102,40.7737631
"0","0",-73.869055,40.7742222
"0","0",-73.8687761,40.7745837
"0","0",-73.8691248,40.7747422
"0","0",-73.8698812,40.7737794
"0","0",-73.8707395,40.7732106
"0","0",-73.8712652,40.77356
"0","0",-73.8716179,40.7737855
"0","0",-73.8718271,40.7738952
"0","0",-73.8720471,40.7739764
"0","0",-73.8723045,40.7740414
"0","0",-73.8721758,40.7746995
"0","0",-73.8721222,40.7748783
"0","0",-73.8720524,40.7750286
"0","0",-73.8715052,40.775837
"0","0",-73.8718378,40.7759954
"0","0",-73.8720578,40.775707
"0","0",-73.8725567,40.7756379
"0","0",-73.8737261,40.7758248
