shapeid,partid,x,y
"0","0",-89.9844001,35.0298607
"0","0",-89.9844336,35.0294997
"0","0",-89.9843842,35.0272724
"0","0",-89.984301,35.0266646
"0","0",-89.9842638,35.026513
"0","0",-89.9840991,35.0263522
"0","0",-89.9834899,35.0260039
"0","0",-89.9826222,35.0255979
"0","0",-89.9825869,35.0238596
"0","0",-89.9865201,35.0237953
"0","0",-89.9864906,35.0216729
"0","0",-89.9864811,35.0214827
"0","0",-89.9865225,35.0214206
"0","0",-89.9865606,35.0214206
"0","0",-89.9853008685726,35.008156698057
"0","0",-89.9874691028406,35.0080867550161
"0","0",-89.9871245,35.0214064
"0","0",-89.9871816,35.0214254
"0","0",-89.9872149,35.021492
"0","0",-89.9877013,35.0442361
"0","0",-89.9877284,35.0455615
"0","0",-89.9885209407215,35.0579032562739
"0","0",-90.0051646921894,35.0580960292627
"0","0",-90.0050248061076,35.0604740926535
"0","0",-89.9892656819632,35.0598183051812
"0","0",-89.9891592903573,35.0613077876646
"0","0",-89.9885209407215,35.0613077876646
"0","0",-89.989357564945,35.0655799346395
"0","0",-89.9870314582381,35.0657762351148
"0","0",-89.9864995002083,35.0610950044527
"0","0",-89.985572,35.0610106
"0","0",-89.9855407,35.0611309
"0","0",-89.9855262,35.0611727
"0","0",-89.98548,35.0611819
"0","0",-89.9853724,35.0640551
"0","0",-89.985198,35.0640551
"0","0",-89.9851722,35.0648691
"0","0",-89.9845734,35.0648582
"0","0",-89.9845399,35.0658962
"0","0",-89.9845312,35.0661644
"0","0",-89.9841951,35.0664179
"0","0",-89.984188,35.0665821
"0","0",-89.983956,35.0669069
"0","0",-89.9838222,35.066906
"0","0",-89.9833951,35.0669033
"0","0",-89.9837144,35.0674284
"0","0",-89.9837597,35.067503
"0","0",-89.9836938,35.067528
"0","0",-89.982539,35.067967
"0","0",-89.9823463,35.0676172
"0","0",-89.9824069,35.0675815
"0","0",-89.9822688,35.0673398
"0","0",-89.9813003,35.0677184
"0","0",-89.9814325,35.0679777
"0","0",-89.9812719,35.0680383
"0","0",-89.9811898,35.0678991
"0","0",-89.9802654,35.067917
"0","0",-89.9802761,35.0680705
"0","0",-89.9802297,35.0680726
"0","0",-89.9802297,35.0681097
"0","0",-89.9801583,35.0681169
"0","0",-89.9797122,35.0680919
"0","0",-89.9797071,35.0674267
"0","0",-89.979745,35.0673234
"0","0",-89.9798944,35.0672529
"0","0",-89.9801191,35.067246
"0","0",-89.9800584,35.0669783
"0","0",-89.9787235,35.0669854
"0","0",-89.9787235,35.0669569
"0","0",-89.9785129,35.0669533
"0","0",-89.9784987,35.0661253
"0","0",-89.9780772,35.0661253
"0","0",-89.9780677,35.0674846
"0","0",-89.9769942667385,35.067534025112
"0","0",-89.9774824867302,35.0696263965047
"0","0",-89.9753203696244,35.0694869050785
"0","0",-89.9755993524768,35.0676037708251
"0","0",-89.9728261,35.0675387
"0","0",-89.9728165,35.0674708
"0","0",-89.9701523,35.0674815
"0","0",-89.970142,35.0654993
"0","0",-89.9702431,35.0655006
"0","0",-89.9703395,35.0653293
"0","0",-89.9704073,35.065315
"0","0",-89.9712996,35.0653329
"0","0",-89.9713103,35.0653008
"0","0",-89.9713567,35.0653043
"0","0",-89.9713596,35.0651055
"0","0",-89.9719635,35.0650866
"0","0",-89.9719718,35.0649027
"0","0",-89.9721233,35.0648991
"0","0",-89.9721156,35.0647553
"0","0",-89.9721122,35.0646925
"0","0",-89.9721848,35.064694
"0","0",-89.9721919,35.0643549
"0","0",-89.9719051,35.064355
"0","0",-89.9719012,35.0635928
"0","0",-89.9718006,35.0635859
"0","0",-89.9718053,35.063381
"0","0",-89.9722419,35.063377
"0","0",-89.9722383,35.0628951
"0","0",-89.9721598,35.0628809
"0","0",-89.9721455,35.0627417
"0","0",-89.9720955,35.0627202
"0","0",-89.9719278,35.0627095
"0","0",-89.9719242,35.0625882
"0","0",-89.9722526,35.0625953
"0","0",-89.9722597,35.0625418
"0","0",-89.9722883,35.0625418
"0","0",-89.9722776,35.062117
"0","0",-89.9719135,35.0620956
"0","0",-89.9719488,35.0611208
"0","0",-89.9719846,35.0611196
"0","0",-89.9719937,35.0607566
"0","0",-89.9698401,35.0607002
"0","0",-89.9698455,35.0603654
"0","0",-89.9697895,35.0603611
"0","0",-89.9697754,35.0603208
"0","0",-89.9697513,35.0603018
"0","0",-89.969691,35.0602958
"0","0",-89.9691976,35.0602731
"0","0",-89.9667169,35.0602051
"0","0",-89.9667141,35.0602302
"0","0",-89.9666486,35.0602332
"0","0",-89.9666486,35.0602749
"0","0",-89.9665475,35.0602749
"0","0",-89.9665416,35.060583
"0","0",-89.965245,35.0605747
"0","0",-89.9652358,35.0607924
"0","0",-89.9647659,35.0607864
"0","0",-89.9647451,35.0614319
"0","0",-89.9560036,35.0611804
"0","0",-89.9559754,35.0617787
"0","0",-89.9558708,35.0617743
"0","0",-89.9558654,35.0618687
"0","0",-89.9559781,35.0618687
"0","0",-89.9559727,35.0619412
"0","0",-89.9559325,35.061939
"0","0",-89.9559177,35.0625021
"0","0",-89.9594583,35.0626119
"0","0",-89.9594583,35.062265
"0","0",-89.9596031,35.0622738
"0","0",-89.9596085,35.0619884
"0","0",-89.9616577,35.0620542
"0","0",-89.9615946,35.0638726
"0","0",-89.9607,35.063844
"0","0",-89.9597244,35.0638678
"0","0",-89.9595221,35.0639216
"0","0",-89.9595219,35.0639468
"0","0",-89.9595213,35.0640489
"0","0",-89.9578655,35.0640017
"0","0",-89.9578357,35.064659
"0","0",-89.9576245,35.064659
"0","0",-89.9576216,35.0648732
"0","0",-89.9575217,35.0648732
"0","0",-89.9574877,35.0648732
"0","0",-89.9574898,35.0646301
"0","0",-89.9564854,35.0646055
"0","0",-89.9564839,35.0645129
"0","0",-89.9557558,35.0645022
"0","0",-89.9557873,35.0638312
"0","0",-89.9557894,35.0637875
"0","0",-89.9549963,35.0637574
"0","0",-89.9549714,35.063728
"0","0",-89.9546366,35.0637211
"0","0",-89.9546443,35.063264
"0","0",-89.9540932,35.0632484
"0","0",-89.9540137,35.0632462
"0","0",-89.9540142,35.06323
"0","0",-89.9540168,35.0631509
"0","0",-89.954036,35.0625683
"0","0",-89.9540197,35.0625368
"0","0",-89.9539897,35.0625177
"0","0",-89.9538916,35.0625072
"0","0",-89.9536954,35.0624877
"0","0",-89.9533028,35.0624491
"0","0",-89.953285,35.0624848
"0","0",-89.9532671,35.0625264
"0","0",-89.953169,35.0626008
"0","0",-89.952934,35.0625889
"0","0",-89.95294,35.062455
"0","0",-89.9527371,35.0624489
"0","0",-89.9527675,35.0617323
"0","0",-89.9520737,35.0617019
"0","0",-89.9521072,35.0604325
"0","0",-89.9510798,35.0603958
"0","0",-89.9510236,35.0603423
"0","0",-89.9509725,35.060284
"0","0",-89.9509269,35.0602214
"0","0",-89.9508694,35.060099
"0","0",-89.9508936,35.0600934
"0","0",-89.950855,35.0599982
"0","0",-89.9508318,35.059998
"0","0",-89.950822,35.0599676
"0","0",-89.950805,35.0598891
"0","0",-89.9507958,35.0598245
"0","0",-89.9507908,35.0597594
"0","0",-89.95079,35.0596941
"0","0",-89.950807,35.0593157
"0","0",-89.9537133,35.0593885
"0","0",-89.9537092,35.0593188
"0","0",-89.9539185,35.0593171
"0","0",-89.9539185,35.0592785
"0","0",-89.9544182,35.0592874
"0","0",-89.9544118,35.0592515
"0","0",-89.9545164,35.0592457
"0","0",-89.9545216,35.0592074
"0","0",-89.9545935,35.0592072
"0","0",-89.9551439,35.0580738
"0","0",-89.9361309108168,35.0580260862218
"0","0",-89.9358511386531,35.0559977380356
"0","0",-89.9554317,35.0574813
"0","0",-89.9558895,35.0567552
"0","0",-89.9559173,35.0567562
"0","0",-89.9559104,35.0565755
"0","0",-89.9558886,35.056488
"0","0",-89.9558519,35.0564402
"0","0",-89.9557969,35.0564155
"0","0",-89.95551,35.0564046
"0","0",-89.95506,35.0560068
"0","0",-89.9551112,35.0547396
"0","0",-89.9550104,35.0547415
"0","0",-89.9550123,35.0546765
"0","0",-89.9548066,35.0546765
"0","0",-89.9548043,35.0547269
"0","0",-89.9545568,35.0547246
"0","0",-89.9545788,35.0538652
"0","0",-89.9547627,35.0538547
"0","0",-89.9547722,35.0536867
"0","0",-89.9546042,35.0536801
"0","0",-89.9546223,35.0529821
"0","0",-89.9546294,35.0527082
"0","0",-89.9578892,35.0527914
"0","0",-89.9578476,35.0535945
"0","0",-89.9579487,35.0535975
"0","0",-89.9579636,35.0531335
"0","0",-89.958038,35.0529164
"0","0",-89.9580528,35.052839
"0","0",-89.9589213,35.0528628
"0","0",-89.9589303,35.0529402
"0","0",-89.9589838,35.0531603
"0","0",-89.9589719,35.0537313
"0","0",-89.960819,35.0537968
"0","0",-89.9608219,35.0537522
"0","0",-89.9612136,35.0541043
"0","0",-89.9612088,35.0542049
"0","0",-89.9613298,35.0543048
"0","0",-89.9612818,35.0543457
"0","0",-89.9613594,35.0544077
"0","0",-89.9613983,35.0543812
"0","0",-89.9618124,35.0547293
"0","0",-89.9627969,35.0539901
"0","0",-89.9634526,35.0545629
"0","0",-89.9638914,35.054237
"0","0",-89.9645961,35.0548714
"0","0",-89.9645683,35.0553026
"0","0",-89.9640996,35.0556349
"0","0",-89.9640852,35.0559145
"0","0",-89.9642578,35.0559267
"0","0",-89.9642629,35.0560032
"0","0",-89.9643051,35.0560672
"0","0",-89.9643734,35.0561021
"0","0",-89.9645113,35.0561134
"0","0",-89.9656493,35.0561346
"0","0",-89.9657931,35.0560655
"0","0",-89.9658989,35.0559751
"0","0",-89.9659078,35.0559223
"0","0",-89.9658849,35.0558855
"0","0",-89.9658105,35.0558272
"0","0",-89.9657534,35.0558044
"0","0",-89.9657891,35.0548527
"0","0",-89.9663512,35.0548705
"0","0",-89.9663155,35.0558282
"0","0",-89.9661579,35.0558491
"0","0",-89.9660832,35.0559246
"0","0",-89.9660738,35.0560222
"0","0",-89.9667587,35.0560483
"0","0",-89.9667587,35.0558758
"0","0",-89.966732,35.0558443
"0","0",-89.9666367,35.0558104
"0","0",-89.9667098,35.0534338
"0","0",-89.9673417,35.0534488
"0","0",-89.9673268,35.0542221
"0","0",-89.9672881,35.0542251
"0","0",-89.9672851,35.0544244
"0","0",-89.9673268,35.0544244
"0","0",-89.9673179,35.0546445
"0","0",-89.9672643,35.0546534
"0","0",-89.9672554,35.0547129
"0","0",-89.967183,35.0547155
"0","0",-89.9671602,35.0553137
"0","0",-89.9676681,35.0553262
"0","0",-89.9676778,35.05493
"0","0",-89.9682667,35.0549419
"0","0",-89.9682815,35.0545701
"0","0",-89.9684679,35.0545701
"0","0",-89.9684897,35.0539544
"0","0",-89.9685306,35.0539467
"0","0",-89.9685582,35.0534964
"0","0",-89.9691318,35.0535083
"0","0",-89.9689161,35.0550174
"0","0",-89.9689775,35.0551114
"0","0",-89.9690426,35.0550595
"0","0",-89.9691197,35.0550387
"0","0",-89.9692587,35.0551005
"0","0",-89.9694005,35.0550934
"0","0",-89.9698336,35.0528251
"0","0",-89.9698599,35.0526873
"0","0",-89.9702057,35.0508759
"0","0",-89.9702335,35.0506414
"0","0",-89.9702446,35.0503079
"0","0",-89.9701949,35.0502607
"0","0",-89.970144,35.0502513
"0","0",-89.9698044,35.0502781
"0","0",-89.9697866,35.0503912
"0","0",-89.9698282,35.0505339
"0","0",-89.9697344,35.0510699
"0","0",-89.9681907,35.0514012
"0","0",-89.9676217,35.0495601
"0","0",-89.969241,35.0492077
"0","0",-89.9692928,35.0493977
"0","0",-89.9694049,35.049394
"0","0",-89.9694712,35.0493784
"0","0",-89.9695813,35.0497487
"0","0",-89.9696562,35.0498059
"0","0",-89.9701926,35.0496774
"0","0",-89.9702862,35.0496208
"0","0",-89.9703188,35.0492589
"0","0",-89.970329,35.0491113
"0","0",-89.9703299,35.0487742
"0","0",-89.9702489,35.0450083
"0","0",-89.9702471,35.0449259
"0","0",-89.9702446,35.0448111
"0","0",-89.9702554,35.044576
"0","0",-89.9702888,35.0443364
"0","0",-89.9705482,35.04344
"0","0",-89.9706034,35.0432494
"0","0",-89.9706246,35.0431756
"0","0",-89.9706406,35.0431005
"0","0",-89.9706528,35.0430056
"0","0",-89.9706569,35.042948
"0","0",-89.9706547,35.0426236
"0","0",-89.9706484,35.04234
"0","0",-89.9706178,35.0409774
"0","0",-89.9705805,35.0393109
"0","0",-89.9705786,35.0392243
"0","0",-89.9704564,35.0385528
"0","0",-89.970422,35.0385602
"0","0",-89.9703826,35.038505
"0","0",-89.9702541,35.03846
"0","0",-89.9702494,35.0384409
"0","0",-89.9700035,35.0384025
"0","0",-89.9696765,35.0383735
"0","0",-89.9693276,35.0383427
"0","0",-89.9690309,35.0382532
"0","0",-89.9686057,35.0379979
"0","0",-89.9683345,35.0376885
"0","0",-89.9682938,35.0375983
"0","0",-89.9682244,35.0374448
"0","0",-89.9681816,35.0371869
"0","0",-89.968165,35.0364674
"0","0",-89.9681507,35.0358448
"0","0",-89.9681561,35.0357064
"0","0",-89.9681728,35.0355875
"0","0",-89.9681821,35.0354301
"0","0",-89.9681816,35.0353333
"0","0",-89.9678461,35.0353333
"0","0",-89.9678419,35.0355032
"0","0",-89.9675677,35.0355033
"0","0",-89.9675386,35.0354873
"0","0",-89.9674464,35.0354623
"0","0",-89.9655333,35.0354851
"0","0",-89.9655026,35.0352913
"0","0",-89.9653905,35.0352477
"0","0",-89.965292,35.0351894
"0","0",-89.9652712,35.0349096
"0","0",-89.9653099,35.0348367
"0","0",-89.9654952,35.034748
