shapeid,partid,x,y
"0","0",-80.2745914,25.7889949
"0","0",-80.2747098,25.7889906
"0","0",-80.2748171,25.7889718
"0","0",-80.2749214,25.7889369
"0","0",-80.2749661,25.7889128
"0","0",-80.2749869,25.7888913
"0","0",-80.2749929,25.7888591
"0","0",-80.2749929,25.7888054
"0","0",-80.2749989,25.7887571
"0","0",-80.2750287,25.7887008
"0","0",-80.2751181,25.7885532
"0","0",-80.2752581,25.788309
"0","0",-80.275276,25.7882768
"0","0",-80.2752939,25.7882473
"0","0",-80.2753058,25.7882204
"0","0",-80.2752999,25.7880836
"0","0",-80.2586126118446,25.7894245046387
"0","0",-80.2578476958894,25.7869906811449
"0","0",-80.2751806,25.787402
"0","0",-80.2751687,25.7872115
"0","0",-80.2755562,25.7869726
"0","0",-80.2763936,25.7864359
"0","0",-80.262019964736,25.7799673619198
"0","0",-80.2634802588323,25.7779507653106
"0","0",-80.2790216,25.7869918
"0","0",-80.2792779,25.7871287
"0","0",-80.2793792,25.787177
"0","0",-80.2794388,25.7871985
"0","0",-80.2794835,25.7872092
"0","0",-80.2795282,25.7872119
"0","0",-80.2796146,25.7872119
"0","0",-80.2797488,25.7872065
"0","0",-80.2810541,25.7871582
"0","0",-80.2833191,25.7870643
"0","0",-80.2855662,25.786965
"0","0",-80.2894256,25.7868067
"0","0",-80.2919349,25.7867047
"0","0",-80.2946261,25.7865893
"0","0",-80.2991888,25.7864042
"0","0",-80.3020558,25.7862807
"0","0",-80.3088358,25.7860097
"0","0",-80.3126863,25.7858487
"0","0",-80.3148319,25.7857539
"0","0",-80.3313491654034,25.7840700929523
"0","0",-80.3311405519611,25.7866429920743
"0","0",-80.3149453,25.7864391
"0","0",-80.3149772,25.787137
"0","0",-80.3149876,25.7871907
"0","0",-80.315004,25.7872309
"0","0",-80.3150264,25.7872658
"0","0",-80.3150874,25.7873463
"0","0",-80.3154689,25.7878025
"0","0",-80.315533,25.7878884
"0","0",-80.3155509,25.7879286
"0","0",-80.3155539,25.7879715
"0","0",-80.3155524,25.7880225
"0","0",-80.3155375,25.7880695
"0","0",-80.3155166,25.7881097
"0","0",-80.3154898,25.7881379
"0","0",-80.3154585,25.788158
"0","0",-80.3154227,25.7881768
"0","0",-80.3153884,25.7881889
"0","0",-80.3153497,25.7881983
"0","0",-80.3152901,25.788209
"0","0",-80.3151977,25.7882157
"0","0",-80.3127566,25.7883137
"0","0",-80.3117421,25.7883566
"0","0",-80.3103966,25.788413
"0","0",-80.309203,25.7884626
"0","0",-80.3087944,25.7884807
"0","0",-80.3073672,25.7885378
"0","0",-80.3068799,25.7885592
"0","0",-80.306792,25.7885632
"0","0",-80.3067279,25.78857
"0","0",-80.3066266,25.7885807
"0","0",-80.3064865,25.7885954
"0","0",-80.3063494,25.7886115
"0","0",-80.3061631,25.788633
"0","0",-80.3060871,25.7886424
"0","0",-80.3060275,25.7886585
"0","0",-80.3059858,25.7886759
"0","0",-80.3059426,25.7887081
"0","0",-80.3059158,25.7887497
"0","0",-80.3059098,25.7887846
"0","0",-80.3059053,25.7888262
"0","0",-80.3059076,25.7888631
"0","0",-80.3064872,25.7888417
"0","0",-80.3064961,25.7888782
"0","0",-80.3065722,25.7891449
"0","0",-80.3065871,25.7891851
"0","0",-80.3065945,25.7891985
"0","0",-80.3066035,25.7892079
"0","0",-80.3066154,25.789212
"0","0",-80.3066363,25.7892146
"0","0",-80.3067585,25.7892119
"0","0",-80.3070103,25.7892066
"0","0",-80.3072219,25.7893985
"0","0",-80.3072397,25.7895425
"0","0",-80.3067338,25.7895495
"0","0",-80.3067478,25.7898939
"0","0",-80.3068251,25.7927329
"0","0",-80.3044781,25.7927961
"0","0",-80.3043937,25.7896971
"0","0",-80.3043906,25.7896172
"0","0",-80.3038989,25.7896252
"0","0",-80.3038916,25.7893367
"0","0",-80.303884,25.7890375
"0","0",-80.3024118,25.7890778
"0","0",-80.3024326,25.7896252
"0","0",-80.3023641,25.7896225
"0","0",-80.3023878,25.7905714
"0","0",-80.3024205,25.7919877
"0","0",-80.3024326,25.7924884
"0","0",-80.302382,25.7924884
"0","0",-80.302382,25.7926172
"0","0",-80.3004053,25.7926651
"0","0",-80.3001349,25.7926708
"0","0",-80.300123,25.7920825
"0","0",-80.300117,25.7916807
"0","0",-80.3001349,25.7916646
"0","0",-80.3001528,25.7916404
"0","0",-80.3001617,25.7916243
"0","0",-80.3001677,25.7916002
"0","0",-80.3001677,25.7915733
"0","0",-80.3001528,25.7911443
"0","0",-80.3001499,25.7910418
"0","0",-80.3001439,25.7907198
"0","0",-80.3001274,25.7896789
"0","0",-80.3001259,25.7896494
"0","0",-80.3001215,25.7896346
"0","0",-80.3001125,25.7896172
"0","0",-80.3001006,25.7896011
"0","0",-80.3000753,25.7895769
"0","0",-80.300038,25.7895407
"0","0",-80.3000186,25.7895192
"0","0",-80.3000097,25.7895004
"0","0",-80.3000037,25.7894615
"0","0",-80.300003,25.789123
"0","0",-80.3000023,25.7890946
"0","0",-80.3006683,25.7890718
"0","0",-80.3006683,25.7890476
"0","0",-80.3006609,25.789006
"0","0",-80.3006519,25.7889859
"0","0",-80.3006266,25.788955
"0","0",-80.3005804,25.7889282
"0","0",-80.3005059,25.7889134
"0","0",-80.3003688,25.7888906
"0","0",-80.3001587,25.7888772
"0","0",-80.2996223,25.7888611
"0","0",-80.2986701,25.7889
"0","0",-80.2976076,25.7889443
"0","0",-80.2966927,25.7889792
"0","0",-80.2959417,25.7890127
"0","0",-80.2955364,25.7890275
"0","0",-80.295146,25.7890476
"0","0",-80.2945961,25.7891254
"0","0",-80.2944158,25.7891496
"0","0",-80.2943577,25.7891616
"0","0",-80.294319,25.7891804
"0","0",-80.2943011,25.7892006
"0","0",-80.2942847,25.7892234
"0","0",-80.2942713,25.7892448
"0","0",-80.2942668,25.7892757
"0","0",-80.2942685,25.7893362
"0","0",-80.2921832,25.7894253
"0","0",-80.2921757,25.789369
"0","0",-80.2921623,25.7893314
"0","0",-80.292134,25.7892925
"0","0",-80.2920923,25.7892616
"0","0",-80.2920431,25.7892496
"0","0",-80.2919761,25.7892415
"0","0",-80.291912,25.7892388
"0","0",-80.2914471,25.789216
"0","0",-80.2912012,25.7892093
"0","0",-80.2908227,25.7892241
"0","0",-80.2904934,25.7892375
"0","0",-80.2903459,25.7892616
"0","0",-80.2900732,25.7893287
"0","0",-80.2896381,25.7894307
"0","0",-80.2893192,25.7895112
"0","0",-80.2892506,25.7895313
"0","0",-80.2892342,25.7895488
"0","0",-80.2892328,25.7895635
"0","0",-80.2892328,25.7895796
"0","0",-80.2892462,25.7895917
"0","0",-80.2894086,25.7896856
"0","0",-80.2893743,25.7897661
"0","0",-80.2901656,25.7895937
"0","0",-80.2901749,25.7896092
"0","0",-80.2904621,25.7901042
"0","0",-80.290673,25.7902203
"0","0",-80.2922912,25.7910629
"0","0",-80.2937396,25.7918088
"0","0",-80.2973338,25.7936254
"0","0",-80.2970733,25.7940586
"0","0",-80.303290816525,25.7977877671062
"0","0",-80.3028507645781,25.7988328904801
"0","0",-80.3026857,25.799088
"0","0",-80.30354,25.7995202
"0","0",-80.3049070027398,25.8000082425333
"0","0",-80.3178588294661,25.7989511851718
"0","0",-80.3180674429085,25.8008982439668
"0","0",-80.3071492582887,25.8008490883641
"0","0",-80.3094315541153,25.8018500953056
"0","0",-80.3179979050944,25.8015240842938
"0","0",-80.3179979050944,25.8027757649478
"0","0",-80.3100721985578,25.8028110619694
"0","0",-80.3172329891392,25.8058354287686
"0","0",-80.3161899219275,25.8071566472367
"0","0",-80.308406420408,25.803178403456
"0","0",-80.3016743,25.8032015
"0","0",-80.3017429,25.8035288
"0","0",-80.3017816,25.8036227
"0","0",-80.3018084,25.8036576
"0","0",-80.3018621,25.8036952
"0","0",-80.3019992,25.8037435
"0","0",-80.3023538,25.8038159
"0","0",-80.3025237,25.8039071
"0","0",-80.3026548,25.8040359
"0","0",-80.3027323,25.8041593
"0","0",-80.3027621,25.8042479
"0","0",-80.3028015,25.8043836
"0","0",-80.3028079,25.8044127
"0","0",-80.3028093,25.8044597
"0","0",-80.3028034,25.8044999
"0","0",-80.3027974,25.8045348
"0","0",-80.3028019,25.8045697
"0","0",-80.3028093,25.8046005
"0","0",-80.3028183,25.8046193
"0","0",-80.3028347,25.8046434
"0","0",-80.30286,25.8046716
"0","0",-80.3028898,25.8046944
"0","0",-80.3029286,25.8047078
"0","0",-80.3029718,25.8047172
"0","0",-80.3030046,25.8047145
"0","0",-80.3030388,25.8047011
"0","0",-80.3031163,25.8046609
"0","0",-80.3033726,25.8046636
"0","0",-80.3034769,25.8047226
"0","0",-80.3037064,25.8047306
"0","0",-80.3037706,25.8064849
"0","0",-80.303729,25.8064861
"0","0",-80.303733,25.8065489
"0","0",-80.3036349,25.8065497
"0","0",-80.3036408,25.8066812
"0","0",-80.3025411,25.806751
"0","0",-80.3024458,25.8067
"0","0",-80.3015517,25.8067268
"0","0",-80.3015278,25.8063002
"0","0",-80.3014921,25.804736
"0","0",-80.3009288,25.8047467
"0","0",-80.3009109,25.8045375
"0","0",-80.3022431,25.8044932
"0","0",-80.3022433,25.8044327
"0","0",-80.3022461,25.8044006
"0","0",-80.3022371,25.8043564
"0","0",-80.3022297,25.8043255
"0","0",-80.3022073,25.804292
"0","0",-80.3021805,25.8042732
"0","0",-80.3021358,25.8042584
