shapeid,partid,x,y
"0","0",-87.8973153,42.9300148
"0","0",-87.8986148715951,42.9166028541988
"0","0",-87.9014144952782,42.9164951763649
"0","0",-87.8982139,42.9300089
"0","0",-87.8982109,42.930018
"0","0",-87.8981923,42.9301327
"0","0",-87.8981891,42.9301418
"0","0",-87.8981287,42.9304835
"0","0",-87.8982597,42.9304987
"0","0",-87.8985775,42.9305248
"0","0",-87.8995847,42.9306222
"0","0",-87.899945,42.930653
"0","0",-87.9001457,42.9306701
"0","0",-87.9007784,42.9307242
"0","0",-87.9007562,42.9308673
"0","0",-87.9007855,42.9308778
"0","0",-87.9008883,42.9308387
"0","0",-87.901265,42.9306954
"0","0",-87.9015848,42.9305923
"0","0",-87.9016178,42.9304013
"0","0",-87.9023629,42.9303995
"0","0",-87.9023451,42.9314881
"0","0",-87.9019614,42.9314899
"0","0",-87.9015955,42.9314917
"0","0",-87.9016098,42.9309777
"0","0",-87.9016035,42.9309676
"0","0",-87.9015963,42.9309581
"0","0",-87.9015884,42.9309493
"0","0",-87.9015797,42.9309411
"0","0",-87.9015704,42.9309337
"0","0",-87.9015604,42.9309271
"0","0",-87.90155,42.9309214
"0","0",-87.9015391,42.9309166
"0","0",-87.9015278,42.9309127
"0","0",-87.9015163,42.9309098
"0","0",-87.9015045,42.9309079
"0","0",-87.9014926,42.930907
"0","0",-87.9014807,42.9309071
"0","0",-87.9014689,42.9309082
"0","0",-87.9014571,42.9309104
"0","0",-87.9014456,42.9309135
"0","0",-87.9007282,42.9311669
"0","0",-87.9006747,42.9312311
"0","0",-87.9006283,42.9314988
"0","0",-87.9005891,42.9316841
"0","0",-87.9005551,42.9318705
"0","0",-87.9005262,42.9320577
"0","0",-87.9005066,42.9322108
"0","0",-87.9004905,42.9323643
"0","0",-87.9004778,42.9325182
"0","0",-87.9004742,42.9326257
"0","0",-87.9004676,42.9328192
"0","0",-87.9004665,42.9328456
"0","0",-87.9004676,42.932872
"0","0",-87.9004708,42.9328982
"0","0",-87.9004756,42.9329221
"0","0",-87.9004821,42.9329455
"0","0",-87.9004904,42.9329684
"0","0",-87.9005049,42.9329861
"0","0",-87.9005208,42.9330025
"0","0",-87.900538,42.9330176
"0","0",-87.9005563,42.9330313
"0","0",-87.9005757,42.9330435
"0","0",-87.9005898,42.9330511
"0","0",-87.9006043,42.9330579
"0","0",-87.9006192,42.9330639
"0","0",-87.9006298,42.9330668
"0","0",-87.9006405,42.9330695
"0","0",-87.9006512,42.9330722
"0","0",-87.900662,42.9330747
"0","0",-87.9006728,42.9330772
"0","0",-87.9006836,42.9330795
"0","0",-87.9007187,42.9330861
"0","0",-87.900754,42.9330916
"0","0",-87.9007895,42.9330959
"0","0",-87.9008319,42.9330996
"0","0",-87.9008744,42.9331015
"0","0",-87.900917,42.9331017
"0","0",-87.900925,42.9331016
"0","0",-87.9009331,42.9331014
"0","0",-87.9009411,42.9331012
"0","0",-87.9009491,42.9331008
"0","0",-87.9009571,42.9331005
"0","0",-87.9009651,42.9331
"0","0",-87.9009765,42.9330979
"0","0",-87.9009876,42.9330946
"0","0",-87.9009984,42.9330902
"0","0",-87.901008,42.9330852
"0","0",-87.901017,42.9330794
"0","0",-87.9010256,42.9330727
"0","0",-87.9010334,42.9330653
