shapeid,partid,x,y
"0","0",-122.2131964,37.7088027
"0","0",-122.2134954,37.7084827
"0","0",-122.2140165,37.7083292
"0","0",-122.2147589,37.7083149
"0","0",-122.2150763,37.7084385
"0","0",-122.215271,37.708402
"0","0",-122.215591,37.7083858
"0","0",-122.215625,37.7083949
"0","0",-122.2156757,37.7084399
"0","0",-122.2157337,37.7084686
"0","0",-122.2157978,37.7084776
"0","0",-122.2158615,37.708466
"0","0",-122.2159184,37.7084349
"0","0",-122.2163748,37.7080146
"0","0",-122.2165856,37.7078096
"0","0",-122.216996,37.7073883
"0","0",-122.2173908,37.7069526
"0","0",-122.2174406,37.7068699
"0","0",-122.2174676,37.7067774
"0","0",-122.2174703,37.7066809
"0","0",-122.2174482,37.706587
"0","0",-122.217403,37.7065018
"0","0",-122.2173376,37.7064309
"0","0",-122.2152791,37.7050104
"0","0",-122.2141589,37.704248
"0","0",-122.2140914,37.7042275
"0","0",-122.2140209,37.7042281
"0","0",-122.213893,37.7042578
"0","0",-122.212854288513,37.7027642221983
"0","0",-122.2128623,37.7025982
"0","0",-122.2129115,37.7025536
"0","0",-122.2134741128,37.7019627258721
"0","0",-122.199089999799,37.6925522470394
"0","0",-122.200572232802,37.6912558775808
"0","0",-122.2156249,37.7019573
"0","0",-122.2156773,37.7018996
"0","0",-122.2164625,37.7024064
"0","0",-122.2164028,37.7024539
"0","0",-122.2169193,37.7027919
"0","0",-122.2169622,37.7027562
"0","0",-122.2177974,37.7032844
"0","0",-122.2177385,37.7033452
"0","0",-122.2266928,37.7093042
"0","0",-122.2300254,37.7115221
"0","0",-122.2340362,37.7142144
"0","0",-122.2362358,37.715691
"0","0",-122.2413754,37.7191245
"0","0",-122.2423891,37.7197884
"0","0",-122.256991472144,37.7290967948828
"0","0",-122.255559642126,37.7301591600142
"0","0",-122.24164970243,37.7205952829476
"0","0",-122.2413969,37.720902
"0","0",-122.2412531,37.7209788
"0","0",-122.2410993,37.7210324
"0","0",-122.240939,37.7210616
"0","0",-122.2407761,37.7210655
"0","0",-122.2406949,37.721058
"0","0",-122.2405355,37.7210243
"0","0",-122.2403832,37.7209662
"0","0",-122.2398005,37.7205607
"0","0",-122.239315,37.7202434
"0","0",-122.239159,37.7202896
"0","0",-122.2389805,37.7203181
"0","0",-122.2389068,37.7203097
"0","0",-122.2387624,37.7202762
"0","0",-122.2386247,37.7202212
"0","0",-122.2373815,37.7196186
"0","0",-122.2372857,37.7194073
"0","0",-122.2372387,37.719263
"0","0",-122.2372138,37.7191867
"0","0",-122.2371491,37.7190343
"0","0",-122.2361436,37.7185094
"0","0",-122.2356618,37.7182666
"0","0",-122.2346906,37.717796
"0","0",-122.2342014,37.7175684
"0","0",-122.2338611,37.7173681
"0","0",-122.2331889,37.7169536
"0","0",-122.2328572,37.7167395
"0","0",-122.2283804,37.713716
"0","0",-122.2272787,37.712994
"0","0",-122.226707,37.7126356
"0","0",-122.2261122,37.7122627
"0","0",-122.2260014,37.7122188
"0","0",-122.2259432,37.7122057
"0","0",-122.2258242,37.7121981
"0","0",-122.2257063,37.7122154
"0","0",-122.2255945,37.7122567
"0","0",-122.2252974,37.7124365
"0","0",-122.2248169,37.7127527
"0","0",-122.2245817,37.7129183
"0","0",-122.2239196,37.7134199
"0","0",-122.2238126,37.7134898
"0","0",-122.2235885,37.7136124
"0","0",-122.2233551,37.7137259
"0","0",-122.2231727,37.7137853
"0","0",-122.2229758,37.7138258
"0","0",-122.2228079,37.7138405
"0","0",-122.222609,37.7138438
"0","0",-122.222254,37.7138279
"0","0",-122.2220764,37.7138305
"0","0",-122.2219069,37.7138703
"0","0",-122.2218246,37.713899
"0","0",-122.2216671,37.7139733
"0","0",-122.2215794,37.7140357
"0","0",-122.2211859,37.7143442
"0","0",-122.2211533,37.7143122
"0","0",-122.2211119,37.7142927
"0","0",-122.2210437,37.7142913
"0","0",-122.2210015,37.7143091
"0","0",-122.2201823,37.7149917
"0","0",-122.2201676,37.7150724
"0","0",-122.2201935,37.7151502
"0","0",-122.2202306,37.7151908
"0","0",-122.2202845,37.7152319
"0","0",-122.2203917,37.7152868
"0","0",-122.2205821,37.7151868
"0","0",-122.2207819,37.7151107
"0","0",-122.2208882,37.7152341
"0","0",-122.2210484,37.71542
"0","0",-122.2222477,37.7163528
"0","0",-122.2222046,37.7163825
"0","0",-122.2218957,37.7165956
"0","0",-122.2209473,37.7172135
"0","0",-122.2203138,37.7176686
"0","0",-122.220046,37.7179282
"0","0",-122.2197041,37.7177033
"0","0",-122.2194066,37.7180517
"0","0",-122.2195583,37.7181564
"0","0",-122.2191598,37.7185401
"0","0",-122.2189831,37.7184277
"0","0",-122.2188784,37.7185514
"0","0",-122.2190319,37.7186472
"0","0",-122.2187975,37.718875
"0","0",-122.2186452,37.7187941
"0","0",-122.2185643,37.7188607
"0","0",-122.2181675,37.71859
"0","0",-122.217625,37.7190844
"0","0",-122.2170728,37.7187277
"0","0",-122.2162698,37.7194737
"0","0",-122.216720771315,37.720308147733
"0","0",-122.22606842642,37.7276218410703
"0","0",-122.24373901852,37.7334934250434
"0","0",-122.242509362258,37.7350018500736
"0","0",-122.226254640387,37.7295766892446
"0","0",-122.225977263451,37.7305913127996
"0","0",-122.240358487108,37.7354508266317
"0","0",-122.23916229907,37.736725858241
"0","0",-122.225666177511,37.732324849781
"0","0",-122.2245691,37.7342459
"0","0",-122.2244445,37.7346734
"0","0",-122.2244325,37.7347836
"0","0",-122.2244371,37.7348389
"0","0",-122.2244671,37.7349456
"0","0",-122.2245232,37.7350412
"0","0",-122.2245599,37.7350829
"0","0",-122.2246016,37.7351196
"0","0",-122.224855,37.7352909
"0","0",-122.2250716,37.735466
"0","0",-122.2251742,37.7355601
"0","0",-122.2253676,37.7357605
"0","0",-122.2254272,37.7358335
"0","0",-122.2255438,37.7359762
"0","0",-122.2256302,37.7361508
"0","0",-122.2256932,37.7363352
"0","0",-122.2257157,37.73643
"0","0",-122.2257319,37.7365261
"0","0",-122.2257456,37.7367205
"0","0",-122.2257429,37.7368179
"0","0",-122.2257187,37.7370112
"0","0",-122.225601,37.7374217
"0","0",-122.2253606,37.7381685
"0","0",-122.2252333,37.7385638
"0","0",-122.225231,37.7386028
"0","0",-122.2252556,37.7386311
"0","0",-122.2252847,37.7386472
"0","0",-122.2253518,37.7386621
"0","0",-122.2264639,37.738941
"0","0",-122.2264825,37.7389457
"0","0",-122.226489,37.7392666
"0","0",-122.2264685,37.7394562
"0","0",-122.2264246,37.7395847
"0","0",-122.2263442,37.7397375
"0","0",-122.2262315,37.7398859
"0","0",-122.2259591,37.7401866
"0","0",-122.226174,37.7403336
"0","0",-122.2261423,37.7403669
"0","0",-122.2260614,37.7404519
"0","0",-122.225915,37.7403663
"0","0",-122.2258115,37.7404841
"0","0",-122.2263041,37.7408231
"0","0",-122.2264361,37.7407161
"0","0",-122.2264726,37.7407514
"0","0",-122.2264879,37.7407662
"0","0",-122.2264913,37.7410908
"0","0",-122.226474,37.741091
"0","0",-122.2261004,37.7410942
"0","0",-122.2255452,37.7407315
"0","0",-122.2255264,37.7410475
"0","0",-122.2255344,37.7410772
"0","0",-122.2255505,37.7410942
"0","0",-122.2255747,37.7411069
"0","0",-122.2261755,37.7411196
"0","0",-122.2259743,37.7415099
"0","0",-122.2258724,37.7415014
"0","0",-122.2258697,37.7414336
"0","0",-122.225749,37.7414314
"0","0",-122.225741,37.7412575
"0","0",-122.2251294,37.7412512
"0","0",-122.2251294,37.7411027
"0","0",-122.2253333,37.7411048
"0","0",-122.2253789,37.7410984
"0","0",-122.225403,37.7410857
"0","0",-122.2254191,37.741073
"0","0",-122.2254298,37.7410475
"0","0",-122.2254352,37.74102
"0","0",-122.2254423,37.7407263
"0","0",-122.2253548,37.7407494
"0","0",-122.2247188,37.7409041
"0","0",-122.2246839,37.7408274
"0","0",-122.2245128,37.7408637
"0","0",-122.2241983,37.7400272
"0","0",-122.2241609,37.7399708
"0","0",-122.2241179,37.7399241
"0","0",-122.2240428,37.7399072
"0","0",-122.2239946,37.7399114
"0","0",-122.2239492,37.7399319
"0","0",-122.2237541,37.7400375
"0","0",-122.2236029,37.7400999
"0","0",-122.223567009564,37.7402188328393
"0","0",-122.228525664053,37.7542253644465
"0","0",-122.22647784214,37.7545954432865
"0","0",-122.222045830624,37.7403874532782
"0","0",-122.2217983,37.7403324
"0","0",-122.221683,37.7402811
"0","0",-122.2216227,37.7402423
"0","0",-122.2215124,37.7401509
"0","0",-122.2214181,37.7400432
"0","0",-122.2213037,37.7401022
"0","0",-122.2212323,37.7400094
"0","0",-122.220472,37.7404127
"0","0",-122.220536,37.7404981
"0","0",-122.2201034,37.7407213
"0","0",-122.2197167,37.740293
"0","0",-122.2198952,37.7401859
