shapeid,partid,x,y
"0","0",-122.5853679,45.578782
"0","0",-122.5854208,45.5787641
"0","0",-122.5855139,45.5787405
"0","0",-122.5856085,45.5787239
"0","0",-122.5856295,45.5787212
"0","0",-122.5856505,45.5787189
"0","0",-122.5856715,45.5787169
"0","0",-122.5856926,45.5787153
"0","0",-122.5857137,45.578714
"0","0",-122.5857348,45.5787131
"0","0",-122.5857518,45.5787126
"0","0",-122.5857689,45.5787124
"0","0",-122.5857859,45.5787123
"0","0",-122.5858029,45.5787125
"0","0",-122.5858199,45.578713
"0","0",-122.5858369,45.5787136
"0","0",-122.5858463,45.5787142
"0","0",-122.5858557,45.5787148
"0","0",-122.585865,45.5787156
"0","0",-122.5858744,45.5787164
"0","0",-122.5858837,45.5787173
"0","0",-122.5858931,45.5787183
"0","0",-122.5859624,45.5787274
"0","0",-122.5860313,45.5787394
"0","0",-122.5860996,45.5787543
"0","0",-122.5861672,45.578772
"0","0",-122.586234,45.5787925
"0","0",-122.5863,45.5788158
"0","0",-122.5864368,45.5788674
"0","0",-122.5864459,45.5788709
"0","0",-122.586455,45.5788745
"0","0",-122.5864641,45.578878
"0","0",-122.5865926,45.5789303
"0","0",-122.586599,45.578932
"0","0",-122.5866055,45.5789331
"0","0",-122.5866121,45.5789337
"0","0",-122.5866187,45.5789338
"0","0",-122.5866253,45.5789332
"0","0",-122.5866318,45.5789321
"0","0",-122.5866382,45.5789304
"0","0",-122.5866444,45.5789281
"0","0",-122.5866505,45.5789254
"0","0",-122.5866562,45.5789221
"0","0",-122.5866616,45.5789183
"0","0",-122.5866667,45.5789141
"0","0",-122.5866714,45.5789094
"0","0",-122.5866757,45.5789044
"0","0",-122.586916,45.5785951
"0","0",-122.5869684,45.5786141
"0","0",-122.5870731,45.5784832
"0","0",-122.5871588,45.5785094
"0","0",-122.587154,45.5785165
"0","0",-122.5872063,45.5785356
"0","0",-122.5873967,45.5786046
"0","0",-122.5873943,45.5786141
"0","0",-122.5874538,45.5786307
"0","0",-122.5875371,45.5786617
"0","0",-122.5874324,45.5787997
"0","0",-122.5874776,45.5788211
"0","0",-122.5872492,45.5791019
"0","0",-122.5872439,45.5791099
"0","0",-122.5872417,45.5791142
"0","0",-122.58724,45.5791187
"0","0",-122.5872386,45.5791233
"0","0",-122.5872376,45.579128
"0","0",-122.5872371,45.5791328
"0","0",-122.5872369,45.5791376
"0","0",-122.5872372,45.5791424
"0","0",-122.5872378,45.5791472
"0","0",-122.5872389,45.5791519
"0","0",-122.5872403,45.5791565
"0","0",-122.5872422,45.5791609
"0","0",-122.5872444,45.5791652
"0","0",-122.5872498,45.5791731
"0","0",-122.5872565,45.57918
"0","0",-122.5872643,45.5791857
"0","0",-122.587273,45.5791899
"0","0",-122.58748,45.5792708
"0","0",-122.5874877,45.5792737
"0","0",-122.5874957,45.5792758
"0","0",-122.5875039,45.5792772
"0","0",-122.5875121,45.5792778
"0","0",-122.5875204,45.5792777
"0","0",-122.5875286,45.5792768
"0","0",-122.5875367,45.5792752
"0","0",-122.5875446,45.5792728
"0","0",-122.5875523,45.5792697
"0","0",-122.5875596,45.5792659
"0","0",-122.5875666,45.5792615
"0","0",-122.5875731,45.5792564
"0","0",-122.5875792,45.5792508
"0","0",-122.5875847,45.5792446
"0","0",-122.5876465,45.5791685
"0","0",-122.5879773,45.578745
"0","0",-122.5883057,45.5783024
"0","0",-122.5887006,45.5784594
"0","0",-122.5879321,45.5794136
"0","0",-122.5879308,45.5794196
"0","0",-122.5879305,45.5794257
"0","0",-122.5879312,45.5794317
"0","0",-122.587933,45.5794376
"0","0",-122.5879357,45.5794431
"0","0",-122.5879393,45.579448
"0","0",-122.5879437,45.5794523
"0","0",-122.5879487,45.5794558
"0","0",-122.5879542,45.5794584
"0","0",-122.5881053,45.5795138
"0","0",-122.588113,45.5795168
"0","0",-122.5881208,45.5795199
"0","0",-122.5881285,45.5795229
"0","0",-122.5881362,45.579526
"0","0",-122.5881439,45.5795291
"0","0",-122.5881516,45.5795322
"0","0",-122.5888645,45.5798095
"0","0",-122.5893043,45.5799847
"0","0",-122.5895037,45.5800641
"0","0",-122.5896217,45.5801079
"0","0",-122.589633,45.5801109
"0","0",-122.5896445,45.5801137
"0","0",-122.589656,45.5801163
"0","0",-122.5896675,45.5801185
"0","0",-122.5896791,45.5801205
"0","0",-122.5896907,45.5801222
"0","0",-122.589713,45.5801256
"0","0",-122.5897351,45.58013
"0","0",-122.5897571,45.5801352
"0","0",-122.5897788,45.5801413
"0","0",-122.5898002,45.5801482
"0","0",-122.5898214,45.580156
"0","0",-122.5911729,45.5806842
"0","0",-122.5930979,45.5814373
"0","0",-122.5932849,45.5815251
"0","0",-122.5934034,45.5815807
"0","0",-122.5941985,45.5818896
"0","0",-122.5944161,45.5819741
"0","0",-122.5946399,45.5820611
"0","0",-122.5946726,45.5820663
"0","0",-122.5947057,45.5820683
"0","0",-122.5947388,45.5820672
"0","0",-122.5947723,45.5820628
"0","0",-122.5948052,45.5820552
"0","0",-122.5948372,45.5820444
"0","0",-122.594868,45.5820306
"0","0",-122.5948771,45.5820258
"0","0",-122.5948861,45.5820207
"0","0",-122.5948949,45.5820153
"0","0",-122.594901,45.5820113
"0","0",-122.5949069,45.582007
"0","0",-122.594916,45.582
"0","0",-122.5949248,45.5819926
"0","0",-122.5949332,45.5819848
"0","0",-122.5949413,45.5819766
"0","0",-122.594949,45.581968
"0","0",-122.5949563,45.5819592
"0","0",-122.59587,45.5807956
"0","0",-122.5970871,45.5812667
"0","0",-122.599161,45.5820696
"0","0",-122.6003922,45.5825516
"0","0",-122.6007442,45.5826828
"0","0",-122.6009383,45.5827551
"0","0",-122.6002423,45.5836545
"0","0",-122.5998497,45.5841364
"0","0",-122.5998225,45.5841705
"0","0",-122.5997932,45.5842028
"0","0",-122.5997618,45.5842332
"0","0",-122.5997286,45.5842614
"0","0",-122.5996936,45.5842875
"0","0",-122.5996569,45.5843113
"0","0",-122.59964,45.5843216
"0","0",-122.5996193,45.5843341
"0","0",-122.5995816,45.5843571
"0","0",-122.5995441,45.5843802
"0","0",-122.5995067,45.5844035
"0","0",-122.5994693,45.5844269
"0","0",-122.5994321,45.5844505
"0","0",-122.5994233,45.5844564
"0","0",-122.5994149,45.5844628
"0","0",-122.599407,45.5844698
"0","0",-122.5993994,45.5844772
"0","0",-122.5993923,45.584485
"0","0",-122.5993857,45.5844933
"0","0",-122.5993821,45.5844985
"0","0",-122.5993791,45.584504
"0","0",-122.5993765,45.5845097
"0","0",-122.5993745,45.5845157
"0","0",-122.599373,45.5845218
"0","0",-122.5993721,45.584528
"0","0",-122.5993718,45.5845343
"0","0",-122.599372,45.5845405
"0","0",-122.5993728,45.5845468
"0","0",-122.5993742,45.5845529
"0","0",-122.5993761,45.5845589
"0","0",-122.5993785,45.5845647
"0","0",-122.5994289,45.58467
"0","0",-122.5994571,45.5847289
"0","0",-122.5993179,45.5848895
"0","0",-122.5993162,45.5848947
"0","0",-122.599315,45.5849
"0","0",-122.5993142,45.5849054
"0","0",-122.599314,45.5849109
"0","0",-122.5993143,45.5849164
"0","0",-122.599315,45.5849218
"0","0",-122.5993162,45.5849271
"0","0",-122.599318,45.5849323
