shapeid,partid,x,y
"0","0",-75.2558734,39.860163
"0","0",-75.2560513,39.8601288
"0","0",-75.2567937,39.8623156
"0","0",-75.255903,39.8624961
"0","0",-75.2558336,39.8625409
"0","0",-75.2558027,39.8625868
"0","0",-75.2557871,39.8626558
"0","0",-75.2558461,39.8628202
"0","0",-75.2558038,39.8628367
"0","0",-75.2559704,39.8633411
"0","0",-75.2561774,39.863798
"0","0",-75.2562345,39.8639788
"0","0",-75.2562636,39.8640629
"0","0",-75.2563503,39.8641554
"0","0",-75.2564643,39.8641859
"0","0",-75.2566485,39.8641692
"0","0",-75.2649432,39.8625035
"0","0",-75.2650222,39.8624628
"0","0",-75.2650712,39.8623885
"0","0",-75.2650804,39.8623296
"0","0",-75.2649932,39.8620045
"0","0",-75.2655,39.8619045
"0","0",-75.2655185,39.861913
"0","0",-75.2655633,39.8619537
"0","0",-75.2656499,39.8621639
"0","0",-75.2657428,39.8622768
"0","0",-75.2658601,39.8623129
"0","0",-75.266014,39.8623043
"0","0",-75.2749593,39.8605101
"0","0",-75.2761045,39.8602804
"0","0",-75.2934911489888,39.8567839248005
"0","0",-75.2940249067282,39.8573262235665
"0","0",-75.2763146,39.8609527
"0","0",-75.2758432,39.8610485
"0","0",-75.2756317,39.8610931
"0","0",-75.2757545,39.861515
"0","0",-75.2757637,39.8616581
"0","0",-75.2757309,39.8617706
"0","0",-75.275713,39.8618322
"0","0",-75.2749679,39.8630371
"0","0",-75.2749056,39.8630722
"0","0",-75.2747806,39.8631033
"0","0",-75.2736486,39.8633249
"0","0",-75.2736085,39.8633096
"0","0",-75.2735809,39.8632767
"0","0",-75.2733022,39.8627659
"0","0",-75.2731909,39.862655
"0","0",-75.2730755,39.8626272
"0","0",-75.2729698,39.8626432
"0","0",-75.2705986,39.8631171
"0","0",-75.2694213,39.8633607
"0","0",-75.2687527,39.8635389
"0","0",-75.2687039,39.8635923
"0","0",-75.2686883,39.8636382
"0","0",-75.2687741,39.8641365
"0","0",-75.2688358,39.8644406
"0","0",-75.269005775378,39.8651960631401
"0","0",-75.2739159044028,39.8644061919255
"0","0",-75.2743863359262,39.865331468721
"0","0",-75.2694367,39.8662984
"0","0",-75.269467,39.8664206
"0","0",-75.2694618,39.8666087
"0","0",-75.2693378,39.8674102
"0","0",-75.2692574,39.8676271
"0","0",-75.2691466,39.8677611
"0","0",-75.2688462,39.8679723
"0","0",-75.2688998,39.8681596
"0","0",-75.2688611,39.8681745
"0","0",-75.2693025,39.8695729
"0","0",-75.2660401,39.8701827
"0","0",-75.265007,39.8703758
"0","0",-75.2649005,39.8703957
"0","0",-75.2646737,39.8696802
"0","0",-75.2646446,39.8696509
"0","0",-75.2645876,39.8696274
"0","0",-75.2645262,39.8696327
"0","0",-75.262487,39.8700372
"0","0",-75.2627495,39.870842
"0","0",-75.2624666,39.8709
"0","0",-75.2627702,39.8718289
"0","0",-75.2627979,39.8718632
"0","0",-75.2628303,39.8718933
"0","0",-75.2628666,39.8719184
"0","0",-75.2628741,39.8719222
"0","0",-75.2628961,39.871933
"0","0",-75.2629061,39.8719381
"0","0",-75.262948,39.871952
"0","0",-75.2629915,39.8719598
"0","0",-75.2630356,39.8719613
"0","0",-75.2630795,39.8719565
"0","0",-75.2631223,39.8719455
"0","0",-75.2631318,39.871974
"0","0",-75.2636815,39.8718741
"0","0",-75.2637524,39.8720982
"0","0",-75.2640665,39.8723053
"0","0",-75.2641664,39.8722957
"0","0",-75.2642497,39.8723433
"0","0",-75.264076,39.8724885
"0","0",-75.2640474,39.8724718
"0","0",-75.2633503,39.8731143
"0","0",-75.2633693,39.8731405
"0","0",-75.2632075,39.8732951
"0","0",-75.2621002,39.8725743
"0","0",-75.2623128,39.8723695
"0","0",-75.2623356,39.8723185
"0","0",-75.2623487,39.8722549
"0","0",-75.2623416,39.8721795
"0","0",-75.2622991,39.8720498
"0","0",-75.2619535,39.8709942
"0","0",-75.2614776,39.871087
"0","0",-75.2613801,39.8710727
"0","0",-75.2582271,39.8716802
"0","0",-75.2578109,39.8717604
"0","0",-75.2578751,39.8719364
"0","0",-75.254601,39.872586
"0","0",-75.2545225,39.8723529
"0","0",-75.254256,39.87241
"0","0",-75.2542988,39.8725408
"0","0",-75.2539578,39.8734588
"0","0",-75.2537941,39.8738934
"0","0",-75.253604,39.8744111
"0","0",-75.2527742,39.8744572
"0","0",-75.2526277,39.8744672
"0","0",-75.2522331,39.8744837
"0","0",-75.2517583,39.8744681
"0","0",-75.2516054,39.8744683
"0","0",-75.2516127,39.8744519
"0","0",-75.251707,39.8742409
"0","0",-75.2517422,39.874162
"0","0",-75.2517298,39.8741659
"0","0",-75.2516768,39.8741828
"0","0",-75.2517326,39.874057
"0","0",-75.251804,39.8738958
"0","0",-75.2518131,39.8738755
"0","0",-75.2520464,39.8739281
"0","0",-75.252117,39.8739441
"0","0",-75.2521365,39.8738977
"0","0",-75.2521455,39.8738763
"0","0",-75.2519335,39.873814
"0","0",-75.251851,39.8737898
"0","0",-75.2519393,39.8735907
"0","0",-75.2522629,39.8728412
"0","0",-75.252505,39.872649
"0","0",-75.2525576,39.8725216
"0","0",-75.2525893,39.8724351
"0","0",-75.2526079,39.8723843
"0","0",-75.2519791,39.8725238
"0","0",-75.2519107,39.872539
"0","0",-75.2514967,39.8735051
"0","0",-75.2513183,39.8739048
"0","0",-75.2513492,39.8739381
"0","0",-75.2513397,39.8739643
"0","0",-75.251323,39.8739643
