shapeid,partid,x,y
"0","0",-112.014372,33.4265188
"0","0",-112.0144578,33.4265266
"0","0",-112.0144578,33.4263243
"0","0",-112.0145431,33.4263314
"0","0",-112.0146275,33.4263454
"0","0",-112.0147106,33.4263662
"0","0",-112.0147917,33.4263936
"0","0",-112.0148703,33.4264274
"0","0",-112.0149459,33.4264675
"0","0",-112.0150181,33.4265135
"0","0",-112.0150863,33.4265652
"0","0",-112.0160213,33.4265543
"0","0",-112.0160211,33.4226195
"0","0",-112.0188681,33.4226072
"0","0",-112.0188681,33.422516
"0","0",-112.018999,33.422516
"0","0",-112.018999,33.4239793
"0","0",-112.0196095,33.4239613
"0","0",-112.0195947,33.4243534
"0","0",-112.0208789,33.4243568
"0","0",-112.0208714,33.4244472
"0","0",-112.0209656,33.4244547
"0","0",-112.0209612,33.4245539
"0","0",-112.0209543,33.4247109
"0","0",-112.0199485,33.4247222
"0","0",-112.0199636,33.4249105
"0","0",-112.0200352,33.4249143
"0","0",-112.0200314,33.4251591
"0","0",-112.0210485,33.4251516
"0","0",-112.0210485,33.4251139
"0","0",-112.0215833,33.4251177
"0","0",-112.0215909,33.425178
"0","0",-112.0216888,33.4251817
"0","0",-112.0218508,33.4251215
"0","0",-112.0218546,33.4247561
"0","0",-112.0226381,33.4247598
"0","0",-112.0226414,33.4258268
"0","0",-112.0230211,33.4258261
"0","0",-112.0231444,33.425934
"0","0",-112.023237,33.4260067
"0","0",-112.0233123,33.4260104
"0","0",-112.0239102,33.4264054
"0","0",-112.0243858,33.4267124
"0","0",-112.0245629,33.4268279
"0","0",-112.0247815,33.4268634
"0","0",-112.024952,33.4268771
"0","0",-112.025294,33.4268906
"0","0",-112.0256163,33.4268863
"0","0",-112.0267598,33.4268714
"0","0",-112.026992,33.4268728
"0","0",-112.0272321,33.4268985
"0","0",-112.0274684,33.4269477
"0","0",-112.0276987,33.42702
"0","0",-112.0278109,33.4270645
"0","0",-112.0279208,33.4271146
"0","0",-112.0279232,33.4273204
"0","0",-112.0255508,33.4273302
"0","0",-112.0255508,33.427555
"0","0",-112.0261813,33.4275658
"0","0",-112.0264966,33.4275622
"0","0",-112.026566,33.427561
"0","0",-112.0266351,33.4275666
"0","0",-112.0267034,33.427579
"0","0",-112.0267701,33.427598
"0","0",-112.0268346,33.4276234
"0","0",-112.0268964,33.427655
"0","0",-112.0269502,33.4276875
"0","0",-112.0270005,33.4277251
"0","0",-112.0270891,33.4278142
"0","0",-112.0271585,33.4279188
"0","0",-112.0272062,33.428035
"0","0",-112.0272303,33.4281582
"0","0",-112.0272299,33.4285561
"0","0",-112.044451753398,33.4285448007839
"0","0",-112.044468699501,33.4292660790016
"0","0",-112.027228,33.42917
"0","0",-112.0272358,33.4300674
"0","0",-112.0275271,33.4300793
"0","0",-112.0275508,33.4302406
"0","0",-112.0274824,33.4302707
"0","0",-112.0274156,33.4303043
"0","0",-112.0273585,33.4303668
"0","0",-112.0273222,33.4304432
"0","0",-112.0273098,33.430527
"0","0",-112.0273224,33.4306107
"0","0",-112.0273424,33.4306448
"0","0",-112.0273672,33.4306757
"0","0",-112.0273962,33.4307025
"0","0",-112.0274289,33.4307249
"0","0",-112.0274895,33.4307507
"0","0",-112.0275923,33.4307574
"0","0",-112.044655106637,33.4306803326185
"0","0",-112.044680525792,33.4314015930853
"0","0",-112.027403331174,33.4313381153932
"0","0",-112.0275462,33.4314669
"0","0",-112.0275474,33.4314981
"0","0",-112.0275514,33.4315154
"0","0",-112.0275576,33.4315321
"0","0",-112.0275661,33.4315477
"0","0",-112.027577,33.4315625
"0","0",-112.0275898,33.4315756
"0","0",-112.0276043,33.4315868
"0","0",-112.0276374,33.4316026
