shapeid,partid,x,y
"0","0",-71.4258431211493,41.7236879884597
"0","0",-71.4475939673004,41.6969678626214
"0","0",-71.4494556961749,41.6981689780242
"0","0",-71.4385874785219,41.7104203551333
"0","0",-71.4389078,41.7106349
"0","0",-71.4391009,41.710747
"0","0",-71.4391868,41.7108592
"0","0",-71.4392297,41.7109953
"0","0",-71.439219,41.7111235
"0","0",-71.4391331,41.7112997
"0","0",-71.4388542,41.7116441
"0","0",-71.4354183,41.7156586
"0","0",-71.4353845,41.7157048
"0","0",-71.4353337,41.7158071
"0","0",-71.4353174,41.715862
"0","0",-71.4353043,41.7159128
"0","0",-71.435304,41.7159755
"0","0",-71.4353167,41.716089
"0","0",-71.4353392,41.7161711
"0","0",-71.4355565,41.7166876
"0","0",-71.4354921,41.7167037
"0","0",-71.4354626,41.7167197
"0","0",-71.4354358,41.7167457
"0","0",-71.4350735,41.7171714
"0","0",-71.435035,41.7172569
"0","0",-71.435023,41.71735
"0","0",-71.4350274,41.7173968
"0","0",-71.4350566,41.717486
"0","0",-71.4360151,41.7197248
"0","0",-71.4360258,41.7197468
"0","0",-71.43605,41.7197668
"0","0",-71.4383862,41.7208799
"0","0",-71.4383647,41.720904
"0","0",-71.4386142,41.7210241
"0","0",-71.4386598,41.7210481
"0","0",-71.4386866,41.7210641
"0","0",-71.4388042,41.721148
"0","0",-71.4382165,41.7218404
"0","0",-71.4381332,41.7217952
"0","0",-71.4379927,41.72174
"0","0",-71.4379195,41.7217211
"0","0",-71.4377698,41.7217015
"0","0",-71.4376942,41.7217009
"0","0",-71.4375442,41.7217181
"0","0",-71.437399,41.7217594
"0","0",-71.4372623,41.7218238
"0","0",-71.4370387,41.7220855
"0","0",-71.4364671,41.722952
"0","0",-71.4364617,41.722968
"0","0",-71.4364671,41.722996
"0","0",-71.4364912,41.723018
"0","0",-71.4365234,41.7230361
"0","0",-71.4374193,41.7235293
"0","0",-71.4374843,41.7235937
"0","0",-71.4375104,41.7236314
"0","0",-71.4375316,41.723672
"0","0",-71.437558,41.7237596
"0","0",-71.4375621,41.7238511
"0","0",-71.4370171,41.7246659
"0","0",-71.4370766,41.7248848
