shapeid,partid,x,y
"0","0",-87.8935158,42.1125659
"0","0",-87.8929629,42.1117376
"0","0",-87.8924653,42.1119256
"0","0",-87.892417,42.1118341
"0","0",-87.8923822,42.11185
"0","0",-87.8921274,42.1114719
"0","0",-87.8919423,42.1115316
"0","0",-87.8913871,42.1106561
"0","0",-87.8914944,42.1106183
"0","0",-87.8916017,42.1107835
"0","0",-87.8916955,42.1107576
"0","0",-87.8915614,42.1105348
"0","0",-87.8915698,42.110514
"0","0",-87.8915926,42.1104961
"0","0",-87.8916503,42.1104772
"0","0",-87.8916959,42.1104722
"0","0",-87.8917344,42.110486
"0","0",-87.8919128,42.1105507
"0","0",-87.891941,42.1105477
"0","0",-87.8920386530573,42.1102285061182
"0","0",-87.8921813963275,42.110014391213
"0","0",-87.8749562982758,42.1032318555176
"0","0",-87.8753131564512,42.1023397100792
"0","0",-87.8930579292207,42.1092917534079
"0","0",-87.8963387940704,42.1106388930199
"0","0",-87.8974606669591,42.110467155023
"0","0",-87.8975565725938,42.1103957833879
"0","0",-87.8961971,42.1098633
"0","0",-87.895957,42.1097887
"0","0",-87.8958082,42.1097529
"0","0",-87.8957237,42.1097389
"0","0",-87.8956258,42.109724
"0","0",-87.8954528,42.109725
"0","0",-87.8954503,42.1096461
"0","0",-87.895626,42.1096451
"0","0",-87.8960015,42.1097028
"0","0",-87.8961732,42.1097495
"0","0",-87.8963247,42.1097983
"0","0",-87.8966305,42.1099097
"0","0",-87.8978809,42.1103844
"0","0",-87.8986468,42.110127
"0","0",-87.898805,42.1100743
"0","0",-87.8993965,42.109873
"0","0",-87.8994791460135,42.1098359621253
"0","0",-87.8924914168674,42.0970604394475
"0","0",-87.8930311648576,42.0966857383634
"0","0",-87.8936512059373,42.0964002518231
"0","0",-87.9009489556233,42.1101392915743
"0","0",-87.9018574,42.1101395
"0","0",-87.9018957,42.1101236
"0","0",-87.9022876,42.1109525
"0","0",-87.902408,42.111033
"0","0",-87.9025072,42.1110628
"0","0",-87.9025823,42.1110708
"0","0",-87.9026681,42.1110668
"0","0",-87.9026976,42.1110509
"0","0",-87.9027057,42.111025
"0","0",-87.9027057,42.1106032
"0","0",-87.9028332,42.1106046
"0","0",-87.9030544,42.1106071
"0","0",-87.9030571,42.1111484
"0","0",-87.9034138,42.1111504
"0","0",-87.9034272,42.1106788
"0","0",-87.9044867,42.1106828
"0","0",-87.9044835,42.1107358
"0","0",-87.9044909,42.1107458
"0","0",-87.9045057,42.1107617
"0","0",-87.9045312,42.1107796
"0","0",-87.9045593,42.1107856
"0","0",-87.9048329,42.1107617
"0","0",-87.9056599,42.1107053
"0","0",-87.9060624,42.110554
"0","0",-87.9061536,42.1104865
"0","0",-87.9061912,42.1104149
"0","0",-87.9061939,42.1103233
"0","0",-87.905982,42.1100547
"0","0",-87.9059015,42.1100269
"0","0",-87.9058506,42.1100269
"0","0",-87.9057674,42.1100468
"0","0",-87.9050352,42.1103194
"0","0",-87.9049547,42.1103333
"0","0",-87.9048501,42.1103273
"0","0",-87.9028813,42.1102875
"0","0",-87.9028873,42.1101506
"0","0",-87.9037932,42.1101671
"0","0",-87.903804,42.1099691
"0","0",-87.9028949,42.1099532
"0","0",-87.9029001,42.1098269
"0","0",-87.905058,42.1098716
"0","0",-87.9050539,42.1100438
"0","0",-87.9050714,42.1100836
"0","0",-87.9051197,42.1101204
"0","0",-87.9051612,42.1101353
"0","0",-87.9052028,42.1101383
"0","0",-87.9052511,42.1101343
"0","0",-87.9056266,42.109991
"0","0",-87.9057325,42.1099522
"0","0",-87.905813,42.1099373
"0","0",-87.9058935,42.1099323
"0","0",-87.9060061,42.1099562
"0","0",-87.9060826,42.109993
"0","0",-87.9062126137099,42.1100411555761
"0","0",-87.9062661424362,42.1101214486656
"0","0",-87.9239395435707,42.1031002640654
"0","0",-87.9245640453775,42.104438482223
"0","0",-87.9068817227887,42.1111028086478
"0","0",-87.9068683406071,42.1114953526407
"0","0",-87.9065293253406,42.1114998133679
"0","0",-87.906538246795,42.1107013432005
"0","0",-87.9064981002502,42.1106165893839
"0","0",-87.9063964,42.1105741
"0","0",-87.9062891,42.1106089
"0","0",-87.905722,42.1108233
"0","0",-87.9056915,42.1108735
"0","0",-87.9056728,42.1109153
"0","0",-87.9056674,42.1111163
"0","0",-87.9059517,42.1111143
"0","0",-87.905949,42.1115739
"0","0",-87.9058471,42.1115739
"0","0",-87.9058471,42.1123499
"0","0",-87.9064748,42.1123579
"0","0",-87.9064774,42.1124673
"0","0",-87.9062977,42.1124653
"0","0",-87.9062991,42.1124262
"0","0",-87.9060188,42.1124275
"0","0",-87.9060188,42.1127439
"0","0",-87.9059746,42.1127435
"0","0",-87.9059759,42.1128931
"0","0",-87.9057506,42.1128931
"0","0",-87.9057398,42.1127001
"0","0",-87.9057291,42.1126802
"0","0",-87.9057023,42.1126762
"0","0",-87.9056057,42.1126782
"0","0",-87.9055816,42.1126862
"0","0",-87.9055682,42.1127101
"0","0",-87.9055655,42.1132274
"0","0",-87.9055923,42.1132811
"0","0",-87.9056245,42.1133366
"0","0",-87.9064815,42.1136641
"0","0",-87.9065217,42.1136711
"0","0",-87.9065686,42.1136572
"0","0",-87.9065941,42.1136273
"0","0",-87.9065981,42.1134811
"0","0",-87.9065556,42.1134358
"0","0",-87.9064043,42.1134383
"0","0",-87.9064033,42.1132993
"0","0",-87.9064607,42.1132998
"0","0",-87.9064607,42.1133149
"0","0",-87.9065291,42.1133159
"0","0",-87.9065284,42.1132816
"0","0",-87.9066032,42.1132816
"0","0",-87.9066028,42.1130205
"0","0",-87.9064231,42.1130205
"0","0",-87.9064218,42.112921
"0","0",-87.9064754,42.1128981
"0","0",-87.9066055,42.1128971
"0","0",-87.9066082,42.112522
"0","0",-87.906863,42.11252
"0","0",-87.906865,42.113732
"0","0",-87.9068878,42.1138094
"0","0",-87.9069227,42.1138333
"0","0",-87.9070997,42.1139049
"0","0",-87.9071963,42.1139924
"0","0",-87.9072965704177,42.1141004173208
"0","0",-87.9076648241919,42.1145773323481
"0","0",-87.925168717693,42.1215182238588
"0","0",-87.9245311505535,42.1231695205855
"0","0",-87.9069279938485,42.1162021351169
"0","0",-87.9066605073862,42.1175905172304
"0","0",-87.9064744,42.1186305
"0","0",-87.9064369,42.1186305
"0","0",-87.9063993,42.1186484
"0","0",-87.9063752,42.1186942
"0","0",-87.906394,42.1187439
"0","0",-87.9064476,42.1188553
"0","0",-87.9065066,42.118921
"0","0",-87.9065898,42.1189667
"0","0",-87.9067078,42.1189966
"0","0",-87.9067829,42.1190085
"0","0",-87.9068258,42.1190085
"0","0",-87.9069384,42.1189846
"0","0",-87.9069679,42.1189647
"0","0",-87.9069894,42.1189429
"0","0",-87.907027,42.118925
"0","0",-87.9076385,42.1187519
"0","0",-87.9077619,42.1189807
"0","0",-87.9077967,42.1189707
"0","0",-87.9090923,42.1214019
"0","0",-87.9083546,42.1216187
"0","0",-87.9079121,42.1207732
"0","0",-87.907896,42.1207573
"0","0",-87.9078638,42.1207573
"0","0",-87.9077887,42.1207772
"0","0",-87.9076868,42.1208369
"0","0",-87.9076385,42.1208926
"0","0",-87.9075953,42.1210152
"0","0",-87.9086080242121,42.1230263324319
"0","0",-87.9080215775877,42.1233475047897
"0","0",-87.9151052123685,42.1369438012707
"0","0",-87.9136406303055,42.1375755771944
"0","0",-87.9066095575839,42.1239974548734
"0","0",-87.9055650866361,42.1241757791815
"0","0",-87.9049536890081,42.1232841576408
"0","0",-87.9051106,42.1230464
"0","0",-87.905175,42.1229987
"0","0",-87.9051964,42.122935
"0","0",-87.9051911,42.1228753
"0","0",-87.9049014,42.1223222
"0","0",-87.904837,42.1222745
"0","0",-87.9047351,42.1222466
"0","0",-87.904601,42.1222745
