shapeid,partid,x,y
"0","0",-85.7332865,38.1589181
"0","0",-85.7334096,38.1586355
"0","0",-85.7334953,38.1585463
"0","0",-85.7348445,38.1583999
"0","0",-85.7356261,38.1582964
"0","0",-85.7363507,38.1581429
"0","0",-85.7363971,38.158275
"0","0",-85.7370716,38.1581215
"0","0",-85.7372465,38.1580858
"0","0",-85.7372751,38.1582393
"0","0",-85.7373036,38.1583428
"0","0",-85.7373143,38.1583821
"0","0",-85.7373224,38.1583962
"0","0",-85.7374642,38.1583892
"0","0",-85.7378961,38.1583357
"0","0",-85.7386349,38.1581287
"0","0",-85.7387206,38.1581037
"0","0",-85.7387312,38.1581001
"0","0",-85.7387414,38.1580955
"0","0",-85.7387512,38.15809
"0","0",-85.7387604,38.1580836
"0","0",-85.7387689,38.1580764
"0","0",-85.7387768,38.1580685
"0","0",-85.7387839,38.1580598
"0","0",-85.7387902,38.1580506
"0","0",-85.7387957,38.1580408
"0","0",-85.7388002,38.1580305
"0","0",-85.7388037,38.1580199
"0","0",-85.7388063,38.158009
"0","0",-85.7388078,38.1579979
"0","0",-85.7388083,38.1579868
"0","0",-85.7388078,38.1579756
"0","0",-85.7388063,38.1579645
"0","0",-85.7384672,38.1569258
"0","0",-85.7384568,38.1568982
"0","0",-85.7384442,38.1568716
"0","0",-85.7384293,38.1568462
"0","0",-85.7384122,38.1568221
"0","0",-85.7383932,38.1567996
"0","0",-85.7383723,38.1567788
"0","0",-85.7383497,38.1567598
"0","0",-85.7383256,38.1567429
"0","0",-85.7383001,38.1567281
"0","0",-85.7382734,38.1567155
"0","0",-85.7382458,38.1567053
"0","0",-85.7382173,38.1566974
"0","0",-85.7381961,38.1566935
"0","0",-85.7381745,38.1566913
"0","0",-85.7381529,38.156691
"0","0",-85.7381313,38.1566925
"0","0",-85.7381099,38.1566959
"0","0",-85.7380889,38.156701
"0","0",-85.736986,38.1569258
"0","0",-85.7367849,38.1563174
"0","0",-85.7367564,38.1562293
"0","0",-85.7367421,38.1561556
"0","0",-85.7367421,38.1561008
"0","0",-85.736743,38.1560728
"0","0",-85.7367458,38.1560448
"0","0",-85.7367505,38.1560171
"0","0",-85.736757,38.1559897
"0","0",-85.7367653,38.1559629
"0","0",-85.7367754,38.1559367
"0","0",-85.7367911,38.1559024
"0","0",-85.7368089,38.1558691
"0","0",-85.7368287,38.155837
"0","0",-85.7368504,38.1558062
"0","0",-85.7368739,38.1557767
"0","0",-85.7368991,38.1557487
"0","0",-85.7369307,38.1557175
"0","0",-85.7369638,38.155688
"0","0",-85.7369986,38.1556604
"0","0",-85.7370347,38.1556347
"0","0",-85.7370722,38.1556109
"0","0",-85.7371109,38.1555893
"0","0",-85.7371338,38.1555781
"0","0",-85.7371573,38.1555683
"0","0",-85.7371814,38.15556
"0","0",-85.7372059,38.1555532
"0","0",-85.7372309,38.1555479
"0","0",-85.737256,38.155544
"0","0",-85.7378084508153,38.1553612370965
"0","0",-85.7330179159797,38.14108784401
"0","0",-85.7342619273038,38.1407604726089
"0","0",-85.739082046641,38.1553877009597
"0","0",-85.7399718301573,38.1578942733122
"0","0",-85.740228,38.1578283
"0","0",-85.7404517,38.1577855
"0","0",-85.7405315,38.1577672
"0","0",-85.7406125,38.1577541
"0","0",-85.740694,38.1577462
"0","0",-85.740776,38.1577437
"0","0",-85.7408579,38.1577465
"0","0",-85.7409394,38.1577546
"0","0",-85.7410152,38.1577678
"0","0",-85.7410896,38.1577875
"0","0",-85.7411621,38.1578133
"0","0",-85.7412322,38.1578451
"0","0",-85.7412993,38.1578827
"0","0",-85.741363,38.1579259
"0","0",-85.7414022,38.1579568
"0","0",-85.7414395,38.1579899
"0","0",-85.7414749,38.1580251
"0","0",-85.7415081,38.1580624
"0","0",-85.741539,38.1581015
"0","0",-85.7415676,38.1581424
"0","0",-85.7415874,38.1581745
"0","0",-85.7416052,38.1582077
"0","0",-85.7416209,38.158242
"0","0",-85.7416346,38.1582771
"0","0",-85.7416462,38.1583129
"0","0",-85.7416557,38.1583494
"0","0",-85.7418198,38.1588539
"0","0",-85.7424195,38.160667
"0","0",-85.7429073,38.1621423
"0","0",-85.7435783,38.1641767
"0","0",-85.7443278,38.1664467
"0","0",-85.7449703,38.1683919
"0","0",-85.7458999806117,38.1708295357968
"0","0",-85.7469475690951,38.1706549377162
"0","0",-85.7471876414559,38.1712442062381
"0","0",-85.7461618777325,38.1714188043187
"0","0",-85.746598372934,38.1726191661226
"0","0",-85.7472531157361,38.1745397450089
"0","0",-85.7478860337782,38.1765039734153
"0","0",-85.7492173441425,38.180105058827
"0","0",-85.7652585427948,38.1847755574822
"0","0",-85.7648220475933,38.1866524868484
"0","0",-85.7495665403036,38.1815018434716
"0","0",-85.7504395307065,38.1845354851215
"0","0",-85.7489772717817,38.184993805083
"0","0",-85.7542588637189,38.2011877770557
"0","0",-85.7529057285945,38.2016679217773
"0","0",-85.7480606318587,38.1878310238922
"0","0",-85.7471439919357,38.1865215382879
"0","0",-85.7471876414559,38.1853866507642
"0","0",-85.7462847,38.1851864
"0","0",-85.7461181,38.1851924
"0","0",-85.7460793,38.185076
"0","0",-85.745981,38.184782
"0","0",-85.7459486,38.1846659
"0","0",-85.7461538,38.1847194
"0","0",-85.7460795,38.1844815
"0","0",-85.745898,38.1845023
"0","0",-85.745748,38.184063
"0","0",-85.7457285,38.1839818
"0","0",-85.745899,38.1839418
"0","0",-85.7456036,38.1830568
"0","0",-85.7455867,38.1830049
"0","0",-85.7451485,38.1816589
"0","0",-85.7448689,38.1810759
"0","0",-85.7448648,38.1810645
"0","0",-85.7448603,38.1810533
"0","0",-85.7448552,38.1810423
"0","0",-85.7448498,38.1810315
"0","0",-85.7448439,38.181021
"0","0",-85.7448375,38.1810107
"0","0",-85.744833,38.1810038
"0","0",-85.7448282,38.180997
"0","0",-85.7448233,38.1809904
"0","0",-85.7448181,38.1809839
