shapeid,partid,x,y
"0","0",-111.9581972,40.7752065
"0","0",-111.9581961,40.7751243
"0","0",-111.9585102,40.7751291
"0","0",-111.9585102,40.7744347
"0","0",-111.9538412,40.7744206
"0","0",-111.9538222,40.7740304
"0","0",-111.9564636,40.7739928
"0","0",-111.9564639,40.7727353
"0","0",-111.9574014,40.7727686
"0","0",-111.9574396,40.7739788
"0","0",-111.9581723,40.7739684
"0","0",-111.9581628,40.7733445
"0","0",-111.9587007,40.7733552
"0","0",-111.959452,40.7733404
"0","0",-111.9594377,40.7729121
"0","0",-111.9592426,40.7729073
"0","0",-111.959236556444,40.7715456131864
"0","0",-111.9606279943,40.7715572085018
"0","0",-111.953299754927,40.7602285852954
"0","0",-111.954575239628,40.7593937225821
"0","0",-111.961462857013,40.7699918409145
"0","0",-111.961277331965,40.7577239971555
"0","0",-111.962738341714,40.7577239971555
"0","0",-111.9627665,40.7725261
"0","0",-111.963512,40.7725246
"0","0",-111.9643256,40.7725296
"0","0",-111.9646121,40.7725382
"0","0",-111.9648967,40.7725716
"0","0",-111.9651774,40.7726295
"0","0",-111.9683564,40.773429
"0","0",-111.9691598,40.7736355
"0","0",-111.9710975,40.7741334
"0","0",-111.972153737869,40.7742299287159
"0","0",-111.972391225832,40.7739707761699
"0","0",-111.970808681275,40.7597589750191
"0","0",-111.97192183156,40.7595734499718
"0","0",-111.973823463295,40.7738588786211
"0","0",-111.9751053,40.7737202
"0","0",-111.9764473,40.7736346
"0","0",-111.9765659,40.7736893
"0","0",-111.9779599,40.7736493
"0","0",-111.9779991,40.773999
"0","0",-111.9781741,40.7755624
"0","0",-111.9777244,40.7755838
"0","0",-111.97791,40.7771186
"0","0",-111.9785738,40.7770829
"0","0",-111.9785801,40.7771344
"0","0",-111.9786557,40.7777514
"0","0",-111.978829,40.7791665
"0","0",-111.9788308,40.7791816
"0","0",-111.978748,40.7791886
"0","0",-111.9769041,40.7793453
"0","0",-111.97659,40.7793595
"0","0",-111.9765472,40.7791168
"0","0",-111.9764758,40.7791168
"0","0",-111.9764544,40.7789455
"0","0",-111.9761498,40.7789741
"0","0",-111.9765362,40.7820255
"0","0",-111.9765583,40.7821996
"0","0",-111.9765829,40.7824053
"0","0",-111.9766612,40.7824221
"0","0",-111.9766712,40.7824539
"0","0",-111.9766739,40.7824777
"0","0",-111.9771016,40.7824862
"0","0",-111.9771635,40.7824243
"0","0",-111.9771511,40.7823288
"0","0",-111.9773462,40.7823383
"0","0",-111.9774985,40.7823312
"0","0",-111.9776246,40.7822931
"0","0",-111.9777531,40.7822622
"0","0",-111.9778292,40.7822693
"0","0",-111.9780052,40.7822606
"0","0",-111.9780695,40.7822574
"0","0",-111.978367,40.7822336
"0","0",-111.9785116,40.7822422
"0","0",-111.9786097,40.7822479
"0","0",-111.9786596,40.7827
"0","0",-111.979007,40.7826905
"0","0",-111.9790116,40.7827267
"0","0",-111.9790192,40.7827625
"0","0",-111.9790298,40.7827975
"0","0",-111.9790432,40.7828314
"0","0",-111.9790594,40.7828642
"0","0",-111.9790803,40.7828919
"0","0",-111.9790989,40.7829212
"0","0",-111.9791152,40.7829518
"0","0",-111.979129,40.7829837
"0","0",-111.9791403,40.7830165
"0","0",-111.9791712,40.7832973
"0","0",-111.9792781,40.7842095
"0","0",-111.9792814,40.7842377
"0","0",-111.9792976,40.7843758
"0","0",-111.9793045,40.7844346
"0","0",-111.9797073,40.7845022
"0","0",-111.9796431,40.7847235
"0","0",-111.9795396,40.784727
"0","0",-111.9795075,40.7848234
"0","0",-111.9795144,40.7848864
"0","0",-111.9795177,40.7849167
"0","0",-111.9795221,40.7849569
"0","0",-111.9795753,40.7854409
"0","0",-111.9794399,40.7854562
"0","0",-111.9794457,40.7855388
"0","0",-111.9793952,40.7855418
"0","0",-111.9793874,40.7855072
"0","0",-111.9793801,40.7854726
"0","0",-111.9793733,40.7854378
"0","0",-111.9793592,40.7854159
"0","0",-111.9793431,40.7853952
"0","0",-111.9793253,40.7853761
"0","0",-111.9793059,40.7853587
"0","0",-111.979285,40.785343
"0","0",-111.9792628,40.7853292
"0","0",-111.9792395,40.7853174
"0","0",-111.9792152,40.7853078
"0","0",-111.9791902,40.7853003
"0","0",-111.9791646,40.7852951
"0","0",-111.9791387,40.7852922
"0","0",-111.9791006,40.7852826
"0","0",-111.9791077,40.7852541
"0","0",-111.9790887,40.7852422
"0","0",-111.9791006,40.7852113
"0","0",-111.9790102,40.7851875
"0","0",-111.9789959,40.785216
"0","0",-111.9786057,40.7851327
"0","0",-111.9786057,40.7851066
"0","0",-111.9785248,40.7850804
"0","0",-111.9785057,40.7851042
"0","0",-111.9780512,40.7850114
"0","0",-111.9780203,40.7850661
"0","0",-111.9779751,40.7850637
"0","0",-111.9779561,40.7851304
"0","0",-111.977987,40.7851399
"0","0",-111.9779751,40.7851994
"0","0",-111.978915,40.7854159
"0","0",-111.9789102,40.7854445
"0","0",-111.9790054,40.7854682
"0","0",-111.9790102,40.7854397
"0","0",-111.9790363,40.7854373
"0","0",-111.979053,40.785385
"0","0",-111.9791791,40.785404
"0","0",-111.9791906,40.7854057
"0","0",-111.9792018,40.7854084
"0","0",-111.9792128,40.7854121
"0","0",-111.9792235,40.7854167
"0","0",-111.9792337,40.7854221
"0","0",-111.9792434,40.7854285
"0","0",-111.9792525,40.7854356
"0","0",-111.979261,40.7854435
"0","0",-111.9792688,40.785452
"0","0",-111.9792759,40.7854612
"0","0",-111.9792821,40.785471
"0","0",-111.9792875,40.7854812
"0","0",-111.979292,40.7854919
"0","0",-111.9792955,40.7855029
"0","0",-111.9792982,40.7855142
"0","0",-111.9792998,40.7855257
"0","0",-111.9793005,40.7855373
"0","0",-111.9792838,40.785542
"0","0",-111.9789143,40.7857534
"0","0",-111.9785978,40.7860418
"0","0",-111.9788392,40.7862571
"0","0",-111.979023,40.7863393
"0","0",-111.9790739,40.7863952
"0","0",-111.9791195,40.786451
"0","0",-111.9790411,40.7865557
"0","0",-111.9790149,40.7865342
"0","0",-111.9789388,40.7865818
"0","0",-111.978965,40.7866056
"0","0",-111.9787127,40.7868341
"0","0",-111.9786866,40.7868222
"0","0",-111.9786223,40.7868721
"0","0",-111.9786414,40.7868912
"0","0",-111.9785367,40.7869792
"0","0",-111.9784986,40.7869602
"0","0",-111.9784391,40.7870078
"0","0",-111.9784605,40.7870339
"0","0",-111.9782297,40.7872314
"0","0",-111.9782416,40.7872457
"0","0",-111.9782249,40.7872624
"0","0",-111.9782987,40.7873195
"0","0",-111.9782725,40.7873409
"0","0",-111.9782871,40.7874542
"0","0",-111.9783177,40.787693
"0","0",-111.9782273,40.7877049
"0","0",-111.9782392,40.7878049
"0","0",-111.9782178,40.7878144
"0","0",-111.9782226,40.7878453
"0","0",-111.9782511,40.7878453
"0","0",-111.9782606,40.7879239
"0","0",-111.9782987,40.7879215
"0","0",-111.9782892,40.7878001
"0","0",-111.978332,40.787793
"0","0",-111.978363,40.7879952
"0","0",-111.9783392,40.7879976
"0","0",-111.9783534,40.7880952
"0","0",-111.9783455,40.7881099
"0","0",-111.9783388,40.7881253
"0","0",-111.9783336,40.7881412
"0","0",-111.9783298,40.7881576
"0","0",-111.9783276,40.7881742
"0","0",-111.9783268,40.7881909
"0","0",-111.9783275,40.7882077
"0","0",-111.9783297,40.7882243
"0","0",-111.9783334,40.7882406
"0","0",-111.9783386,40.7882566
"0","0",-111.9783452,40.788272
"0","0",-111.9783531,40.7882868
"0","0",-111.9783623,40.7883008
"0","0",-111.9783728,40.7883139
"0","0",-111.9783844,40.788326
"0","0",-111.9783963,40.7884235
"0","0",-111.9782059,40.7884402
