shapeid,partid,x,y
"0","0",-117.8645744,33.6749551
"0","0",-117.8644581,33.6748997
"0","0",-117.8644216,33.6748254
"0","0",-117.8644377,33.6747562
"0","0",-117.8641963,33.6746289
"0","0",-117.8641319,33.6747093
"0","0",-117.8640541,33.6745062
"0","0",-117.8641049,33.6743608
"0","0",-117.8641608,33.6742739
"0","0",-117.8643832,33.6739289
"0","0",-117.8648631,33.6731456
"0","0",-117.8648921,33.6731082
"0","0",-117.8653326,33.6724334
"0","0",-117.8655467,33.6725262
"0","0",-117.8656181,33.6722728
"0","0",-117.8657038,33.6722371
"0","0",-117.8657461,33.6722274
"0","0",-117.8657874,33.672214
"0","0",-117.8658275,33.6721971
"0","0",-117.8658659,33.6721768
"0","0",-117.8659024,33.6721533
"0","0",-117.8659368,33.6721267
"0","0",-117.8659687,33.6720972
"0","0",-117.865998,33.6720651
"0","0",-117.8660244,33.6720306
"0","0",-117.8660477,33.671994
"0","0",-117.8660678,33.6719554
"0","0",-117.8660845,33.6719153
"0","0",-117.8664295,33.67207
"0","0",-117.8663849,33.6721562
"0","0",-117.8665217,33.6722157
"0","0",-117.8665827,33.6721267
"0","0",-117.8667596,33.6718261
"0","0",-117.8667943,33.671836
"0","0",-117.867225,33.6711215
"0","0",-117.8672825,33.671148
"0","0",-117.8676399,33.670557
"0","0",-117.8674943,33.6704549
"0","0",-117.8673556,33.6703651
"0","0",-117.8676126,33.6701391
"0","0",-117.8677293,33.6702021
"0","0",-117.8678185,33.6702616
"0","0",-117.8684029,33.6706529
"0","0",-117.8685189,33.6705403
"0","0",-117.8691605,33.6699174
"0","0",-117.8697218,33.6693723
"0","0",-117.870725,33.6683662
"0","0",-117.8700403,33.6678821
"0","0",-117.8708456,33.6670536
"0","0",-117.8708651,33.6670304
"0","0",-117.870894,33.6669958
"0","0",-117.8715644,33.6674486
"0","0",-117.8716756,33.6673331
"0","0",-117.8710308,33.6668946
"0","0",-117.871242,33.6666864
"0","0",-117.8715382,33.6668964
"0","0",-117.8718359,33.6665994
"0","0",-117.872045,33.6667429
"0","0",-117.8722741,33.6665109
"0","0",-117.8720606,33.6663716
"0","0",-117.8723573,33.6660707
"0","0",-117.8724963,33.6661659
"0","0",-117.8732556,33.6653063
"0","0",-117.8732675,33.6652796
"0","0",-117.8730769,33.6651507
"0","0",-117.8729462,33.6650624
"0","0",-117.8730147,33.6649762
"0","0",-117.8730622,33.6649792
"0","0",-117.8730837,33.6649719
"0","0",-117.8731044,33.6649628
"0","0",-117.8731243,33.6649519
"0","0",-117.8731431,33.6649392
"0","0",-117.8731606,33.6649249
"0","0",-117.8731768,33.6649091
"0","0",-117.8731916,33.6648919
"0","0",-117.8732047,33.6648735
"0","0",-117.8732162,33.6648539
"0","0",-117.8732258,33.6648334
"0","0",-117.8732972,33.6646579
"0","0",-117.8733329,33.6646053
"0","0",-117.8733737,33.6645566
"0","0",-117.8734192,33.6645122
"0","0",-117.8734288,33.6645025
"0","0",-117.8734392,33.6644937
"0","0",-117.8734503,33.6644858
"0","0",-117.8734621,33.6644789
"0","0",-117.8734745,33.6644731
"0","0",-117.8734873,33.6644683
"0","0",-117.8735005,33.6644648
"0","0",-117.8735139,33.6644624
"0","0",-117.8735275,33.6644611
"0","0",-117.8735412,33.6644611
"0","0",-117.8735548,33.6644623
"0","0",-117.8735682,33.6644646
"0","0",-117.8735814,33.6644682
"0","0",-117.8735942,33.6644728
"0","0",-117.8736066,33.6644786
"0","0",-117.8736184,33.6644854
"0","0",-117.875915951357,33.6606469784552
"0","0",-117.87672159041,33.6610596228483
"0","0",-117.875167264916,33.6634442680895
"0","0",-117.875749542291,33.6638159344994
"0","0",-117.883018717826,33.6519164149408
"0","0",-117.88430716138,33.6525358589574
"0","0",-117.877617166001,33.6631407405213
"0","0",-117.877022499745,33.6642805175119
"0","0",-117.877889721369,33.6649495170498
"0","0",-117.876731,33.6662788
"0","0",-117.8766448,33.6663669
"0","0",-117.8766308,33.6663807
"0","0",-117.8766171,33.6663948
"0","0",-117.8766035,33.6664091
"0","0",-117.8765698,33.6664463
"0","0",-117.8765374,33.6664847
"0","0",-117.8765063,33.6665242
"0","0",-117.8764641,33.6665831
"0","0",-117.8764249,33.6666441
"0","0",-117.8763889,33.6667071
"0","0",-117.8762443,33.6669347
"0","0",-117.8757235,33.6677243
"0","0",-117.875321,33.66837
"0","0",-117.8753181,33.6683848
"0","0",-117.8752909,33.668408
"0","0",-117.8752799,33.6684244
"0","0",-117.8752773,33.6684328
"0","0",-117.8752763,33.6684416
"0","0",-117.8752768,33.6684504
"0","0",-117.875279,33.668459
"0","0",-117.8752826,33.6684671
"0","0",-117.8752877,33.6684744
"0","0",-117.8759042,33.6687514
"0","0",-117.8759716,33.6687798
"0","0",-117.8758052,33.6690556
"0","0",-117.8752318,33.6699621
"0","0",-117.8752545,33.6699695
"0","0",-117.8752729,33.6699765
"0","0",-117.8754338,33.6700276
"0","0",-117.8763855,33.6703359
"0","0",-117.876314,33.6705588
"0","0",-117.8758046,33.6703987
"0","0",-117.8757434,33.6705438
"0","0",-117.8763069,33.6707338
"0","0",-117.8762212,33.6709527
"0","0",-117.8761911,33.670943
"0","0",-117.8750186,33.6705678
"0","0",-117.8749132,33.6705328
"0","0",-117.874883,33.6705244
"0","0",-117.874268,33.6715299
"0","0",-117.873285,33.673049
"0","0",-117.8732445,33.6730395
"0","0",-117.8728916,33.6735934
"0","0",-117.8728694,33.6736295
"0","0",-117.8726101,33.6740518
"0","0",-117.8723522,33.6744719
"0","0",-117.8725021,33.6745338
"0","0",-117.8722971,33.6747542
"0","0",-117.87216,33.674869
"0","0",-117.8721425,33.6748492
"0","0",-117.8721116,33.6748896
"0","0",-117.872123,33.6749
"0","0",-117.8721001,33.6749408
"0","0",-117.8721007,33.674961
"0","0",-117.8721021,33.6750086
"0","0",-117.8721437,33.6750035
"0","0",-117.8721499,33.675062
"0","0",-117.8730465,33.6756808
"0","0",-117.8729019,33.6758329
"0","0",-117.8729328,33.6758686
"0","0",-117.8728614,33.6759234
"0","0",-117.8719714,33.6753025
"0","0",-117.8718391,33.6754728
"0","0",-117.8715135,33.6759281
"0","0",-117.8718293,33.6761451
"0","0",-117.872371,33.6765278
"0","0",-117.8726068,33.6766943
"0","0",-117.8725021,33.6768561
"0","0",-117.8722186,33.6767269
"0","0",-117.8722523,33.6766515
"0","0",-117.8722309,33.6766372
"0","0",-117.8722033,33.6766622
"0","0",-117.8720237,33.6765787
"0","0",-117.8713157,33.6762619
"0","0",-117.8712838,33.6762493
"0","0",-117.8712695,33.6762874
"0","0",-117.8713025,33.6762992
"0","0",-117.8713695,33.6763231
"0","0",-117.8713386,33.6763802
"0","0",-117.871291,33.6764421
"0","0",-117.8721024,33.6768038
"0","0",-117.8720809,33.6768347
"0","0",-117.8722665,33.676918
"0","0",-117.8715884,33.6779887
"0","0",-117.8714052,33.6778579
"0","0",-117.8718858,33.6770964
"0","0",-117.8717811,33.6770441
"0","0",-117.8718168,33.6769751
"0","0",-117.8716407,33.6768918
"0","0",-117.8711458,33.6776865
"0","0",-117.8710506,33.6776128
"0","0",-117.8710721,33.6775676
"0","0",-117.8708627,33.6774867
"0","0",-117.8713029,33.6767871
"0","0",-117.8710245,33.6766634
"0","0",-117.87062,33.6773082
"0","0",-117.8704337,33.6772318
"0","0",-117.8700108,33.6770584
"0","0",-117.8699359,33.6770292
"0","0",-117.869076,33.6783987
"0","0",-117.869064,33.678418
"0","0",-117.86927,33.678524
"0","0",-117.8691165,33.6787845
"0","0",-117.8690844,33.6787881
"0","0",-117.8690058,33.6789023
"0","0",-117.8689933,33.6789264
"0","0",-117.8692231,33.679039
"0","0",-117.8691725,33.6791332
"0","0",-117.869145,33.6791843
"0","0",-117.869105,33.6792867
"0","0",-117.8690331,33.6793863
"0","0",-117.8688894,33.6793226
"0","0",-117.8688648,33.6793672
"0","0",-117.8688155,33.6793461
"0","0",-117.8687208,33.6793055
"0","0",-117.8686993,33.6792953
"0","0",-117.8686778,33.6792851
"0","0",-117.8686564,33.6792748
"0","0",-117.8685974,33.6792461
"0","0",-117.8685387,33.6792171
"0","0",-117.8684801,33.6791876
"0","0",-117.8684744,33.6791847
"0","0",-117.8684653,33.6791809
"0","0",-117.8684559,33.679178
"0","0",-117.8684463,33.6791759
"0","0",-117.8684365,33.6791747
"0","0",-117.8684267,33.6791744
"0","0",-117.8684169,33.679175
"0","0",-117.8684071,33.6791764
"0","0",-117.8683976,33.6791788
"0","0",-117.8683883,33.679182
"0","0",-117.8683793,33.679186
"0","0",-117.8683707,33.6791909
"0","0",-117.8683634,33.6791958
"0","0",-117.8683565,33.6792014
"0","0",-117.8683501,33.6792075
"0","0",-117.8683443,33.6792142
"0","0",-117.8683389,33.6792212
"0","0",-117.8683342,33.6792287
"0","0",-117.8683301,33.6792366
"0","0",-117.8683213,33.679258
"0","0",-117.8683124,33.6792794
"0","0",-117.8683033,33.6793007
"0","0",-117.8682974,33.6793145
"0","0",-117.8682913,33.6793283
"0","0",-117.8682852,33.679342
"0","0",-117.8682355,33.6794709
"0","0",-117.8681946,33.6796028
"0","0",-117.8681629,33.6797373
"0","0",-117.8681402,33.6798017
"0","0",-117.8681117,33.6798637
"0","0",-117.8680777,33.679923
"0","0",-117.8680714,33.6799324
"0","0",-117.8680651,33.6799418
"0","0",-117.8680589,33.6799512
"0","0",-117.868027,33.6799997
"0","0",-117.8679956,33.6800485
"0","0",-117.8679647,33.6800975
"0","0",-117.867948,33.6801245
"0","0",-117.8679314,33.6801515
"0","0",-117.867915,33.6801786
"0","0",-117.8678923,33.6802158
"0","0",-117.8675889,33.6807012
"0","0",-117.8670928,33.6814864
"0","0",-117.8672605,33.6815578
"0","0",-117.8669643,33.6820504
"0","0",-117.8669098,33.6820638
"0","0",-117.8668559,33.6820765
"0","0",-117.8668023,33.6820901
"0","0",-117.8667489,33.6821048
"0","0",-117.8667153,33.6821145
"0","0",-117.8666818,33.6821247
"0","0",-117.8666483,33.6821353
"0","0",-117.8666191,33.6821524
"0","0",-117.8666024,33.6821457
"0","0",-117.8664812,33.6821967
"0","0",-117.8664425,33.6822033
"0","0",-117.8664301,33.6822232
"0","0",-117.8664152,33.682221
"0","0",-117.8663932,33.6822302
"0","0",-117.866372,33.682241
"0","0",-117.8663516,33.6822533
"0","0",-117.8663311,33.682268
"0","0",-117.8663118,33.6822843
"0","0",-117.8662939,33.6823021
"0","0",-117.8662774,33.6823212
"0","0",-117.8662625,33.6823416
"0","0",-117.8662004,33.6824449
"0","0",-117.8661861,33.6824669
"0","0",-117.865334570134,33.6820848371634
"0","0",-117.857140631471,33.6950143614806
"0","0",-117.856472540548,33.6946213668205
"0","0",-117.864391382949,33.6816721927703
"0","0",-117.863959088823,33.6815149949063
"0","0",-117.85576515016,33.6944445192235
"0","0",-117.854861262442,33.6939925753644
"0","0",-117.863055201105,33.6809648023822
"0","0",-117.8627891,33.6808169
"0","0",-117.8627693,33.6808115
"0","0",-117.8627491,33.6808078
"0","0",-117.8627287,33.6808059
"0","0",-117.8627082,33.6808058
"0","0",-117.8626877,33.6808075
"0","0",-117.8626675,33.6808109
"0","0",-117.8626477,33.6808161
"0","0",-117.8626283,33.680823
"0","0",-117.8626097,33.6808316
"0","0",-117.8625919,33.6808418
"0","0",-117.862575,33.6808534
"0","0",-117.8625592,33.6808665
"0","0",-117.8625446,33.6808809
"0","0",-117.8625313,33.6808966
"0","0",-117.8622573,33.6812292
"0","0",-117.8620023,33.6815766
"0","0",-117.8617669,33.6819376
"0","0",-117.8616476,33.6821336
"0","0",-117.8615249,33.6823276
"0","0",-117.861399,33.6825195
"0","0",-117.8613528,33.6825882
"0","0",-117.8613062,33.6826566
"0","0",-117.8612592,33.6827247
"0","0",-117.8611037,33.6829637
"0","0",-117.8611235,33.6829961
"0","0",-117.8611602,33.6830559
"0","0",-117.8608942,33.6834734
"0","0",-117.8607535,33.6835057
"0","0",-117.8595949,33.6829982
"0","0",-117.8595273,33.6829697
"0","0",-117.8595921,33.6828643
"0","0",-117.8599615,33.682241
"0","0",-117.8600697,33.6822836
"0","0",-117.8600881,33.6822666
"0","0",-117.8601061,33.6822491
"0","0",-117.8601236,33.6822312
"0","0",-117.8601643,33.682178
"0","0",-117.8602045,33.6821245
"0","0",-117.8602444,33.6820707
"0","0",-117.8603181,33.6819675
"0","0",-117.860327,33.6819435
"0","0",-117.8603343,33.681919
"0","0",-117.8603401,33.681894
"0","0",-117.8605634,33.6815429
"0","0",-117.8605982,33.6814882
"0","0",-117.8609664,33.6809035
"0","0",-117.8609818,33.6809103
"0","0",-117.8610787,33.6807657
"0","0",-117.8611756,33.6806212
"0","0",-117.8612726,33.6804766
"0","0",-117.8613144,33.6804144
"0","0",-117.861416,33.6802553
"0","0",-117.8614552,33.6801939
"0","0",-117.8617046,33.6798037
"0","0",-117.8616141,33.6797664
"0","0",-117.8616841,33.6796628
"0","0",-117.8618152,33.6796306
"0","0",-117.86188,33.6796146
"0","0",-117.86186,33.6795604
"0","0",-117.8618232,33.6794602
"0","0",-117.8618976,33.6793493
"0","0",-117.8619762,33.6793786
"0","0",-117.8620386,33.6792809
"0","0",-117.8623499,33.6787937
