shapeid,partid,x,y
"0","0",-157.921389,21.3135196
"0","0",-157.9210228,21.3131236
"0","0",-157.9215003,21.3127938
"0","0",-157.9212857,21.3125389
"0","0",-157.9226,21.3115994
"0","0",-157.9224766,21.3114244
"0","0",-157.9233759,21.3108281
"0","0",-157.9234349,21.3109031
"0","0",-157.9247116,21.3122774
"0","0",-157.9246634,21.3123324
"0","0",-157.9246795,21.3123873
"0","0",-157.9247323,21.3124964
"0","0",-157.9248262,21.3126064
"0","0",-157.9248664,21.3126538
"0","0",-157.9249281,21.3127138
"0","0",-157.9249979,21.3127763
"0","0",-157.9250649,21.3128288
"0","0",-157.9251159,21.3128513
"0","0",-157.9251883,21.3128637
"0","0",-157.9252553,21.3128537
"0","0",-157.9252956,21.3128388
"0","0",-157.9253304,21.3128088
"0","0",-157.92536,21.3127813
"0","0",-157.9253921,21.3127463
"0","0",-157.9254109,21.3127113
"0","0",-157.9254297,21.3126588
"0","0",-157.9254404,21.3126039
"0","0",-157.9254082,21.3125339
"0","0",-157.9253519,21.3124639
"0","0",-157.9253036,21.3124165
"0","0",-157.925191,21.3122965
"0","0",-157.9236809,21.3107323
"0","0",-157.9233429,21.3104224
"0","0",-157.9231015,21.3102575
"0","0",-157.9229299,21.3101526
"0","0",-157.9227207,21.3100776
"0","0",-157.9225383,21.3100176
"0","0",-157.922313,21.3099676
"0","0",-157.9220501,21.3099327
"0","0",-157.9217819,21.3099227
"0","0",-157.9214439,21.3099177
"0","0",-157.9190608,21.3099646
"0","0",-157.9159602,21.3099696
"0","0",-157.9132833,21.3099696
"0","0",-157.9124089,21.3099996
"0","0",-157.9112556,21.3099896
"0","0",-157.9110195,21.3099596
"0","0",-157.9108693,21.3099096
"0","0",-157.9107513,21.3098546
"0","0",-157.9106279,21.3097297
"0","0",-157.9105796,21.3096547
"0","0",-157.910526,21.3095698
"0","0",-157.9104992,21.3094298
"0","0",-157.9104724,21.3092149
"0","0",-157.9104777,21.3086102
"0","0",-157.909724,21.3080405
"0","0",-157.9097026,21.3072208
"0","0",-157.9089623,21.3072009
"0","0",-157.894631688281,21.3084013749099
"0","0",-157.894552501451,21.3054714622048
"0","0",-157.9153969,21.3064137
"0","0",-157.9198011,21.3064187
"0","0",-157.9291835,21.3063987
"0","0",-157.932665,21.3064187
"0","0",-157.937403279962,21.3063145276771
"0","0",-157.939392405097,21.3046764246248
"0","0",-157.939977441901,21.3051444540683
"0","0",-157.938748864612,21.3063145276771
"0","0",-157.961868635784,21.3053912403035
"0","0",-157.961768725363,21.3075892695784
"0","0",-157.9467251,21.3072183
"0","0",-157.9467224,21.308043
"0","0",-157.9459821,21.3085977
"0","0",-157.9459794,21.30906
"0","0",-157.9459794,21.3099971
"0","0",-157.9461136,21.3110191
"0","0",-157.9463818,21.3130306
"0","0",-157.9466527,21.3149097
"0","0",-157.9468004,21.3161625
"0","0",-157.9468565,21.3166388
"0","0",-157.9468673,21.3167462
"0","0",-157.9468646,21.3168387
"0","0",-157.9468592,21.3169611
"0","0",-157.9468512,21.3170736
"0","0",-157.9468217,21.317196
"0","0",-157.9467895,21.3173209
"0","0",-157.9467573,21.3174334
"0","0",-157.9466768,21.3176283
"0","0",-157.9465052,21.3179531
"0","0",-157.946414,21.3181005
"0","0",-157.9457461,21.3191724
"0","0",-157.9456442,21.3193274
"0","0",-157.9455618,21.319431
"0","0",-157.9454993,21.3195747
"0","0",-157.9448261,21.3207666
"0","0",-157.9444667,21.3213763
"0","0",-157.9442548,21.3217386
"0","0",-157.9441327,21.3219697
"0","0",-157.9438189,21.3225106
"0","0",-157.9440737,21.322643
"0","0",-157.9441757,21.3226843
"0","0",-157.9442736,21.322708
"0","0",-157.9443259,21.322698
"0","0",-157.944395,21.3226638
"0","0",-157.9444707,21.3226281
"0","0",-157.9445337,21.3225929
"0","0",-157.9446571,21.3224979
"0","0",-157.9447858,21.3224155
"0","0",-157.9449226,21.3223305
"0","0",-157.9450862,21.3222481
"0","0",-157.9452794,21.3221631
"0","0",-157.9454591,21.3220982
"0","0",-157.9455838,21.3220559
"0","0",-157.9457233,21.3220009
"0","0",-157.9458574,21.3219534
"0","0",-157.9461203,21.321851
"0","0",-157.9462168,21.3218185
"0","0",-157.9464019,21.3217535
"0","0",-157.9465709,21.3216961
"0","0",-157.9466272,21.3216686
"0","0",-157.9467345,21.3216161
"0","0",-157.9467801,21.3215811
"0","0",-157.946772,21.3214862
"0","0",-157.9464636,21.3206541
"0","0",-157.9471395,21.3204343
"0","0",-157.9474185,21.3203551
"0","0",-157.9475096,21.3203293
"0","0",-157.9477618,21.3202444
"0","0",-157.9478409,21.3204271
"0","0",-157.9478959,21.3205542
"0","0",-157.9480407,21.320954
"0","0",-157.9480675,21.3210289
"0","0",-157.9481641,21.3211139
"0","0",-157.9482446,21.3211339
"0","0",-157.9483089,21.3211239
"0","0",-157.948368,21.3211014
"0","0",-157.9492504,21.3208041
"0","0",-157.9494113,21.3207541
"0","0",-157.9496232,21.3206966
"0","0",-157.9498914,21.3206267
"0","0",-157.9499558,21.3205917
"0","0",-157.9500148,21.3205692
"0","0",-157.9500738,21.3205617
"0","0",-157.9501775,21.3205575
"0","0",-157.9538397,21.3206192
"0","0",-157.9539201,21.3212638
"0","0",-157.9508758,21.3213138
"0","0",-157.9508007,21.3213038
"0","0",-157.9507363,21.3212913
"0","0",-157.9506747,21.3212663
"0","0",-157.9500497,21.3209865
"0","0",-157.9499558,21.3209415
"0","0",-157.9498995,21.3209215
"0","0",-157.9498405,21.320909
"0","0",-157.9497412,21.3209165
"0","0",-157.9496849,21.320929
"0","0",-157.9496126,21.3209384
"0","0",-157.9493796,21.3210138
"0","0",-157.9491484,21.321098
"0","0",-157.9481405,21.3214378
"0","0",-157.9480434,21.321486
"0","0",-157.9479951,21.321511
"0","0",-157.9479562,21.321541
"0","0",-157.9479361,21.3215647
"0","0",-157.9479213,21.3215922
"0","0",-157.9479173,21.3216097
"0","0",-157.9479119,21.3216284
"0","0",-157.9478958,21.3216484
"0","0",-157.947696,21.3217221
"0","0",-157.9473086,21.3218686
"0","0",-157.9472763,21.3218808
"0","0",-157.9471998,21.3219183
"0","0",-157.9472199,21.3219695
"0","0",-157.9472374,21.3220132
"0","0",-157.9472521,21.3220544
"0","0",-157.9472749,21.3221057
"0","0",-157.947287,21.3221269
"0","0",-157.9473054,21.3221412
"0","0",-157.9473366,21.3221456
"0","0",-157.9473782,21.3221319
"0","0",-157.9478181,21.3219795
"0","0",-157.9481105,21.3226277
"0","0",-157.9476733,21.3227277
"0","0",-157.9474909,21.3227252
"0","0",-157.9474024,21.3227052
"0","0",-157.9472575,21.3226677
"0","0",-157.9471261,21.3226053
"0","0",-157.947059,21.3225253
"0","0",-157.947,21.3224354
"0","0",-157.9469652,21.3223429
"0","0",-157.9469303,21.3222355
"0","0",-157.9469061,21.3221455
"0","0",-157.9468927,21.3220681
"0","0",-157.9468766,21.3220106
"0","0",-157.9468498,21.3219856
"0","0",-157.9468203,21.3219581
"0","0",-157.9467868,21.3219309
"0","0",-157.9467144,21.3219359
"0","0",-157.9462302,21.3221205
"0","0",-157.9458695,21.3222358
"0","0",-157.9456656,21.3223007
"0","0",-157.9454108,21.3223907
"0","0",-157.945215,21.3224706
"0","0",-157.9450568,21.3225481
"0","0",-157.94492,21.3226231
"0","0",-157.9448449,21.3226805
"0","0",-157.9447617,21.3227455
"0","0",-157.944633,21.3228454
"0","0",-157.9444345,21.3230309
"0","0",-157.9443956,21.3230225
"0","0",-157.9441256,21.3232646
"0","0",-157.9440084,21.3233699
"0","0",-157.9438976,21.323477
"0","0",-157.9435561,21.3238271
"0","0",-157.9435557,21.3238646
"0","0",-157.9435453,21.3249764
"0","0",-157.958971233558,21.3245240860371
"0","0",-157.959021188769,21.3259228319393
"0","0",-157.9441757,21.3255261
"0","0",-157.9442239,21.325651
"0","0",-157.9451802,21.3265393
"0","0",-157.9455566,21.3268928
"0","0",-157.9463088,21.3275991
"0","0",-157.9464205,21.3276805
"0","0",-157.9465674,21.3276802
"0","0",-157.9468506,21.3276451
"0","0",-157.9469563,21.3276352
"0","0",-157.9474016,21.3276377
"0","0",-157.947423,21.3284722
"0","0",-157.9478492,21.3285259
"0","0",-157.9477269,21.3287268
"0","0",-157.9478342,21.3288343
"0","0",-157.9487676,21.3286619
"0","0",-157.9492825,21.3285794
"0","0",-157.949996,21.328457
"0","0",-157.9504064,21.328382
"0","0",-157.9506585,21.3283371
"0","0",-157.9508892,21.3283021
"0","0",-157.9511681,21.3282721
"0","0",-157.951439,21.3282321
"0","0",-157.9516188,21.3282221
"0","0",-157.9519031,21.3281897
"0","0",-157.953102,21.3279323
"0","0",-157.9543198,21.3277485
"0","0",-157.9559331,21.3274612
"0","0",-157.9574258,21.3272151
"0","0",-157.9574285,21.3272588
"0","0",-157.95747,21.3272988
"0","0",-157.9575733,21.3278198
"0","0",-157.9576174,21.3278679
"0","0",-157.9576708,21.327934
"0","0",-157.9577839,21.3280113
"0","0",-157.9579555,21.3279896
"0","0",-157.9580454,21.3279809
"0","0",-157.9581042,21.3280143
"0","0",-157.9581956,21.3280621
"0","0",-157.9582626,21.3280534
"0","0",-157.9583176,21.3280246
"0","0",-157.9583643,21.3279908
"0","0",-157.9583927,21.3279459
"0","0",-157.9584233,21.3278923
"0","0",-157.9585423,21.3277704
"0","0",-157.9587803,21.3279786
"0","0",-157.9600265,21.3277585
"0","0",-157.9614182,21.3290902
"0","0",-157.9606538,21.3297886
"0","0",-157.9607772,21.3299585
"0","0",-157.9606002,21.3301434
"0","0",-157.9607128,21.3302533
"0","0",-157.9603266,21.3306381
"0","0",-157.9606645,21.3309229
"0","0",-157.9614571,21.3315984
"0","0",-157.9605465,21.3325769
"0","0",-157.9602783,21.3328367
"0","0",-157.9600243,21.3325595
"0","0",-157.9600444,21.3325408
"0","0",-157.9600632,21.3324933
"0","0",-157.9600672,21.3324558
"0","0",-157.9600579,21.3324159
"0","0",-157.960023,21.3323634
"0","0",-157.9599747,21.3323334
"0","0",-157.9599291,21.3323234
"0","0",-157.9598808,21.3323259
"0","0",-157.9598084,21.3323584
"0","0",-157.9595822,21.3321597
"0","0",-157.9596129,21.3321007
"0","0",-157.9593775,21.3318553
"0","0",-157.9564909,21.3344992
"0","0",-157.9562033,21.334763
"0","0",-157.9562711,21.3348332
"0","0",-157.9555823,21.3354721
"0","0",-157.9556084,21.3355031
"0","0",-157.954553,21.3365217
"0","0",-157.9525495,21.3346931
"0","0",-157.9525253,21.3335639
"0","0",-157.9526031,21.3336063
"0","0",-157.9526729,21.3336338
"0","0",-157.9527506,21.3336563
"0","0",-157.9528097,21.3336763
"0","0",-157.9528579,21.3336738
"0","0",-157.952933,21.3336588
"0","0",-157.9530055,21.3336338
"0","0",-157.9530645,21.3335913
"0","0",-157.9531235,21.3335414
"0","0",-157.9532495,21.3334289
"0","0",-157.9532737,21.333384
"0","0",-157.9532898,21.3333615
"0","0",-157.9532898,21.333324
"0","0",-157.9532469,21.3332865
"0","0",-157.9531664,21.333369
"0","0",-157.9529143,21.3331416
"0","0",-157.9534373,21.3326095
"0","0",-157.9534936,21.3326519
"0","0",-157.9535017,21.3326819
"0","0",-157.953499,21.3327169
"0","0",-157.9534936,21.3327469
"0","0",-157.9534829,21.3327769
"0","0",-157.9534185,21.3328518
"0","0",-157.9535593,21.3329892
"0","0",-157.9534722,21.3330642
"0","0",-157.9534869,21.3330792
"0","0",-157.9535097,21.3330917
"0","0",-157.9535258,21.3330979
"0","0",-157.953558,21.3331004
"0","0",-157.9535982,21.3330879
"0","0",-157.9536411,21.3330629
"0","0",-157.9536732,21.3330379
"0","0",-157.9558781,21.3309942
"0","0",-157.9562,21.3306944
"0","0",-157.956436,21.3304346
"0","0",-157.9562536,21.3301447
"0","0",-157.9560427,21.3301189
"0","0",-157.9558459,21.3300948
"0","0",-157.9558674,21.3306844
"0","0",-157.9555376,21.3310285
"0","0",-157.9543667,21.3310263
"0","0",-157.9543613,21.3311132
