Lat,Lon
36.1103583,-86.6831645
36.1102913,-86.6832376
36.1102617,-86.6832644
36.1102302,-86.6832839
36.1101179,-86.6833352
36.1098077,-86.6834632
36.1094265,-86.683618
36.1093595,-86.6836424
36.1093221,-86.6836668
36.1092905,-86.6836985
36.1092689,-86.6837326
36.1092492,-86.6837692
36.1092374,-86.6838058
36.1092275,-86.6838521
36.1092196,-86.6839155
36.1092177,-86.6839594
36.1092196,-86.6840106
36.1089754,-86.684152
36.1089655,-86.6841154
36.1037912,-86.6861917
36.1034691,-86.6863161
36.103413,-86.6863441
36.1033618,-86.6863734
36.1033086,-86.6864136
36.1032436,-86.6864721
36.103213,-86.6865075
36.1031815,-86.6865538
36.1031421,-86.6866355
36.1031116,-86.686716
36.1030889,-86.686794
36.1030751,-86.6868757
36.1030722,-86.686933
36.1030722,-86.6869927
36.103081,-86.6870756
36.1030978,-86.6871756
36.1031234,-86.6872829
36.1032219,-86.6876547
36.1027284,-86.6878608
36.1028958,-86.6885069
36.1034445,-86.6882814
36.1034366,-86.6882497
36.1046995,-86.6877376
36.1057263,-86.6873274
36.1079726,-86.6864319
36.1111964,-86.6851408
36.1112782,-86.6851079
36.111355,-86.6850774
36.1125438,-86.6846055
36.1137179,-86.6841362
36.1143064,-86.683896
36.1143458,-86.6838814
36.1143847,-86.6838716
36.1144206,-86.6838643
36.114464,-86.6838606
36.1145088,-86.6838618
36.1145541,-86.6838667
36.114591,-86.683874
36.1146373,-86.6838887
36.1146767,-86.683907
36.1150569,-86.6841496
36.1161186,-86.6848274
36.1171015,-86.6853895
36.1171123,-86.6853639
36.117326,-86.6855248
36.1173792,-86.6855663
36.1174127,-86.685598
36.1174501,-86.685654
36.1174738,-86.6856955
36.1174915,-86.6857345
36.1175092,-86.6857808
36.117527,-86.685854
36.1175762,-86.6860686
36.1175486,-86.6860808
36.11759,-86.68626
36.1146613,-86.6874176
36.114777,-86.6878816
36.1177105,-86.686744
36.1177689,-86.6869701
36.1178027,-86.6869574
36.117852,-86.6871332
36.1178899,-86.687283
36.1179314,-86.6874372
36.1179856,-86.6875981
36.1180361,-86.6876853
36.1180777,-86.6877412
36.1181336,-86.6877971
36.1181806,-86.6878284
36.1182293,-86.6878574
36.1183052,-86.6878887
36.1183593,-86.6878999
36.1184081,-86.6879044
36.1185218,-86.687891
36.1186663,-86.6878552
36.1188017,-86.6878217
36.1188541,-86.6878083
36.1189443,-86.6878015
36.1190093,-86.687815
36.1190816,-86.6878574
36.1191303,-86.6879178
36.1191754,-86.6880005
36.1191971,-86.6880541
36.1192101,-86.6881064
36.1192116,-86.6881927
36.1192043,-86.6882374
36.1191935,-86.6882709
36.1191592,-86.688329
36.1191375,-86.6883603
36.1191086,-86.6883827
36.1190363,-86.688417
36.1189996,-86.6884298
36.1184857,-86.6886263
36.1176263,-86.6889638
36.1174583,-86.6890242
36.1174295,-86.6890063
36.1173446,-86.6889594
36.1172976,-86.688937
36.1172724,-86.6889281
36.1172489,-86.6889303
36.1172254,-86.6889348
36.116718,-86.6891315
36.1167433,-86.6892321
36.1167867,-86.6892186
36.1168661,-86.689498
36.1173211,-86.6893148
36.1173283,-86.6893416
36.1173753,-86.6893237
36.1174276,-86.6895204
36.1175288,-86.6894846
36.1174872,-86.689317
36.1175107,-86.6893103
36.1175035,-86.689279
36.1175288,-86.6892723
36.1175053,-86.6891874
36.1182763,-86.6888834
36.1183214,-86.6888677
36.1183431,-86.6888677
36.1183575,-86.6888722
36.1183684,-86.6888811
36.1183774,-86.6889035
36.1183864,-86.6889437
36.1183882,-86.6889929
36.1183828,-86.6890309
36.1183684,-86.6890599
36.1183395,-86.6890801
36.1181625,-86.6891471
36.11826,-86.6895316
36.1192116,-86.6891516
36.1191141,-86.6887761
36.1187385,-86.6889258
36.1186988,-86.6889392
36.1186717,-86.6889415
36.1186554,-86.6889348
36.1186464,-86.6889191
36.1186338,-86.6888856
36.1186338,-86.6888431
36.1186356,-86.6888118
36.1186518,-86.6887806
36.1186717,-86.6887582
36.118706,-86.6887314
36.1187602,-86.6886979
36.1191325,-86.6885512
36.1193271,-86.68849
36.1194391,-86.688481
36.1195185,-86.6884855
36.1196413,-86.6884855
36.119867,-86.688484
36.1199735,-86.6888521
36.1200024,-86.6889728
36.1200241,-86.6891248
36.1200313,-86.6893483
36.1200493,-86.6896612
36.1207535,-86.6893885
36.1207625,-86.689422
36.1219505,-86.6889571
36.1219415,-86.6889214
36.1221419,-86.6888431
36.1221582,-86.688908
36.1222268,-86.6888834
36.1222376,-86.6889124
36.1228605,-86.688671
36.1225102,-86.6873433
36.1225301,-86.6873366
36.122485,-86.6871444
36.1224848,-86.6871125
36.122481,-86.687068
36.1224771,-86.6870358
36.1224688,-86.6869797
36.1224606,-86.6869309
36.1224507,-86.6868918
36.1224416,-86.6868382
36.1224182,-86.6866739
36.1224326,-86.6866717
36.1224227,-86.6866091
36.1224263,-86.6865834
36.1224353,-86.6865577
36.1224525,-86.6865174
36.1224705,-86.6864996
36.1225337,-86.6864638
36.1225283,-86.6864437
36.1228506,-86.686276
36.122845,-86.6862443
36.1232604,-86.6860279
36.1243762,-86.6855965
36.1243852,-86.6856368
36.124916,-86.6855228
36.1251363,-86.6854893
36.1251922,-86.685487
36.1252265,-86.685496
36.1252536,-86.6855071
36.1252789,-86.6855295
36.125297,-86.685563
36.1253204,-86.6856502
36.1253728,-86.6858759
36.1254233,-86.6858581
36.1254701,-86.6860163
36.1254814,-86.6860477
36.1254927,-86.6860734
36.1255097,-86.6861061
36.1255257,-86.6861317
36.1255389,-86.6861562
36.1255483,-86.6861772
36.1256039,-86.6863836
36.1256519,-86.6863626
36.1259731,-86.6876151
36.125894,-86.6876466
36.1259326,-86.6878402
36.1258535,-86.687874
36.1259157,-86.6881504
36.1259948,-86.6881305
36.1260183,-86.688127
