Lat,Lon
35.2059353,-80.9480951
35.2059094,-80.9481463
35.2058776,-80.9482243
35.2058596,-80.9482719
35.2058487,-80.9483292
35.2058417,-80.9483999
35.2058158,-80.9486632
35.2057919,-80.9487839
35.2057809,-80.9488278
35.20577,-80.9488754
35.20575,-80.9489168
35.2057182,-80.9489534
35.2056903,-80.9489754
35.2056564,-80.9489985
35.2056225,-80.9490119
35.2055757,-80.9490168
35.2055149,-80.9490192
35.2049352,-80.949001
35.2033921,-80.9488827
35.2025453,-80.9488071
35.2007371,-80.9486498
35.2006186,-80.9486474
35.2005608,-80.9486498
35.200489,-80.9486632
35.2004412,-80.9486828
35.2003824,-80.9487145
35.2003197,-80.9487644
35.20024,-80.9488303
35.2001673,-80.9489242
35.2001075,-80.9490278
35.2000766,-80.949118
35.2000597,-80.9492533
35.199968,-80.9505579
35.1994669,-80.9505091
35.199436,-80.9510187
35.2058855,-80.9515661
35.2096839,-80.9518959
35.2110271,-80.9520044
35.2110291,-80.9521251
35.2110929,-80.9521373
35.2111278,-80.9521532
35.2111626,-80.9521751
35.2111955,-80.9522056
35.2112383,-80.9522641
35.2112702,-80.9523312
35.2112782,-80.9523592
35.2112533,-80.9528676
35.2112174,-80.9535772
35.2110431,-80.956452
35.2110331,-80.9566459
35.2110232,-80.9567385
35.2110093,-80.9568155
35.2109873,-80.956936
35.21096,-80.9570676
35.210921,-80.9571982
35.2108983,-80.9572604
35.2108389,-80.9574037
35.2107992,-80.9574858
35.2107678,-80.9575424
35.2107161,-80.9576299
35.2106471,-80.9577324
35.2104995,-80.9579134
35.2104335,-80.9579825
35.2103599,-80.9580498
35.2101096,-80.958279
35.2093827,-80.9589362
35.2091527,-80.9591442
35.2089718,-80.9593038
35.2088154,-80.9590489
35.2086396,-80.9591968
35.2088118,-80.9594653
35.208227,-80.959984
35.2079879,-80.960201
35.2077718,-80.9603924
35.2077,-80.960468
35.2076323,-80.9605448
35.2075526,-80.960646
35.2074928,-80.9607253
35.2074381,-80.9608082
35.2073942,-80.9608801
35.2073474,-80.960974
35.2072876,-80.96113
35.2072358,-80.9612995
35.2072079,-80.961408
35.207184,-80.9615263
35.2071661,-80.961647
35.2071482,-80.9617823
35.2071422,-80.9618896
35.2071193,-80.96232
35.2070326,-80.9623236
35.2069958,-80.9628247
35.2070585,-80.9628369
35.2070177,-80.9631795
35.2070007,-80.9633014
35.2069858,-80.9633538
35.2069659,-80.9634026
35.206945,-80.9634331
35.2069131,-80.9634599
35.2068832,-80.9634721
35.2068414,-80.9634831
35.206682,-80.9635001
35.2062746,-80.9635174
35.2050923,-80.963426
35.2039825,-80.963336
35.2033726,-80.9632916
35.2011949,-80.963099
35.2010634,-80.9631185
35.2009677,-80.96316
35.2008841,-80.9632258
35.2008303,-80.9632697
35.2007745,-80.9633331
35.2007107,-80.9634282
35.200633,-80.963616
35.2005473,-80.9649229
35.1995331,-80.9648473
35.1994853,-80.965574
35.2005812,-80.9656715
35.20355,-80.9659202
35.2055722,-80.9661055
35.2068152,-80.9662099
35.2095768,-80.966442
35.2103856,-80.9665127
35.212099,-80.9666615
35.2143123,-80.9668444
35.216147,-80.9669882
35.2173383,-80.9670931
35.2192068,-80.967254
35.2202268,-80.9673393
35.2227884,-80.9675661
35.224862,-80.9677612
35.2252405,-80.9678002
35.2263739,-80.9678929
35.2264217,-80.9671492
35.2254138,-80.9670492
35.2254676,-80.9659958
35.2254715,-80.9658202
35.2254516,-80.9656788
35.2254237,-80.9655593
35.225368,-80.9654472
35.2252823,-80.9653301
35.2252046,-80.9652594
35.2250991,-80.9651838
35.2249716,-80.9651497
35.223392,-80.9650009
35.2217267,-80.9648595
35.2211809,-80.9647864
35.2208104,-80.9646937
35.2207427,-80.9646693
35.2206969,-80.9646254
35.220667,-80.9645645
35.220651,-80.9644621
35.2206431,-80.9640183
35.2207088,-80.9640183
35.2207347,-80.9635574
35.2206451,-80.9635501
35.2207108,-80.9622456
35.2208024,-80.9606997
35.2208291,-80.9602471
35.2208426,-80.960018
35.220912,-80.9588026
35.2212128,-80.9534979
35.2212228,-80.9533077
35.2212367,-80.9532517
35.2212566,-80.9531907
35.2212905,-80.953137
35.2213263,-80.9530932
35.2213602,-80.953059
35.2213921,-80.9530322
35.2215295,-80.9530054
35.2215395,-80.9529127
