Lat,Lon
29.6355982,-95.2839941
29.6353005,-95.2839941
29.6353099,-95.2846432
29.6355733,-95.2846509
29.6358545,-95.2846592
29.6358584,-95.2848819
29.6355573,-95.2850722
29.6353915,-95.285177
29.6353658,-95.2852225
29.6353658,-95.2852762
29.6354637,-95.2855283
29.6355363,-95.2856278
29.6356339,-95.2857617
29.635678,-95.285805
29.6357458,-95.2858716
29.6360442,-95.2860272
29.636094,-95.2859875
29.636753,-95.2854613
29.6369628,-95.2854505
29.6378673,-95.2854747
29.6384708,-95.2854901
29.6389091,-95.2859917
29.6392518,-95.2856215
29.6399255,-95.2864128
29.6400311,-95.2865361
29.6401405,-95.2866637
29.6402473,-95.2867883
29.6403071,-95.2868323
29.6403568,-95.2868688
29.6404501,-95.286909
29.6405293,-95.2869278
29.6406249,-95.2869251
29.6407182,-95.2869251
29.6407671,-95.2869385
29.6408021,-95.2869841
29.6408044,-95.2873033
29.6407928,-95.2873676
29.6407321,-95.2874307
29.640656,-95.287429
29.6404667,-95.2874448
29.6404644,-95.2875199
29.6398849,-95.2875026
29.6398349,-95.2875011
29.6398279,-95.2876674
29.6396927,-95.2878337
29.6396741,-95.2882709
29.6397953,-95.2882843
29.640145,-95.2882762
29.6401543,-95.2878337
29.6399818,-95.2878283
29.6399655,-95.2877854
29.6399608,-95.2877425
29.6399818,-95.2876888
29.6400447,-95.287662
29.6404829,-95.2876732
29.640509,-95.287682
29.6405587,-95.2876729
29.6405669,-95.2876808
29.6405926,-95.2877103
29.6406042,-95.2877666
29.6406042,-95.2878444
29.6409306,-95.2878551
29.6409399,-95.2876996
29.6410635,-95.2876942
29.6411054,-95.2877183
29.6411264,-95.28778
29.6411218,-95.2879088
29.6415745,-95.2879044
29.6416766,-95.2879034
29.6416738,-95.2877708
29.6416714,-95.2876551
29.6416719,-95.2874421
29.6411987,-95.2874313
29.6412034,-95.2873589
29.6411474,-95.2873402
29.6411194,-95.2873026
29.6411031,-95.2872355
29.6411101,-95.2870719
29.6411088,-95.2869173
29.6411078,-95.286801
29.6411124,-95.286683
29.6411194,-95.2866294
29.641187,-95.2865596
29.641387,-95.2863441
29.6418118,-95.2858864
29.6419284,-95.2857523
29.6419727,-95.2857121
29.6421452,-95.2856691
29.6422151,-95.2856745
29.6422664,-95.2856745
29.6421731,-95.2859481
29.6422244,-95.2859856
29.6422361,-95.2860205
29.6422291,-95.2860527
29.6421591,-95.2860634
29.6421545,-95.2861519
29.6422034,-95.28616
29.6422104,-95.2862351
29.6422174,-95.2863477
29.6422151,-95.2866481
29.6421522,-95.2867045
29.6420286,-95.2867125
29.6420284,-95.2867261
29.6420239,-95.2869915
29.6420123,-95.2872221
29.6430147,-95.2872436
29.6429979,-95.2874782
29.6429844,-95.2876665
29.6421101,-95.2876399
29.6420939,-95.2881958
29.6429984,-95.2882038
29.6430007,-95.2883111
29.6432012,-95.2882977
29.6432035,-95.2882011
29.6436231,-95.2882414
29.6436511,-95.2873858
29.6435345,-95.2873777
29.6435602,-95.2861814
29.6435952,-95.2861841
29.6440381,-95.2861922
29.6440381,-95.2862887
29.6443854,-95.2862834
29.6443831,-95.2860929
29.644474,-95.2860929
29.644467,-95.2862324
29.6452036,-95.2862619
29.6466839,-95.2863504
29.6466979,-95.2860742
29.6474765,-95.2860902
29.6474648,-95.2863772
29.6492108,-95.2863772
29.6492084,-95.28686
29.6494928,-95.2868734
29.6497189,-95.2868761
29.6497236,-95.2863531
29.6499683,-95.2863719
29.6499707,-95.286278
29.6500313,-95.28627
29.6500333,-95.2862118
29.6500479,-95.2857903
29.6500499,-95.2857335
29.6505509,-95.2857464
29.6507259,-95.2857469
29.6508238,-95.2857523
29.6510826,-95.2860232
29.6513157,-95.2857684
29.6518681,-95.2857818
29.6520173,-95.2857496
29.6521501,-95.2856665
29.6522189,-95.2855954
29.652269,-95.2855283
29.6523389,-95.285366
29.6523553,-95.2852413
29.6523576,-95.2849986
29.652903,-95.2850093
29.6529147,-95.284607
29.6529194,-95.2843736
29.6523739,-95.2843495
29.6523949,-95.2841966
29.6524508,-95.2840652
29.6525021,-95.2839928
29.6528005,-95.2843334
29.6530079,-95.2841054
29.6527212,-95.283754
29.6529287,-95.28351
29.6529706,-95.2834241
29.6530918,-95.2830298
29.653928,-95.280166
29.6536839,-95.2798809
29.653861,-95.2796704
29.6543307,-95.2791514
29.6540499,-95.2788362
29.6544659,-95.2778492
29.6541536,-95.2774723
29.6541827,-95.2774415
29.6542107,-95.2774106
29.6540711,-95.2772655
29.6540464,-95.2772383
29.6540222,-95.2772105
29.6539986,-95.2771823
29.6539754,-95.2771533
29.6539528,-95.2771238
29.6539308,-95.2770939
29.6539126,-95.2770681
29.6538949,-95.2770419
29.6538752,-95.2770118
29.6538705,-95.2770044
29.6538436,-95.2769604
29.6538179,-95.2769158
29.6537934,-95.2768704
29.6537699,-95.276824
29.6537477,-95.2767769
29.6537268,-95.2767293
29.6532407,-95.2767296
29.6532156,-95.2767628
29.6532001,-95.2768074
29.6530665,-95.2771529
29.65297,-95.2774087
29.6526,-95.2785189
29.6525596,-95.2786453
29.6524683,-95.2789301
29.6522679,-95.2785438
29.6522422,-95.2784848
29.6522883,-95.2783492
29.6523611,-95.2781348
29.6525802,-95.2774817
29.6526513,-95.277255
29.6526863,-95.2771236
29.6527247,-95.2769238
29.6527457,-95.2767159
29.6527504,-95.2765764
29.652741,-95.2763806
29.6527271,-95.2762667
29.6527037,-95.2761312
29.6526513,-95.2759059
29.652565,-95.2756202
29.6523424,-95.274888
29.6523646,-95.2748491
29.6525246,-95.2745542
29.6525725,-95.2744659
29.6525812,-95.2744935
29.6525968,-95.2745433
29.6526211,-95.2746208
29.6526453,-95.2746984
29.6526693,-95.274776
29.6526933,-95.2748536
29.6527171,-95.2749313
29.6527344,-95.2749876
29.6527515,-95.2750439
29.6527687,-95.2751003
29.6528224,-95.2752786
29.6528756,-95.2754571
29.6529283,-95.2756357
29.6529333,-95.2756526
29.6529382,-95.2756696
29.6529432,-95.2756866
29.6529482,-95.2757035
29.6529531,-95.2757205
29.6529581,-95.2757374
29.6529773,-95.2758009
29.652997,-95.2758643
29.6530173,-95.2759274
29.6530765,-95.2761033
29.6531395,-95.2762778
29.6532064,-95.2764509
29.6532303,-95.2765211
29.6532342,-95.2765327
29.6537495,-95.2765499
29.6537997,-95.2764631
29.6538544,-95.2763791
29.6539135,-95.2762981
29.6539653,-95.2762341
29.6540198,-95.2761724
29.6540769,-95.2761131
29.654114,-95.2760767
29.654167,-95.2759877
29.6540726,-95.2758764
29.6541362,-95.2758075
29.6539881,-95.2752024
29.6537247,-95.2742234
29.6536361,-95.2740249
29.6534403,-95.2736119
29.6534333,-95.2735448
29.6534776,-95.2734724
29.6543447,-95.2723968
29.6545032,-95.2722573
29.6545685,-95.2722359
29.6546711,-95.2722359
29.6549065,-95.2722788
29.6550137,-95.2723378
29.6551629,-95.2724934
29.6553144,-95.2727375
29.6554752,-95.2732524
29.6555638,-95.2733785
29.6560788,-95.2739045
29.6562287,-95.2737427
29.6562753,-95.2738071
29.6564011,-95.2736649
29.6563056,-95.2735603
29.6562263,-95.2736274
29.655893,-95.273217
29.6561611,-95.2729219
29.6560981,-95.27282
29.6559932,-95.2728147
29.6558417,-95.2729675
29.6557835,-95.2728951
29.6557019,-95.2729917
29.6554175,-95.2726725
29.6555434,-95.2725277
29.6551728,-95.272187
29.6551425,-95.2721387
29.6551401,-95.272077
29.6552031,-95.2719966
29.6555294,-95.2716345
29.65559,-95.2715862
29.6556599,-95.2715567
29.6556576,-95.2718947
29.6564874,-95.2719134
29.6565014,-95.2721173
29.6564871,-95.2723791
29.6570978,-95.2723978
29.657107,-95.2720466
29.6571351,-95.271341
29.6572027,-95.2713437
29.6571983,-95.2711222
29.6572076,-95.2708808
29.6572539,-95.2708824
29.6572563,-95.2705122
29.6557203,-95.2704827
29.6556786,-95.2706072
29.6556692,-95.2711249
29.6556838,-95.2713207
29.6556389,-95.271326
29.6555364,-95.2713582
29.6554571,-95.2713958
29.6551937,-95.2716881
29.6551079,-95.271782
29.6550457,-95.2718259
29.6549991,-95.271834
29.6549642,-95.2718098
29.654925,-95.2717589
29.654925,-95.271427
29.6549478,-95.2712761
29.6549921,-95.2711366
29.655083,-95.2710105
29.6555049,-95.2705385
29.6555096,-95.2702407
29.6555072,-95.2699618
29.6554863,-95.2697472
29.655423,-95.269496
29.6553418,-95.2693154
29.6552765,-95.2692859
29.6545796,-95.2690498
29.6544117,-95.2690016
29.6543674,-95.268956
29.6547544,-95.2685053
29.6545073,-95.268221
29.6543698,-95.2680494
29.6539689,-95.2684919
29.6535073,-95.2679287
29.6532952,-95.2676926
29.653191,-95.267601
29.6531041,-95.2675773
29.6530318,-95.2675719
29.6529432,-95.267588
29.652822,-95.2676578
29.6527288,-95.2677543
29.6524281,-95.2680923
29.6518718,-95.2686843
29.6517935,-95.2687042
29.6517142,-95.2687042
29.6516606,-95.2686532
29.651635,-95.2685835
29.651642,-95.2685084
29.6515254,-95.2686103
29.6514532,-95.2685298
29.6514532,-95.2684064
29.6502084,-95.2683877
29.6502038,-95.2683367
29.6497399,-95.2683233
29.6497259,-95.2690394
29.6505837,-95.2690689
29.6505604,-95.2696456
29.650607,-95.2696429
29.6511758,-95.2690046
29.651262,-95.2689536
29.6513623,-95.2689322
29.6514345,-95.268959
29.6514765,-95.2690099
29.6514858,-95.2690824
29.6514683,-95.2691481
29.6514508,-95.2691682
29.6512364,-95.2694203
29.6498704,-95.2709143
29.6486513,-95.2722554
29.648593,-95.2723171
29.6485348,-95.2723171
29.6484998,-95.2722769
29.648519,-95.270517
29.648526,-95.2703212
29.6485339,-95.2700436
29.6485219,-95.2699769
29.6485429,-95.2692044
29.6485499,-95.2691481
29.6485779,-95.2690917
29.6486222,-95.2690757
29.6486851,-95.269081
29.6487416,-95.2691316
29.648744,-95.2693006
29.6487463,-95.2696815
29.6492451,-95.2696922
29.6492475,-95.2694508
29.6489957,-95.2694481
29.6490144,-95.2686783
29.6490656,-95.2686864
29.6490843,-95.2682981
29.6490628,-95.2682987
29.6490721,-95.2677989
29.6490464,-95.2677694
29.6490464,-95.2676112
29.648755,-95.2676165
29.6487364,-95.2677506
29.6487177,-95.2678472
29.6486688,-95.2679464
29.6485919,-95.2680913
29.6485546,-95.2681288
29.6484514,-95.2681191
29.6482591,-95.2682827
29.6481583,-95.2681101
29.6479765,-95.268102
29.6479625,-95.2683005
29.6478972,-95.2682978
29.6479065,-95.2684802
29.648065,-95.2684856
29.6481361,-95.2685607
29.6481326,-95.2687042
29.648128,-95.2688866
29.6481105,-95.2689684
29.6480837,-95.2689925
29.6480132,-95.2690032
29.6479479,-95.2689898
29.6479036,-95.2689469
29.6472975,-95.2689362
29.6473092,-95.2680323
29.6469269,-95.2680162
29.6469036,-95.268684
29.6469176,-95.2690649
29.6469432,-95.2691508
29.6470038,-95.2692098
29.6470644,-95.2692929
29.647181,-95.2693546
29.6472602,-95.2693761
29.6479013,-95.2693948
29.6479246,-95.2693358
29.6479549,-95.2693117
29.6480715,-95.2693144
29.6480998,-95.2693535
29.6481297,-95.2693948
29.6481274,-95.2695826
29.6480944,-95.269607
29.6480621,-95.2696309
29.6479409,-95.2696282
29.6479153,-95.269604
29.6478943,-95.2695424
29.6473092,-95.2695397
29.6472882,-95.2698642
29.647885,-95.2698535
29.6479129,-95.2698025
29.6479642,-95.2697757
29.6480272,-95.2697864
29.6480901,-95.2698083
29.6481274,-95.2698213
29.6481041,-95.2704328
29.6480765,-95.2704492
29.6480272,-95.2704784
29.6477917,-95.270465
29.6477941,-95.2702478
29.6475703,-95.270237
29.6475703,-95.2702907
29.6473861,-95.2702853
29.6473908,-95.270854
29.6476472,-95.2708647
29.6476589,-95.2706796
29.6477335,-95.2705965
29.6480412,-95.2706099
29.6480727,-95.270626
29.6481041,-95.2706421
29.6480924,-95.2713368
29.6480808,-95.2714065
29.6480555,-95.2714325
29.6480155,-95.2714735
29.6479666,-95.2715031
29.6478547,-95.2715031
29.6478593,-95.2712804
29.6469316,-95.2712858
29.6469316,-95.271959
29.6468104,-95.2720905
29.6472416,-95.2725974
29.6475167,-95.2723023
29.6479549,-95.2723077
29.6480062,-95.2723292
29.6480354,-95.2723741
29.6480551,-95.2724043
29.6480738,-95.2724928
29.6480621,-95.2728737
29.6479549,-95.2730292
29.6473885,-95.2736542
29.6473302,-95.2737078
29.6472789,-95.2737186
29.6472489,-95.2737088
29.647188,-95.2736891
29.6471484,-95.27363
29.6471344,-95.2735415
29.6471507,-95.2734691
29.6472929,-95.2733109
29.6459898,-95.2717444
29.6461553,-95.2715755
29.646127,-95.2715365
29.6459432,-95.2712831
29.6457684,-95.271444
29.6456938,-95.2713448
29.6454979,-95.2715111
29.6466145,-95.2731151
29.6459828,-95.273681
29.6458989,-95.2735844
29.6458056,-95.2736891
29.6447263,-95.2721548
29.6444606,-95.2724177
29.6455446,-95.2737212
29.6456052,-95.2738044
29.6456192,-95.2739358
29.6456005,-95.2739975
29.6455492,-95.2740351
29.6454575,-95.2740549
29.644176,-95.272546
29.6437892,-95.2716372
29.6437566,-95.2715326
29.6437869,-95.2714521
29.6440923,-95.2711168
29.6441832,-95.2711141
29.6441809,-95.2710712
29.6453674,-95.271098
29.6453674,-95.2706206
29.6451086,-95.2706179
29.6451086,-95.2706903
29.6450923,-95.2707574
29.6450574,-95.2708191
29.6450037,-95.2708513
29.6449361,-95.2708566
29.6441809,-95.2708298
29.6442135,-95.2693922
29.6442461,-95.2692956
