Lat,Lon
36.0711374,-115.1699532
36.0711238,-115.170658
36.0711252,-115.1707606
36.0711277,-115.1709458
36.0711737,-115.1710648
36.0711751,-115.1710759
36.0711775,-115.1713616
36.07115,-115.17183
36.0711853,-115.1722967
36.0713502,-115.1723005
36.0714044,-115.1723014
36.071509,-115.1723119
36.072118,-115.17234
36.072301,-115.172356
36.0726158,-115.1723729
36.0730069,-115.172406
36.0733087,-115.1724074
36.0735417,-115.1724174
36.0738667,-115.172445
36.074048,-115.172448
36.0745789,-115.1724484
36.0747177,-115.1724412
36.074877,-115.172433
36.0785126,-115.1725083
36.0786733,-115.1725116
36.0792376,-115.1725233
36.079318,-115.172525
36.0794067,-115.1725267
36.0802758,-115.1725435
36.0806623,-115.1725509
36.0811843,-115.172561
36.081545,-115.172568
36.081896,-115.1725743
36.0822955,-115.1725815
36.0825656,-115.1725912
36.0826819,-115.172587
36.0830024,-115.1725934
36.0835172,-115.1725967
36.0837184,-115.1725672
36.0838107,-115.1725537
36.0838151,-115.1720119
36.083802,-115.1713815
36.0837955,-115.1711321
36.0837955,-115.1708344
36.0837772,-115.1704933
36.0837803,-115.1704441
36.0840612,-115.1704482
36.0842473,-115.1704532
36.0844984,-115.1704552
36.0845893,-115.1704559
36.0846016,-115.1703699
36.0846129,-115.1703592
36.0846237,-115.1703472
36.0846335,-115.1703344
36.0846422,-115.1703208
36.0846498,-115.1703065
36.0846562,-115.1702917
36.0846615,-115.1702765
36.0846654,-115.1702608
36.0846681,-115.1702522
36.0846722,-115.1702442
36.0846776,-115.1702371
36.0846842,-115.170231
36.0846917,-115.1702261
36.0847,-115.1702227
36.0847044,-115.1702215
36.0847316,-115.1702204
36.0849495,-115.1702204
36.0849798,-115.1702213
36.0849983,-115.1702282
36.0850131,-115.1702411
36.0850262,-115.170272
36.0850307,-115.1702997
36.085031,-115.1703278
36.0850273,-115.1703583
36.0850221,-115.1704083
36.0850188,-115.170443
36.0850654,-115.1704441
36.0853581,-115.1704511
36.0857623,-115.1704595
36.0860989,-115.1704623
36.0860994,-115.1703969
36.0861048,-115.1701907
36.0861268,-115.1693716
36.0861284,-115.1692623
36.0861322,-115.1690037
36.0860894,-115.16888
36.0860916,-115.1687237
36.0860991,-115.1686945
36.0861322,-115.1686301
36.086174,-115.1685961
36.086463,-115.1683612
36.0869702,-115.1683639
36.0878572,-115.1683737
36.0886538,-115.1683786
36.0896919,-115.1683803
36.0896866,-115.1687276
36.0896883,-115.1689989
36.0896906,-115.16935
36.0896967,-115.1700911
36.0897085,-115.1701696
36.0897062,-115.1703067
36.0897593,-115.1703103
36.0903415,-115.1703079
36.0909148,-115.1703088
36.0913179,-115.1703095
36.0919183,-115.1703105
36.0924222,-115.1703113
36.0929164,-115.1703118
36.0933369,-115.1703122
36.0935469,-115.1703136
36.0935495,-115.1695466
36.0935536,-115.16853
36.0935551,-115.1681449
36.0936283,-115.1681506
36.0937014,-115.1681618
36.0938259,-115.1681886
36.0939608,-115.1682132
36.0940931,-115.168233
36.0942077,-115.1682457
36.0943641,-115.1682586
36.0945357,-115.1682706
36.0948842,-115.1682902
36.095066,-115.1684193
36.095299,-115.1684501
36.0954068,-115.1683499
36.0954472,-115.1683011
36.0955219,-115.1683029
36.095659,-115.1683062
36.0960574,-115.1683157
36.0963304,-115.1683222
36.0964561,-115.1683252
36.0971876,-115.1683426
36.0972588,-115.1683456
36.0972562,-115.1681978
36.0972506,-115.1678833
36.0972485,-115.1677501
36.0972448,-115.1675127
36.0972423,-115.1673493
36.0972403,-115.1672175
36.0972395,-115.1671603
