Lat,Lon
36.0733206,-115.1675714
36.0731018,-115.1676982
36.0733856,-115.1684663
36.0737222,-115.1682855
36.0743119,-115.1679688
36.0750805,-115.1700366
36.0742511,-115.1704953
36.074183,-115.170533
36.0744077,-115.1711485
36.0744735,-115.1713289
36.0753939,-115.1708364
36.0754648,-115.1709388
36.0755555,-115.1710558
36.0756777,-115.1711753
36.0757998,-115.1712899
36.0759181,-115.1713728
36.075976,-115.1714028
36.076,-115.1714262
36.0760058,-115.1714593
36.0760285,-115.1720873
36.0767182,-115.1720897
36.0767182,-115.1715386
36.0774,-115.1715193
36.0774691,-115.1715133
36.0775547,-115.1715239
36.0776182,-115.1715493
36.0777212,-115.1716173
36.0784176,-115.1713764
36.0785005,-115.1713405
36.0785824,-115.1713025
36.0786633,-115.1712623
36.0789016,-115.1711308
36.080104,-115.1704572
36.0801485,-115.1706844
36.0802108,-115.1706686
36.0803534,-115.1709106
36.0804172,-115.1710316
36.0804525,-115.1711215
36.0804793,-115.1712143
36.0804977,-115.1713122
36.0805066,-115.1714115
36.080506,-115.1715112
36.0804615,-115.1724275
36.0805228,-115.1724332
36.0805269,-115.1724093
36.0805444,-115.1723854
36.0805729,-115.1723839
36.0818366,-115.172417
36.0821386,-115.171845
36.0821621,-115.1717733
36.0821697,-115.1717227
36.0821875,-115.1700541
36.0825605,-115.1700544
36.0825566,-115.1703713
36.0841538,-115.1704112
36.0841638,-115.1700421
36.0842915,-115.1700416
36.0844092,-115.1700411
36.0844324,-115.1689629
36.084436,-115.1687983
36.0844525,-115.1687992
36.0846632,-115.1688107
36.0846416,-115.1700437
36.0849444,-115.1700486
36.0849666,-115.1688227
36.085041,-115.1688237
36.0852142,-115.1688261
36.0852113,-115.1690426
36.085198,-115.1700561
36.0856283,-115.1700601
36.0856363,-115.1695887
36.0856381,-115.1694847
36.0860575,-115.1694968
36.0860665,-115.1692199
36.0860732,-115.1690123
36.0860196,-115.1689109
36.0860136,-115.1687473
36.0860493,-115.1686521
36.0860768,-115.1682907
36.0859868,-115.1682893
36.0859898,-115.1682149
36.0863946,-115.1682176
36.0863767,-115.1681872
36.0867237,-115.1679651
36.0866002,-115.1676388
36.0865509,-115.1675087
36.0870035,-115.1672432
36.0869996,-115.1672131
36.0881475,-115.1665546
36.0882693,-115.166873
36.0882668,-115.1670458
36.0882582,-115.1676486
36.088253,-115.168014
36.0886705,-115.1679958
36.0886743,-115.1679157
36.0886857,-115.1676778
36.0886859,-115.1676511
36.0886875,-115.1673941
36.0886876,-115.1673862
36.088954,-115.1673884
36.088957,-115.1671449
36.0888832,-115.1671434
36.0888843,-115.1670877
36.0901231,-115.1670812
36.0901246,-115.1671396
36.0900626,-115.167137
36.090062,-115.1672367
36.0904136,-115.1672309
36.090403,-115.1663821
36.0918856,-115.1663923
36.0918803,-115.1662756
36.0922485,-115.1655091
36.0920157,-115.1653331
36.092007,-115.1653457
36.0919698,-115.165323
36.0921752,-115.164901
36.0922088,-115.1649416
36.0922052,-115.1649595
36.092253,-115.1649987
36.0923342,-115.1648236
36.0925648,-115.1650027
36.0926896,-115.1647295
36.0926897,-115.1641169
36.092252,-115.1641167
36.0917795,-115.1637673
36.0929436,-115.1630982
36.0935048,-115.1627757
36.0940262,-115.1624761
36.0941762,-115.1623898
36.0941772,-115.162482
36.094196,-115.1641398
36.0939643,-115.1641465
36.0939701,-115.1646383
36.0939414,-115.1646365
36.0939458,-115.1649643
36.094026,-115.164968
36.094026,-115.1655471
36.0939958,-115.1655501
36.0939913,-115.1659163
36.0938603,-115.16592
36.0938579,-115.1665486
36.0940557,-115.1665476
36.0940574,-115.1664584
36.0940593,-115.1664393
36.0940646,-115.1664209
36.0940683,-115.1664126
36.0940834,-115.1663901
36.0946269,-115.1656559
36.0946111,-115.1636223
36.0950059,-115.1636001
36.0950138,-115.1638521
36.0955127,-115.1638528
36.0955181,-115.1638363
36.0956863,-115.1638328
36.0957347,-115.1637481
36.0957382,-115.1636041
36.0954091,-115.1635917
36.0954135,-115.1629757
36.09577,-115.162973
36.0957654,-115.1636573
36.0968135,-115.1636625
36.0968381,-115.1627058
36.0972213,-115.1627167
36.0972205,-115.1628505
36.0972385,-115.1628507
36.0972876,-115.1628511
36.0974723,-115.1628526
36.0974795,-115.1628527
36.0974841,-115.1628077
36.0991309,-115.162819
36.0991411,-115.1633784
36.099843,-115.1633458
36.0998699,-115.1633429
36.0998965,-115.1633376
36.0999225,-115.16333
36.0999477,-115.1633202
36.0999731,-115.1633074
36.0999972,-115.1632923
36.1000198,-115.163275
36.1000407,-115.1632557
36.1002533,-115.1629882
36.1000384,-115.1627122
36.0995196,-115.1620462
36.099354,-115.162248
36.0991607,-115.162
36.0992546,-115.1618945
